year,agency,field,value
2010,ABMC,litigation_cost,0.00
2011,ABMC,litigation_cost,0.00
2012,ABMC,litigation_cost,0.00
2013,ABMC,litigation_cost,0.00
2014,ABMC,litigation_cost,0.00
2015,ABMC,litigation_cost,0.00
2016,ABMC,litigation_cost,8050.00
2017,ABMC,litigation_cost,0.00
2018,ABMC,litigation_cost,0.00
2019,ABMC,litigation_cost,0.00
2020,ABMC,litigation_cost,0.00
2021,ABMC,litigation_cost,0.00
2022,ABMC,litigation_cost,0.00
2023,ABMC,litigation_cost,0.00
2024,ABMC,litigation_cost,0.00
2018,ACHP,litigation_cost,0.00
2019,ACHP,litigation_cost,0.00
2020,ACHP,litigation_cost,0.00
2021,ACHP,litigation_cost,0.00
2022,ACHP,litigation_cost,0.00
2023,ACHP,litigation_cost,0.00
2024,ACHP,litigation_cost,0.00
2010,ACUS,litigation_cost,0.00
2011,ACUS,litigation_cost,0.00
2012,ACUS,litigation_cost,0.00
2013,ACUS,litigation_cost,0.00
2014,ACUS,litigation_cost,0.00
2015,ACUS,litigation_cost,0.00
2016,ACUS,litigation_cost,0.00
2017,ACUS,litigation_cost,0.00
2018,ACUS,litigation_cost,0.00
2019,ACUS,litigation_cost,0.00
2020,ACUS,litigation_cost,0.00
2021,ACUS,litigation_cost,0.00
2022,ACUS,litigation_cost,0.00
2023,ACUS,litigation_cost,0.00
2024,ACUS,litigation_cost,0.00
2011,AFRH,litigation_cost,0.00
2012,AFRH,litigation_cost,0.00
2013,AFRH,litigation_cost,0.00
2014,AFRH,litigation_cost,0.00
2015,AFRH,litigation_cost,0.00
2016,AFRH,litigation_cost,0.00
2017,AFRH,litigation_cost,0.00
2018,AFRH,litigation_cost,0.00
2019,AFRH,litigation_cost,0.00
2020,AFRH,litigation_cost,0.00
2021,AFRH,litigation_cost,0.00
2022,AFRH,litigation_cost,0.00
2023,AFRH,litigation_cost,0.00
2024,AFRH,litigation_cost,0.00
2016,ASC,litigation_cost,0.00
2017,ASC,litigation_cost,0.00
2018,ASC,litigation_cost,0.00
2019,ASC,litigation_cost,0.00
2020,ASC,litigation_cost,0.00
2021,ASC,litigation_cost,0.00
2022,ASC,litigation_cost,0.00
2023,ASC,litigation_cost,0.00
2024,ASC,litigation_cost,0.00
2008,CEQ,litigation_cost,9500.00
2009,CEQ,litigation_cost,9500.00
2010,CEQ,litigation_cost,3400.00
2011,CEQ,litigation_cost,35084.75
2012,CEQ,litigation_cost,0.00
2013,CEQ,litigation_cost,0.00
2014,CEQ,litigation_cost,0.00
2015,CEQ,litigation_cost,0.00
2016,CEQ,litigation_cost,0.00
2017,CEQ,litigation_cost,0.00
2018,CEQ,litigation_cost,0.00
2019,CEQ,litigation_cost,0.00
2020,CEQ,litigation_cost,81906.50
2021,CEQ,litigation_cost,51917.00
2022,CEQ,litigation_cost,0.00
2023,CEQ,litigation_cost,0.00
2024,CEQ,litigation_cost,164369.00
2016,CFA,litigation_cost,0.00
2017,CFA,litigation_cost,0.00
2018,CFA,litigation_cost,0.00
2019,CFA,litigation_cost,0.00
2020,CFA,litigation_cost,0.00
2021,CFA,litigation_cost,0.00
2022,CFA,litigation_cost,0.00
2023,CFA,litigation_cost,0.00
2024,CFA,litigation_cost,0.00
2013,CFPB,litigation_cost,5000.00
2014,CFPB,litigation_cost,25000.00
2015,CFPB,litigation_cost,5000.00
2016,CFPB,litigation_cost,0.00
2017,CFPB,litigation_cost,19303.00
2018,CFPB,litigation_cost,11200.00
2019,CFPB,litigation_cost,130000.00
2020,CFPB,litigation_cost,61045.00
2021,CFPB,litigation_cost,37424.00
2022,CFPB,litigation_cost,0.00
2023,CFPB,litigation_cost,24740.00
2024,CFPB,litigation_cost,5000.00
2008,CFTC,litigation_cost,0.00
2009,CFTC,litigation_cost,16536.54
2010,CFTC,litigation_cost,0.00
2011,CFTC,litigation_cost,0.00
2012,CFTC,litigation_cost,0.00
2013,CFTC,litigation_cost,0.00
2014,CFTC,litigation_cost,0.00
2015,CFTC,litigation_cost,0.00
2016,CFTC,litigation_cost,84167.00
2017,CFTC,litigation_cost,0.00
2018,CFTC,litigation_cost,0.00
2019,CFTC,litigation_cost,0.00
2020,CFTC,litigation_cost,189000.00
2021,CFTC,litigation_cost,0.00
2022,CFTC,litigation_cost,27624.95
2023,CFTC,litigation_cost,0.00
2024,CFTC,litigation_cost,0.00
2009,CIA,litigation_cost,1720000.00
2010,CIA,litigation_cost,1800000.00
2011,CIA,litigation_cost,1890000.00
2012,CIA,litigation_cost,1900000.00
2013,CIA,litigation_cost,1900000.00
2014,CIA,litigation_cost,2100000.00
2015,CIA,litigation_cost,2200000.00
2016,CIA,litigation_cost,2250000.00
2017,CIA,litigation_cost,2500000.00
2018,CIA,litigation_cost,1096706.00
2019,CIA,litigation_cost,1155651.00
2020,CIA,litigation_cost,998631.00
2021,CIA,litigation_cost,1033078.00
2022,CIA,litigation_cost,815061.60
2023,CIA,litigation_cost,1570163.72
2024,CIA,litigation_cost,1835221.25
2010,CIGIE,litigation_cost,0.00
2011,CIGIE,litigation_cost,0.00
2012,CIGIE,litigation_cost,405.49
2013,CIGIE,litigation_cost,1000.41
2014,CIGIE,litigation_cost,0.00
2015,CIGIE,litigation_cost,0.00
2016,CIGIE,litigation_cost,0.00
2017,CIGIE,litigation_cost,0.00
2018,CIGIE,litigation_cost,0.00
2019,CIGIE,litigation_cost,46328.45
2020,CIGIE,litigation_cost,8428.00
2021,CIGIE,litigation_cost,46133.78
2022,CIGIE,litigation_cost,17060.00
2023,CIGIE,litigation_cost,45236.10
2024,CIGIE,litigation_cost,92398.72
2008,CNCS,litigation_cost,0.00
2009,CNCS,litigation_cost,0.00
2010,CNCS,litigation_cost,1748.25
2011,CNCS,litigation_cost,0.00
2012,CNCS,litigation_cost,0.00
2013,CNCS,litigation_cost,0.00
2014,CNCS,litigation_cost,0.00
2015,CNCS,litigation_cost,0.00
2016,CNCS,litigation_cost,0.00
2017,CNCS,litigation_cost,0.00
2018,CNCS,litigation_cost,0.00
2019,CNCS,litigation_cost,0.00
2020,CNCS,litigation_cost,0.00
2021,CNCS,litigation_cost,0.00
2022,CNCS,litigation_cost,0.00
2023,CNCS,litigation_cost,0.00
2024,CNCS,litigation_cost,0.00
2008,CO,litigation_cost,0.00
2009,CO,litigation_cost,0.00
2010,CO,litigation_cost,0.00
2011,CO,litigation_cost,0.00
2012,CO,litigation_cost,0.00
2013,CO,litigation_cost,0.00
2014,CO,litigation_cost,0.00
2015,CO,litigation_cost,0.00
2016,CO,litigation_cost,0.00
2017,CO,litigation_cost,0.00
2018,CO,litigation_cost,0.00
2019,CO,litigation_cost,0.00
2020,CO,litigation_cost,0.00
2021,CO,litigation_cost,0.00
2022,CO,litigation_cost,0.00
2023,CO,litigation_cost,0.00
2024,CO,litigation_cost,0.00
2008,CPPBSD,litigation_cost,0.00
2009,CPPBSD,litigation_cost,0.00
2010,CPPBSD,litigation_cost,0.00
2011,CPPBSD,litigation_cost,0.00
2012,CPPBSD,litigation_cost,0.00
2013,CPPBSD,litigation_cost,0.00
2014,CPPBSD,litigation_cost,0.00
2015,CPPBSD,litigation_cost,0.00
2016,CPPBSD,litigation_cost,0.00
2017,CPPBSD,litigation_cost,0.00
2018,CPPBSD,litigation_cost,0.00
2019,CPPBSD,litigation_cost,9925.00
2020,CPPBSD,litigation_cost,0.00
2021,CPPBSD,litigation_cost,0.00
2022,CPPBSD,litigation_cost,0.00
