year,facility_type,result,count
2010,After School Program,Pass,1
2010,After School Program,Pass,2
2010,Assisted Living,Pass,1
2010,Assisted Living,Pass,1
2010,Assisted Living,Pass,1
2010,Assisted Living,Pass w/ Conditions,1
2010,Assisted Living Senior Care,Pass,1
2010,Bakery,Fail,62
2010,Bakery,Out of Business,2
2010,Bakery,Pass,154
2010,Bakery,Pass w/ Conditions,7
2010,Bakery,Pass,1
2010,Banquet,Fail,3
2010,Banquet,Fail,7
2010,Banquet,Pass,3
2010,Banquet,Pass,1
2010,Banquet,Pass,5
2010,Banquet,Pass,1
2010,Banquet,Pass,2
2010,Banquet,Pass,1
2010,Banquet,Pass,1
2010,Bar,Fail,1
2010,Bar,Pass,1
2010,Bar/Grill,Fail,1
2010,Bar/Grill,Pass,1
2010,Butcher,Pass,1
2010,Cafeteria,Fail,2
2010,Cafeteria,Pass,2
2010,Cafeteria,Pass,1
2010,Cafeteria,Pass,1
2010,Candy,Fail,2
2010,Candy,Fail,1
2010,Candy,Fail,1
2010,Candy,Fail,2
2010,Candy,Pass,1
2010,Candy,Pass,1
2010,Candy,Pass,1
2010,Candy,Pass,1
2010,Candy/Gelato,Pass,1
2010,Candy/Gelato,Pass,1
2010,Candy/Gelato,Pass w/ Conditions,1
2010,Catering,Fail,28
2010,Catering,Fail,1
2010,Catering,Pass,61
2010,Catering,Pass,1
2010,Catering,Pass,1
2010,Catering,Pass w/ Conditions,8
2010,Charity Aid Kitchen,Pass,1
2010,Children's Services Facility,Fail,1
2010,Children's Services Facility,Fail,35
2010,Children's Services Facility,Pass,3
2010,Children's Services Facility,Pass,1
2010,Children's Services Facility,Pass,2
2010,Children's Services Facility,Pass,1
2010,Children's Services Facility,Pass,166
2010,Children's Services Facility,Pass w/ Conditions,2
2010,Children's Services Facility,Pass w/ Conditions,1
2010,Church,Fail,1
2010,Church,Pass,4
2010,Church,Pass,1
2010,Church,Pass,1
2010,Church,Pass,1
2010,Church,Pass w/ Conditions,1
2010,Church,Pass w/ Conditions,1
2010,City of Chicago College,Pass,1
2010,Coffee,Fail,1
2010,Coffee,Fail,1
2010,Coffee,Fail,4
2010,Coffee,Pass,1
2010,Coffee,Pass,3
2010,Coffee,Pass,1
2010,Coffee,Pass,1
2010,Cold Storage Facility,Pass,1
2010,College,Pass,1
2010,Commissary,Fail,4
2010,Commissary,Pass,1
2010,Commissary,Pass,1
2010,Commissary,Pass,3
2010,Commissary,Pass,2
2010,Convenience,Fail,3
2010,Convenience,Pass,1
2010,Convenience,Pass,4
2010,Convenience,Pass,1
2010,Convenience,Pass,4
2010,Convenience,Pass,1
2010,Convenience,Pass,1
2010,Convenience,Pass,1
2010,Cooking Instruction,Fail,1
2010,Cooking Instruction,Pass,1
2010,Cooking Instruction,Pass,1
2010,Cooking Instruction,Pass,2
2010,Day Care,Fail,2
2010,Day Care,Fail,129
2010,Day Care,Fail,15
2010,Day Care,Fail,56
2010,Day Care,Fail,27
2010,Day Care,Fail,1
2010,Day Care,Out of Business,2
2010,Day Care,Out of Business,2
2010,Day Care,Out of Business,1
2010,Day Care,Out of Business,6
2010,Day Care,Pass,6
2010,Day Care,Pass,287
2010,Day Care,Pass,3
2010,Day Care,Pass,33
2010,Day Care,Pass,1
2010,Day Care,Pass,2
2010,Day Care,Pass,195
2010,Day Care,Pass,59
2010,Day Care,Pass,1
2010,Day Care,Pass w/ Conditions,10
2010,Day Care,Pass w/ Conditions,3
2010,Day Care,Pass w/ Conditions,4
2010,Day Care,Pass w/ Conditions,1
2010,Day Care,Pass,1
2010,Deli,Fail,1
2010,Deli,Pass,1
2010,Dollar Store,Pass,1
2010,Donut Shop,Fail,1
2010,Donut Shop,Pass,1
2010,Drug Store,Pass,1
2010,Employee Kitchen,Pass,2
2010,Farmers Market,Fail,1
2010,Fish Market,Pass,2
2010,Fitness Center,Pass,1
2010,Frozen Dessert,Pass,1
2010,Gas Station,Fail,1
2010,Gas Station,Fail,5
2010,Gas Station,Fail,1
2010,Gas Station,Fail,3
2010,Gas Station,Fail,1
2010,Gas Station,Fail,2
2010,Gas Station,Pass,1
2010,Gas Station,Pass,4
2010,Gas Station,Pass,1
2010,Gas Station,Pass,1
2010,Gas Station,Pass,1
2010,Gas Station,Pass,1
2010,Gas Station,Pass,3
2010,Gas Station,Pass,1
2010,Gas Station,Pass,1
2010,Gas Station,Pass w/ Conditions,2
2010,Gas Station,Pass w/ Conditions,1
2010,Gas Station,Pass w/ Conditions,2
2010,General Store,Fail,1
2010,General Store,Pass,1
2010,Golden Diner,Fail,10
2010,Golden Diner,Pass,29
2010,Golden Diner,Pass w/ Conditions,7
2010,Grocery,Business Not Located,2
2010,Grocery,Fail,1
