blank,year,facility_type,result,count
blank,2015,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK",A,173
blank,2015,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK",B,28
blank,2015,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK",C,5
blank,2015,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",A,230
blank,2015,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",B,3
blank,2015,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",A,23
blank,2015,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",B,1
blank,2015,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",A,413
blank,2015,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",B,43
blank,2015,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",C,6
blank,2015,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",A,805
blank,2015,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",B,13
blank,2015,"FOOD MKT RETAIL (25-1,999 SF) MODERATE RISK",A,104
blank,2015,"FOOD MKT RETAIL (25-1,999 SF) MODERATE RISK",B,3
blank,2015,RESTAURANT (0-30) SEATS HIGH RISK,A,1854
blank,2015,RESTAURANT (0-30) SEATS HIGH RISK,B,214
blank,2015,RESTAURANT (0-30) SEATS HIGH RISK,C,22
blank,2015,RESTAURANT (0-30) SEATS LOW RISK,A,261
blank,2015,RESTAURANT (0-30) SEATS LOW RISK,B,5
blank,2015,RESTAURANT (0-30) SEATS MODERATE RISK,A,1463
blank,2015,RESTAURANT (0-30) SEATS MODERATE RISK,B,93
blank,2015,RESTAURANT (0-30) SEATS MODERATE RISK,C,5
blank,2015,RESTAURANT (151 + ) SEATS HIGH RISK,A,386
blank,2015,RESTAURANT (151 + ) SEATS HIGH RISK,B,38
blank,2015,RESTAURANT (151 + ) SEATS HIGH RISK,C,5
blank,2015,RESTAURANT (151 + ) SEATS LOW RISK,A,17
blank,2015,RESTAURANT (151 + ) SEATS MODERATE RISK,A,41
blank,2015,RESTAURANT (151 + ) SEATS MODERATE RISK,B,1
blank,2015,RESTAURANT (31-60) SEATS HIGH RISK,A,1373
blank,2015,RESTAURANT (31-60) SEATS HIGH RISK,B,150
blank,2015,RESTAURANT (31-60) SEATS HIGH RISK,C,10
blank,2015,RESTAURANT (31-60) SEATS LOW RISK,A,80
blank,2015,RESTAURANT (31-60) SEATS LOW RISK,B,1
blank,2015,RESTAURANT (31-60) SEATS MODERATE RISK,A,274
blank,2015,RESTAURANT (31-60) SEATS MODERATE RISK,B,11
blank,2015,RESTAURANT (31-60) SEATS MODERATE RISK,C,1
blank,2015,RESTAURANT (61-150) SEATS HIGH RISK,A,1024
blank,2015,RESTAURANT (61-150) SEATS HIGH RISK,B,100
blank,2015,RESTAURANT (61-150) SEATS HIGH RISK,C,9
blank,2015,RESTAURANT (61-150) SEATS LOW RISK,A,51
blank,2015,RESTAURANT (61-150) SEATS MODERATE RISK,A,156
blank,2015,RESTAURANT (61-150) SEATS MODERATE RISK,B,5
blank,2015,RESTAURANT (61-150) SEATS MODERATE RISK,C,1
blank,2016,CATERER (0-999 SQ. FT.),A,1
blank,2016,CATERER (0-999 SQ. FT.),B,2
blank,2016,FOOD MARKET WHOLESALE,A,2
blank,2016,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",A,936
blank,2016,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",B,71
blank,2016,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",C,2
blank,2016,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",A,2068
