year,facility_type,result,count
2024,Caribbean,Violations were cited in the following area(s).,3155
2024,Caribbean,No violations were recorded at the time of this inspection.,22
2024,Caribbean,Establishment re-closed by DOHMH.,56
2024,Caribbean,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,271
2024,Caribbean,Establishment re-opened by DOHMH.,41
2024,Coffee/Tea,No violations were recorded at the time of this inspection.,82
2024,Coffee/Tea,Violations were cited in the following area(s).,6396
2024,Coffee/Tea,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,128
2024,Coffee/Tea,Establishment re-opened by DOHMH.,15
2024,Coffee/Tea,Establishment re-closed by DOHMH.,11
2024,Pizza,Violations were cited in the following area(s).,5269
2024,Pizza,No violations were recorded at the time of this inspection.,29
2024,Pizza,Establishment re-opened by DOHMH.,29
2024,Pizza,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,168
2024,Pizza,Establishment re-closed by DOHMH.,9
2024,Japanese,Violations were cited in the following area(s).,3021
2024,Japanese,No violations were recorded at the time of this inspection.,37
2024,Japanese,Establishment re-opened by DOHMH.,27
2024,Japanese,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,150
2024,Japanese,Establishment re-closed by DOHMH.,27
2024,Korean,Violations were cited in the following area(s).,1271
2024,Korean,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,19
2024,Korean,No violations were recorded at the time of this inspection.,9
2024,Korean,Establishment re-opened by DOHMH.,5
2024,Chinese,Establishment re-closed by DOHMH.,69
2024,Chinese,Violations were cited in the following area(s).,8176
2024,Chinese,Establishment re-opened by DOHMH.,87
2024,Chinese,No violations were recorded at the time of this inspection.,59
2024,Chinese,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,569
2024,Tex-Mex,Violations were cited in the following area(s).,898
2024,Tex-Mex,Establishment re-opened by DOHMH.,7
2024,Tex-Mex,No violations were recorded at the time of this inspection.,6
2024,Tex-Mex,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,35
2024,Tex-Mex,Establishment re-closed by DOHMH.,2
2024,"Juice, Smoothies, Fruit Salads",No violations were recorded at the time of this inspection.,21
2024,"Juice, Smoothies, Fruit Salads",Violations were cited in the following area(s).,1664
2024,"Juice, Smoothies, Fruit Salads",Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,49
2024,"Juice, Smoothies, Fruit Salads",Establishment re-opened by DOHMH.,4
2024,"Juice, Smoothies, Fruit Salads",Establishment re-closed by DOHMH.,13
2024,American,Violations were cited in the following area(s).,13997
2024,American,No violations were recorded at the time of this inspection.,133
2024,American,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,238
2024,American,Establishment re-opened by DOHMH.,45
2024,American,Establishment re-closed by DOHMH.,35
2024,Mediterranean,Violations were cited in the following area(s).,1099
2024,Mediterranean,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,69
2024,Mediterranean,Establishment re-closed by DOHMH.,6
2024,Mediterranean,No violations were recorded at the time of this inspection.,7
2024,Mediterranean,Establishment re-opened by DOHMH.,9
2024,Thai,Violations were cited in the following area(s).,1362
2024,Thai,Establishment re-closed by DOHMH.,25
2024,Thai,No violations were recorded at the time of this inspection.,17
2024,Thai,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,73
2024,Thai,Establishment re-opened by DOHMH.,14
2024,Latin American,Violations were cited in the following area(s).,3686
2024,Latin American,No violations were recorded at the time of this inspection.,19
2024,Latin American,Establishment Closed by DOHMH. Violations were cited in the following area(s) and those requiring immediate action were addressed.,168
2024,Latin American,Establishment re-opened by DOHMH.,30
2024,Latin American,Establishment re-closed by DOHMH.,12
2024,Mexican,Violations were cited in the following area(s).,3574
2024,Mexican,No violations were recorded at the time of this inspection.,31
