Fiscal Year,Quarter,FYQ String,FY with decimal,Field,Value
2021,1,2021 Quarter 1,2021,Number of requests received,166845
2021,2,2021 Quarter 2,2021.25,Number of requests received,180700
2021,3,2021 Quarter 3,2021.5,Number of requests received,194783
2021,4,2021 Quarter 4,2021.75,Number of requests received,216998
2022,1,2022 Quarter 1,2022,Number of requests received,200898
2022,2,2022 Quarter 2,2022.25,Number of requests received,239938
2022,3,2022 Quarter 3,2022.5,Number of requests received,174273
2022,4,2022 Quarter 4,2022.75,Number of requests received,245772
2023,1,2023 Quarter 1,2023,Number of requests received,246170
2023,2,2023 Quarter 2,2023.25,Number of requests received,285679
2023,3,2023 Quarter 3,2023.5,Number of requests received,302041
2023,4,2023 Quarter 4,2023.75,Number of requests received,296746
2024,1,2024 Quarter 1,2024,Number of requests received,334949
2024,2,2024 Quarter 2,2024.25,Number of requests received,376286
2024,3,2024 Quarter 3,2024.5,Number of requests received,355572
2024,4,2024 Quarter 4,2024.75,Number of requests received,140345
2025,1,2025 Quarter 1,2025,Number of requests received,362203
2025,2,2025 Quarter 2,2025.25,Number of requests received,382711
2021,1,2021 Quarter 1,2021,Number of requests processed,160824
2021,2,2021 Quarter 2,2021.25,Number of requests processed,197126
2021,3,2021 Quarter 3,2021.5,Number of requests processed,191652
2021,4,2021 Quarter 4,2021.75,Number of requests processed,246765
2022,1,2022 Quarter 1,2022,Number of requests processed,173846
2022,2,2022 Quarter 2,2022.25,Number of requests processed,236093
2022,3,2022 Quarter 3,2022.5,Number of requests processed,218856
2022,4,2022 Quarter 4,2022.75,Number of requests processed,263915
2023,1,2023 Quarter 1,2023,Number of requests processed,222761
2023,2,2023 Quarter 2,2023.25,Number of requests processed,264324
2023,3,2023 Quarter 3,2023.5,Number of requests processed,262243
2023,4,2023 Quarter 4,2023.75,Number of requests processed,315505
2024,1,2024 Quarter 1,2024,Number of requests processed,311629
2024,2,2024 Quarter 2,2024.25,Number of requests processed,347800
2024,3,2024 Quarter 3,2024.5,Number of requests processed,334732
2024,4,2024 Quarter 4,2024.75,Number of requests processed,144216
2025,1,2025 Quarter 1,2025,Number of requests processed,311983
2025,2,2025 Quarter 2,2025.25,Number of requests processed,348052
2021,1,2021 Quarter 1,2021,Number of requests backlogged,156947
2021,2,2021 Quarter 2,2021.25,Number of requests backlogged,155844
2021,3,2021 Quarter 3,2021.5,Number of requests backlogged,173098
2021,4,2021 Quarter 4,2021.75,Number of requests backlogged,165486
2022,1,2022 Quarter 1,2022,Number of requests backlogged,186566
2022,2,2022 Quarter 2,2022.25,Number of requests backlogged,192383
2022,3,2022 Quarter 3,2022.5,Number of requests backlogged,219054
2022,4,2022 Quarter 4,2022.75,Number of requests backlogged,215227
2023,1,2023 Quarter 1,2023,Number of requests backlogged,219627
2023,2,2023 Quarter 2,2023.25,Number of requests backlogged,216324
2023,3,2023 Quarter 3,2023.5,Number of requests backlogged,247968
2023,4,2023 Quarter 4,2023.75,Number of requests backlogged,218285
2024,1,2024 Quarter 1,2024,Number of requests backlogged,237350
2024,2,2024 Quarter 2,2024.25,Number of requests backlogged,248355
2024,3,2024 Quarter 3,2024.5,Number of requests backlogged,261962
2024,4,2024 Quarter 4,2024.75,Number of requests backlogged,131416
2025,1,2025 Quarter 1,2025,Number of requests backlogged,324741
2025,2,2025 Quarter 2,2025.25,Number of requests backlogged,316805
