year,agency,litigation_cost,processing_cost,total_cost,total_staff,pending_end_year,pending_start_year,processed_year,received_year,duplicate_request,fee_related,full_denial,full_grants,improper_request_other_reason,not_agency_record,no_records,other,partially_granted,records_not_described,referred_to_other_agency,withdrawn,exemption_1,exemption_2,exemption_3,exemption_4,exemption_5,exemption_6,exemption_7a,exemption_7b,exemption_7c,exemption_7d,exemption_7e,exemption_7f,exemption_8,exemption_9,general_complex_average,general_complex_high,general_complex_low,general_complex_median,general_expedited_average,general_expedited_high,general_expedited_low,general_expedited_median,general_simple_average,general_simple_high,general_simple_low,general_simple_median,granted_complex_average,granted_complex_high,granted_complex_low,granted_complex_median,granted_expedited_average,granted_expedited_high,granted_expedited_low,granted_expedited_median,granted_simple_average,granted_simple_high,granted_simple_low,granted_simple_median
2008,EPA,509033.24,9188610.73,9697643.97,118.81,1584,1727,11635,11492,56,19,72,4712,11,12,5181,370,538,48,85,531,1,33,25,229,295,132,123,1,48,21,12,0,0,0,60.91,1329,7,37,51,92,20,46,42.95,1364,1,20,60.24,1329,7,36,55,55,55,55,32.35,1364,1,18
2009,EPA,527036.32,15015214.40,15542250.72,108.02,1497,1584,10404,10317,97,42,71,4094,14,10,4561,8,607,67,209,624,4,46,22,270,288,138,108,0,35,11,5,0,0,2,75.32,902,5,39,8,11,<1,10,37.15,1419,<1,20,67.25,666,8,37,8,11,<1,10,32.42,1419,<1,18
2010,EPA,461467.66,20529056.91,20990524.57,125.41,1835,1497,10071,10409,79,39,100,4445,16,12,3808,7,607,103,218,637,18,29,30,237,292,167,123,8,49,8,6,1,0,0,93.74,959,<1,51,13.08,66,<1,9,36.41,1436,<1,19,94.89,788,<1,55.5,14.36,66,<1,12,34.81,1398,<1,19
2011,EPA,457450.00,17352297.59,17809747.59,127.91,1523,1835,10435,10123,99,37,94,5463,25,4,3167,10,676,34,210,616,6,33,14,311,430,197,170,5,59,4,15,0,0,0,96.36,1326,3,48,27.11,116,6,19,47.39,1448,<1,20,91.39,1326,3,50.5,31.77,116,6,21,42.05,1412,<1,20
2012,EPA,416100.00,17602417.00,18018517.00,127.91,1953,1523,9259,9689,96,47,96,4719,23,4,2796,4,609,33,209,623,0,8,29,190,334,202,126,14,64,11,45,2,0,4,45.91,1186,<1,30,111.18,346,24,71,16.93,19,<1,15,44.42,851,<1,29,96.11,346,24,40,14.14,19,<1,15
2013,EPA,578406.40,16493258.12,17071664.52,114.06,2168,1348,9131,9951,310,111,69,4548,42,34,2772,0,552,114,13,566,2,10,18,96,225,153,97,3,54,60,19,1,0,1,55.86,1344,<1,34,118.73,524,4,30,27.18,2044,<1,15,30.56,1223,<1,30,161.86,524,14,28,8.05,922,<1,9
2014,EPA,650707.20,10750513.40,11401220.60,75.98,2508,2168,10130,10470,313,101,67,4757,37,19,3286,0,614,140,21,775,1,2,32,94,199,180,66,2,46,26,10,0,0,3,79.49,2120,<1,33,264.86,1790,<1,34.5,13.16,20,<1,15,75.01,1407,<1,36,339,1790,<1,33,13.67,20,<1,15
2015,EPA,678150.00,9848226.44,10526376.44,69.83,2140,2508,11278,10910,291,60,49,4948,74,23,3947,0,733,127,17,1009,0,5,11,125,196,267,49,1,42,15,10,9,0,18,75.88,1756,<1,39,154.85,1229,2,26.5,12.34,726,<1,13,83.92,1756,<1,46,66.13,188,2,28,12.71,20,<1,14
2016,EPA,520565.76,10795955.45,11316521.21,96.70,2054,2149,10498,10403,257,73,67,5179,95,21,3062,19,767,114,24,820,0,4,30,185,229,346,78,1,65,12,11,9,0,38,151.98,2011,<1,46,126.11,1678,<1,25,18.24,548,<1,15,162.86,2011,<1,58,185.48,1678,<1,34,18.78,548,<1,14
2017,EPA,931689.28,16908244.47,17839933.75,116.93,2795,2079,10802,11518,353,42,77,5083,131,19,2740,21,781,507,10,1038,1,0,19,179,228,447,72,1,72,2,17,7,0,39,173.35,2217,<1,57,86.97,801,<1,22,18.15,510,<1,14,160.55,2217,<1,60,99.36,801,<1,26,18.13,510,<1,11
2018,EPA,1848579.21,33663739.64,35512318.85,212.99,3730,2808,10442,11364,472,78,58,4778,58,28,2783,20,1022,147,15,983,1,0,13,214,311,605,112,0,145,5,36,19,0,34,148.65,1793,<1,35,337.43,645,1,361,35.74,961,<1,16,163,1793,<1,58,371.28,645,18,378,40.05,961,<1,16
2019,EPA,2132910.00,32626930.00,34759840.00,231.00,3095,3751,9525,8869,372,46,70,4665,28,16,1738,18,1343,160,8,1061,0,0,9,143,410,818,63,11,200,2,38,56,0,17,117.95,1615,<1,44,541.77,1233,5,493,48.77,903,<1,16,126.32,1504,<1,55.5,428.12,631,5,449,45.93,687,<1,14
