year,agency,field,value
2008,EPA,litigation_cost,509033.24
2009,EPA,litigation_cost,527036.32
2010,EPA,litigation_cost,461467.66
2011,EPA,litigation_cost,457450.00
2012,EPA,litigation_cost,416100.00
2013,EPA,litigation_cost,578406.40
2014,EPA,litigation_cost,650707.20
2015,EPA,litigation_cost,678150.00
2016,EPA,litigation_cost,520565.76
2017,EPA,litigation_cost,931689.28
2018,EPA,litigation_cost,1848579.21
2019,EPA,litigation_cost,2132910.00
2020,EPA,litigation_cost,1999296.00
2021,EPA,litigation_cost,1728168.00
2022,EPA,litigation_cost,981056.00
2023,EPA,litigation_cost,942874.00
2024,EPA,litigation_cost,79250.00
2008,DOJ,litigation_cost,7184276.41
2009,DOJ,litigation_cost,6670938.80
2010,DOJ,litigation_cost,7545247.59
2011,DOJ,litigation_cost,9494586.85
2012,DOJ,litigation_cost,9804330.02
2013,DOJ,litigation_cost,9363327.89
2014,DOJ,litigation_cost,9574416.17
2015,DOJ,litigation_cost,11035308.88
2016,DOJ,litigation_cost,12010339.50
2017,DOJ,litigation_cost,13634557.47
2018,DOJ,litigation_cost,14589830.91
2019,DOJ,litigation_cost,16665796.23
2020,DOJ,litigation_cost,15704167.46
2021,DOJ,litigation_cost,17111703.82
2022,DOJ,litigation_cost,16752848.90
2023,DOJ,litigation_cost,18663738.58
2024,DOJ,litigation_cost,17572989.99
2010,ABMC,litigation_cost,0.00
2011,ABMC,litigation_cost,0.00
2012,ABMC,litigation_cost,0.00
2013,ABMC,litigation_cost,0.00
2014,ABMC,litigation_cost,0.00
2015,ABMC,litigation_cost,0.00
2016,ABMC,litigation_cost,8050.00
2017,ABMC,litigation_cost,0.00
2018,ABMC,litigation_cost,0.00
2019,ABMC,litigation_cost,0.00
2020,ABMC,litigation_cost,0.00
2021,ABMC,litigation_cost,0.00
2022,ABMC,litigation_cost,0.00
2023,ABMC,litigation_cost,0.00
2024,ABMC,litigation_cost,0.00
2018,ACHP,litigation_cost,0.00
2019,ACHP,litigation_cost,0.00
2020,ACHP,litigation_cost,0.00
2021,ACHP,litigation_cost,0.00
2022,ACHP,litigation_cost,0.00
2023,ACHP,litigation_cost,0.00
2024,ACHP,litigation_cost,0.00
2010,ACUS,litigation_cost,0.00
2011,ACUS,litigation_cost,0.00
2012,ACUS,litigation_cost,0.00
2013,ACUS,litigation_cost,0.00
2014,ACUS,litigation_cost,0.00
2015,ACUS,litigation_cost,0.00
2016,ACUS,litigation_cost,0.00
2017,ACUS,litigation_cost,0.00
2018,ACUS,litigation_cost,0.00
2019,ACUS,litigation_cost,0.00
2020,ACUS,litigation_cost,0.00
2021,ACUS,litigation_cost,0.00
2022,ACUS,litigation_cost,0.00
2023,ACUS,litigation_cost,0.00
2024,ACUS,litigation_cost,0.00
2011,AFRH,litigation_cost,0.00
2012,AFRH,litigation_cost,0.00
2013,AFRH,litigation_cost,0.00
2014,AFRH,litigation_cost,0.00
2015,AFRH,litigation_cost,0.00
2016,AFRH,litigation_cost,0.00
2017,AFRH,litigation_cost,0.00
2018,AFRH,litigation_cost,0.00
2019,AFRH,litigation_cost,0.00
2020,AFRH,litigation_cost,0.00
2021,AFRH,litigation_cost,0.00
2022,AFRH,litigation_cost,0.00
2023,AFRH,litigation_cost,0.00
2024,AFRH,litigation_cost,0.00
2016,ASC,litigation_cost,0.00
2017,ASC,litigation_cost,0.00
2018,ASC,litigation_cost,0.00
2019,ASC,litigation_cost,0.00
2020,ASC,litigation_cost,0.00
2021,ASC,litigation_cost,0.00
2022,ASC,litigation_cost,0.00
2023,ASC,litigation_cost,0.00
2024,ASC,litigation_cost,0.00
2008,CEQ,litigation_cost,9500.00
2009,CEQ,litigation_cost,9500.00
2010,CEQ,litigation_cost,3400.00
2011,CEQ,litigation_cost,35084.75
2012,CEQ,litigation_cost,0.00
2013,CEQ,litigation_cost,0.00
2014,CEQ,litigation_cost,0.00
2015,CEQ,litigation_cost,0.00
2016,CEQ,litigation_cost,0.00
2017,CEQ,litigation_cost,0.00
2018,CEQ,litigation_cost,0.00
2019,CEQ,litigation_cost,0.00
2020,CEQ,litigation_cost,81906.50
2021,CEQ,litigation_cost,51917.00
2022,CEQ,litigation_cost,0.00
2023,CEQ,litigation_cost,0.00
2024,CEQ,litigation_cost,164369.00
2016,CFA,litigation_cost,0.00
2017,CFA,litigation_cost,0.00
2018,CFA,litigation_cost,0.00
2019,CFA,litigation_cost,0.00
2020,CFA,litigation_cost,0.00
2021,CFA,litigation_cost,0.00
2022,CFA,litigation_cost,0.00
2023,CFA,litigation_cost,0.00
2024,CFA,litigation_cost,0.00
2013,CFPB,litigation_cost,5000.00
2014,CFPB,litigation_cost,25000.00
2015,CFPB,litigation_cost,5000.00
2016,CFPB,litigation_cost,0.00
2017,CFPB,litigation_cost,19303.00
2018,CFPB,litigation_cost,11200.00
2019,CFPB,litigation_cost,130000.00
2020,CFPB,litigation_cost,61045.00
2021,CFPB,litigation_cost,37424.00
2022,CFPB,litigation_cost,0.00
2023,CFPB,litigation_cost,24740.00
2024,CFPB,litigation_cost,5000.00
2008,CFTC,litigation_cost,0.00
2009,CFTC,litigation_cost,16536.54
2010,CFTC,litigation_cost,0.00
2011,CFTC,litigation_cost,0.00
2012,CFTC,litigation_cost,0.00
2013,CFTC,litigation_cost,0.00
2014,CFTC,litigation_cost,0.00
2015,CFTC,litigation_cost,0.00
2016,CFTC,litigation_cost,84167.00
2017,CFTC,litigation_cost,0.00
2018,CFTC,litigation_cost,0.00
2019,CFTC,litigation_cost,0.00
2020,CFTC,litigation_cost,189000.00
2021,CFTC,litigation_cost,0.00
2022,CFTC,litigation_cost,27624.95
2023,CFTC,litigation_cost,0.00
2024,CFTC,litigation_cost,0.00
2009,CIA,litigation_cost,1720000.00
2010,CIA,litigation_cost,1800000.00
2011,CIA,litigation_cost,1890000.00
2012,CIA,litigation_cost,1900000.00
2013,CIA,litigation_cost,1900000.00
2014,CIA,litigation_cost,2100000.00
2015,CIA,litigation_cost,2200000.00
2016,CIA,litigation_cost,2250000.00
2017,CIA,litigation_cost,2500000.00
2018,CIA,litigation_cost,1096706.00
2019,CIA,litigation_cost,1155651.00
2020,CIA,litigation_cost,998631.00
2021,CIA,litigation_cost,1033078.00
2022,CIA,litigation_cost,815061.60
2023,CIA,litigation_cost,1570163.72
2024,CIA,litigation_cost,1835221.25
2010,CIGIE,litigation_cost,0.00
2011,CIGIE,litigation_cost,0.00
2012,CIGIE,litigation_cost,405.49
2013,CIGIE,litigation_cost,1000.41
2014,CIGIE,litigation_cost,0.00
2015,CIGIE,litigation_cost,0.00
2016,CIGIE,litigation_cost,0.00
2017,CIGIE,litigation_cost,0.00
2018,CIGIE,litigation_cost,0.00
2019,CIGIE,litigation_cost,46328.45
2020,CIGIE,litigation_cost,8428.00
2021,CIGIE,litigation_cost,46133.78
2022,CIGIE,litigation_cost,17060.00
2023,CIGIE,litigation_cost,45236.10
2024,CIGIE,litigation_cost,92398.72
2008,CNCS,litigation_cost,0.00
2009,CNCS,litigation_cost,0.00
2010,CNCS,litigation_cost,1748.25
2011,CNCS,litigation_cost,0.00
2012,CNCS,litigation_cost,0.00
2013,CNCS,litigation_cost,0.00
2014,CNCS,litigation_cost,0.00
2015,CNCS,litigation_cost,0.00
2016,CNCS,litigation_cost,0.00
2017,CNCS,litigation_cost,0.00
2018,CNCS,litigation_cost,0.00
2019,CNCS,litigation_cost,0.00
2020,CNCS,litigation_cost,0.00
2021,CNCS,litigation_cost,0.00
2022,CNCS,litigation_cost,0.00
2023,CNCS,litigation_cost,0.00
2024,CNCS,litigation_cost,0.00
2008,CO,litigation_cost,0.00
2009,CO,litigation_cost,0.00
2010,CO,litigation_cost,0.00
2011,CO,litigation_cost,0.00
2012,CO,litigation_cost,0.00
2013,CO,litigation_cost,0.00
2014,CO,litigation_cost,0.00
2015,CO,litigation_cost,0.00
2016,CO,litigation_cost,0.00
2017,CO,litigation_cost,0.00
2018,CO,litigation_cost,0.00
2019,CO,litigation_cost,0.00
2020,CO,litigation_cost,0.00
2021,CO,litigation_cost,0.00
2022,CO,litigation_cost,0.00
2023,CO,litigation_cost,0.00
2024,CO,litigation_cost,0.00
2008,CPPBSD,litigation_cost,0.00
2009,CPPBSD,litigation_cost,0.00
2010,CPPBSD,litigation_cost,0.00
2011,CPPBSD,litigation_cost,0.00
2012,CPPBSD,litigation_cost,0.00
2013,CPPBSD,litigation_cost,0.00
2014,CPPBSD,litigation_cost,0.00
2015,CPPBSD,litigation_cost,0.00
2016,CPPBSD,litigation_cost,0.00
2017,CPPBSD,litigation_cost,0.00
2018,CPPBSD,litigation_cost,0.00
2019,CPPBSD,litigation_cost,9925.00
2020,CPPBSD,litigation_cost,0.00
2021,CPPBSD,litigation_cost,0.00
2022,CPPBSD,litigation_cost,0.00
2023,CPPBSD,litigation_cost,0.00
2024,CPPBSD,litigation_cost,0.00
2008,CPSC,litigation_cost,16000.00
2009,CPSC,litigation_cost,16000.00
2010,CPSC,litigation_cost,0.00
2011,CPSC,litigation_cost,35000.00
2012,CPSC,litigation_cost,1600.00
2013,CPSC,litigation_cost,0.00
2014,CPSC,litigation_cost,0.00
2015,CPSC,litigation_cost,40000.00
2016,CPSC,litigation_cost,16500.00
2017,CPSC,litigation_cost,17500.00
2018,CPSC,litigation_cost,3000.00
2019,CPSC,litigation_cost,0.00
2020,CPSC,litigation_cost,0.00
2021,CPSC,litigation_cost,23300.00
2022,CPSC,litigation_cost,0.00
2023,CPSC,litigation_cost,0.00
2024,CPSC,litigation_cost,2000.00
2008,CSB,litigation_cost,0.00
2009,CSB,litigation_cost,0.00
2010,CSB,litigation_cost,0.00
2011,CSB,litigation_cost,0.00
2012,CSB,litigation_cost,0.00
2013,CSB,litigation_cost,0.00
2014,CSB,litigation_cost,0.00
2015,CSB,litigation_cost,0.00
2016,CSB,litigation_cost,50000.00
2017,CSB,litigation_cost,3825.20
2018,CSB,litigation_cost,0.00
2019,CSB,litigation_cost,2104.00
2020,CSB,litigation_cost,0.00
2021,CSB,litigation_cost,4927.00
2022,CSB,litigation_cost,3200.00
2023,CSB,litigation_cost,0.00
2024,CSB,litigation_cost,0.00
2010,CSOSA,litigation_cost,0.00
2011,CSOSA,litigation_cost,0.00
2012,CSOSA,litigation_cost,0.00
2013,CSOSA,litigation_cost,0.00
2014,CSOSA,litigation_cost,0.00
2015,CSOSA,litigation_cost,0.00
2016,CSOSA,litigation_cost,0.00
2017,CSOSA,litigation_cost,0.00
2018,CSOSA,litigation_cost,0.00
2019,CSOSA,litigation_cost,0.00
2020,CSOSA,litigation_cost,0.00
2021,CSOSA,litigation_cost,0.00
2022,CSOSA,litigation_cost,0.00
2023,CSOSA,litigation_cost,0.00
2024,CSOSA,litigation_cost,0.00
2016,DC,litigation_cost,0.00
2017,DC,litigation_cost,0.00
2018,DC,litigation_cost,0.00
2019,DC,litigation_cost,0.00
2020,DC,litigation_cost,0.00
2021,DC,litigation_cost,0.00
2022,DC,litigation_cost,0.00
2023,DC,litigation_cost,0.00
2024,DC,litigation_cost,0.00
2020,DFC,litigation_cost,9780.00
2021,DFC,litigation_cost,9900.00
2022,DFC,litigation_cost,9900.00
2023,DFC,litigation_cost,9900.00
2024,DFC,litigation_cost,0.00
2008,DHS,litigation_cost,919467.66
2009,DHS,litigation_cost,2208352.19
2010,DHS,litigation_cost,1985762.31
2011,DHS,litigation_cost,1956380.20
2012,DHS,litigation_cost,1884873.63
2013,DHS,litigation_cost,3665649.84
2014,DHS,litigation_cost,2332884.06
2015,DHS,litigation_cost,1414674.17
2016,DHS,litigation_cost,6256163.97
2017,DHS,litigation_cost,3371007.54
2018,DHS,litigation_cost,7479639.76
2019,DHS,litigation_cost,3814896.44
2020,DHS,litigation_cost,3955813.57
2021,DHS,litigation_cost,2005475.60
2022,DHS,litigation_cost,2565679.38
2023,DHS,litigation_cost,2755773.62
2024,DHS,litigation_cost,943550.81
2008,DNFSB,litigation_cost,0.00
2009,DNFSB,litigation_cost,0.00
2010,DNFSB,litigation_cost,0.00
2011,DNFSB,litigation_cost,0.00
2012,DNFSB,litigation_cost,0.00
2013,DNFSB,litigation_cost,0.00
2014,DNFSB,litigation_cost,0.00
2015,DNFSB,litigation_cost,0.00
2016,DNFSB,litigation_cost,0.00
2017,DNFSB,litigation_cost,0.00
2018,DNFSB,litigation_cost,0.00
2019,DNFSB,litigation_cost,0.00
2020,DNFSB,litigation_cost,0.00
2021,DNFSB,litigation_cost,0.00
2022,DNFSB,litigation_cost,0.00
2023,DNFSB,litigation_cost,0.00
2024,DNFSB,litigation_cost,0.00
2008,DOC,litigation_cost,120809.74
2009,DOC,litigation_cost,62733.80
2010,DOC,litigation_cost,46088.01
2011,DOC,litigation_cost,189785.65
2012,DOC,litigation_cost,129309.27
2013,DOC,litigation_cost,181804.48
2014,DOC,litigation_cost,187032.85
2015,DOC,litigation_cost,157326.04
2016,DOC,litigation_cost,105805.11
2017,DOC,litigation_cost,207618.43
2018,DOC,litigation_cost,174447.10
2019,DOC,litigation_cost,174447.10
2020,DOC,litigation_cost,230217.83
2021,DOC,litigation_cost,48000.00
2022,DOC,litigation_cost,394472.57
2023,DOC,litigation_cost,766601.42
2010,DOE,litigation_cost,277440.00
2011,DOE,litigation_cost,200504.00
2012,DOE,litigation_cost,237572.12
2013,DOE,litigation_cost,300875.00
2014,DOE,litigation_cost,331709.00
2015,DOE,litigation_cost,293090.04
2016,DOE,litigation_cost,250143.00
2017,DOE,litigation_cost,276400.00
2018,DOE,litigation_cost,179000.00
2019,DOE,litigation_cost,344332.00
2020,DOE,litigation_cost,455457.00
2021,DOE,litigation_cost,351365.08
2022,DOE,litigation_cost,436213.98
2023,DOE,litigation_cost,666562.34
2024,DOE,litigation_cost,881998.74
2008,DOI,litigation_cost,277005.77
2009,DOI,litigation_cost,384905.05
2010,DOI,litigation_cost,360596.72
2011,DOI,litigation_cost,771470.74
2012,DOI,litigation_cost,752543.75
2013,DOI,litigation_cost,396322.81
2014,DOI,litigation_cost,451974.00
2015,DOI,litigation_cost,515616.01
2016,DOI,litigation_cost,1945011.07
2017,DOI,litigation_cost,796756.95
2018,DOI,litigation_cost,1032366.09
2019,DOI,litigation_cost,2511729.76
2020,DOI,litigation_cost,4505630.91
2021,DOI,litigation_cost,3693669.20
2022,DOI,litigation_cost,1586956.39
2023,DOI,litigation_cost,794239.81
2024,DOI,litigation_cost,993531.00
2008,DOL,litigation_cost,226600.00
2009,DOL,litigation_cost,425000.00
2010,DOL,litigation_cost,485000.00
2011,DOL,litigation_cost,497973.00
2012,DOL,litigation_cost,497973.00
2013,DOL,litigation_cost,497973.00
2014,DOL,litigation_cost,438354.00
2015,DOL,litigation_cost,429237.00
2016,DOL,litigation_cost,436175.00
2017,DOL,litigation_cost,500300.00
2018,DOL,litigation_cost,511796.00
2019,DOL,litigation_cost,511683.00
2020,DOL,litigation_cost,622681.00
2021,DOL,litigation_cost,604422.00
2022,DOL,litigation_cost,765756.00
2023,DOL,litigation_cost,802964.00
2024,DOL,litigation_cost,743296.00
2008,DOS,litigation_cost,356038.00
2009,DOS,litigation_cost,422923.00
2010,DOS,litigation_cost,512901.00
2011,DOS,litigation_cost,777588.00
2012,DOS,litigation_cost,964757.00
2013,DOS,litigation_cost,883923.70
2014,DOS,litigation_cost,2074925.00
2015,DOS,litigation_cost,3991167.10
2016,DOS,litigation_cost,1285054.00
2017,DOS,litigation_cost,9503777.00
2018,DOS,litigation_cost,1440357.04
2019,DOS,litigation_cost,1133455.00
2020,DOS,litigation_cost,1011236.10
2021,DOS,litigation_cost,1043742.00
2022,DOS,litigation_cost,1563790.00
2023,DOS,litigation_cost,521358.29
2024,DOS,litigation_cost,2027336.00
2008,DOT,litigation_cost,138575.00
2009,DOT,litigation_cost,87720.00
2010,DOT,litigation_cost,31854.00
2011,DOT,litigation_cost,102089.00
2012,DOT,litigation_cost,200365.00
2013,DOT,litigation_cost,110569.40
2014,DOT,litigation_cost,393065.45
2015,DOT,litigation_cost,580377.26
2016,DOT,litigation_cost,296012.09
2017,DOT,litigation_cost,417067.67
2018,DOT,litigation_cost,278505.42
2019,DOT,litigation_cost,215419.00
2020,DOT,litigation_cost,130757.57
2021,DOT,litigation_cost,120466.00
2022,DOT,litigation_cost,188280.00
2023,DOT,litigation_cost,718964.00
2024,DOT,litigation_cost,172219.00
2016,EAC,litigation_cost,0.00
2017,EAC,litigation_cost,0.00
2018,EAC,litigation_cost,0.00
2019,EAC,litigation_cost,0.00
2020,EAC,litigation_cost,0.00
2021,EAC,litigation_cost,8000.00
2022,EAC,litigation_cost,3675.00
2023,EAC,litigation_cost,3675.00
2024,EAC,litigation_cost,15200.00
2008,ED,litigation_cost,117328.00
2019,ED,litigation_cost,537813.95
2020,ED,litigation_cost,402491.53
2021,ED,litigation_cost,241223.65
2022,ED,litigation_cost,167575.00
2023,ED,litigation_cost,73833.34
2024,ED,litigation_cost,662499.91
2010,EEOC,litigation_cost,2681.74
2011,EEOC,litigation_cost,1110.00
2012,EEOC,litigation_cost,320.00
2013,EEOC,litigation_cost,2000.00
2014,EEOC,litigation_cost,1460.00
2015,EEOC,litigation_cost,5320.00
2016,EEOC,litigation_cost,5974.20
2017,EEOC,litigation_cost,800.00
2018,EEOC,litigation_cost,0.00
2019,EEOC,litigation_cost,4863.05
2020,EEOC,litigation_cost,11200.00
2021,EEOC,litigation_cost,4200.00
2022,EEOC,litigation_cost,2000.00
2023,EEOC,litigation_cost,6000.00
2024,EEOC,litigation_cost,1600.00
2023,EXIM,litigation_cost,0.00
2024,EXIM,litigation_cost,0.00
2008,EXIM Bank,litigation_cost,0.00
2009,EXIM Bank,litigation_cost,0.00
2010,EXIM Bank,litigation_cost,0.00
2011,EXIM Bank,litigation_cost,0.00
2012,EXIM Bank,litigation_cost,0.00
2013,EXIM Bank,litigation_cost,0.00
2014,EXIM Bank,litigation_cost,0.00
2015,EXIM Bank,litigation_cost,0.00
2016,EXIM Bank,litigation_cost,0.00
2017,EXIM Bank,litigation_cost,0.00
2018,EXIM Bank,litigation_cost,0.00
2019,EXIM Bank,litigation_cost,0.00
2020,EXIM Bank,litigation_cost,17080.00
2021,EXIM Bank,litigation_cost,34500.00
2022,EXIM Bank,litigation_cost,0.00
2008,FCA,litigation_cost,0.00
2009,FCA,litigation_cost,0.00
2010,FCA,litigation_cost,0.00
2011,FCA,litigation_cost,0.00
2012,FCA,litigation_cost,0.00
2013,FCA,litigation_cost,0.00
2014,FCA,litigation_cost,0.00
2015,FCA,litigation_cost,0.00
2016,FCA,litigation_cost,0.00
2017,FCA,litigation_cost,0.00
2018,FCA,litigation_cost,0.00
2019,FCA,litigation_cost,0.00
2020,FCA,litigation_cost,0.00
2021,FCA,litigation_cost,0.00
2022,FCA,litigation_cost,0.00
2023,FCA,litigation_cost,100.00
2024,FCA,litigation_cost,100.00
2008,FCC,litigation_cost,35946.48
2009,FCC,litigation_cost,60852.00
2010,FCC,litigation_cost,36340.80
2011,FCC,litigation_cost,87400.41
2012,FCC,litigation_cost,75679.00
2013,FCC,litigation_cost,14681.35
2014,FCC,litigation_cost,18516.26
2015,FCC,litigation_cost,27304.56
2016,FCC,litigation_cost,119125.59
2017,FCC,litigation_cost,20221.57
2018,FCC,litigation_cost,133934.04
2019,FCC,litigation_cost,67372.50
2020,FCC,litigation_cost,45028.26
2021,FCC,litigation_cost,28921.76
2022,FCC,litigation_cost,19692.56
2023,FCC,litigation_cost,33354.76
2024,FCC,litigation_cost,25701.13
2008,FCSIC,litigation_cost,0.00
2009,FCSIC,litigation_cost,0.00
2010,FCSIC,litigation_cost,0.00
2011,FCSIC,litigation_cost,0.00
2012,FCSIC,litigation_cost,0.00
2013,FCSIC,litigation_cost,0.00
2014,FCSIC,litigation_cost,0.00
2015,FCSIC,litigation_cost,0.00
2016,FCSIC,litigation_cost,0.00
2017,FCSIC,litigation_cost,0.00
2018,FCSIC,litigation_cost,300.00
2019,FCSIC,litigation_cost,0.00
2020,FCSIC,litigation_cost,0.00
2021,FCSIC,litigation_cost,0.00
2022,FCSIC,litigation_cost,0.00
2023,FCSIC,litigation_cost,0.00
2024,FCSIC,litigation_cost,0.00
2008,FDIC,litigation_cost,0.00
2009,FDIC,litigation_cost,27078.00
2010,FDIC,litigation_cost,55353.00
2011,FDIC,litigation_cost,22152.00
2012,FDIC,litigation_cost,0.00
2013,FDIC,litigation_cost,5976.00
2014,FDIC,litigation_cost,28930.00
2015,FDIC,litigation_cost,30200.00
2016,FDIC,litigation_cost,33944.00
2017,FDIC,litigation_cost,89177.00
2018,FDIC,litigation_cost,56532.00
2019,FDIC,litigation_cost,10156.00
2020,FDIC,litigation_cost,228501.00
2021,FDIC,litigation_cost,35800.60
