Agency,Status,Number
Business Affairs and Consumer Protection Department,Burdensome,4
Business Affairs and Consumer Protection Department,Duplicate,32
Business Affairs and Consumer Protection Department,Exemption Denial,5
Business Affairs and Consumer Protection Department,Full Release,133
Business Affairs and Consumer Protection Department,In Progress,3
Business Affairs and Consumer Protection Department,No Records Exist,113
Business Affairs and Consumer Protection Department,No Response from Requestor,3
Business Affairs and Consumer Protection Department,Not Public Records Request,3
Business Affairs and Consumer Protection Department,Partial Release,404
Business Affairs and Consumer Protection Department,Time Extension,1
Business Affairs and Consumer Protection Department,Withdrawn,12
Public Health Department,Burdensome,19
Public Health Department,Duplicate,1
Public Health Department,Exemption Denial,26
Public Health Department,Full Release,120
Public Health Department,In Progress,1
Public Health Department,No Records Exist,71
Public Health Department,No Response from Requestor,371
Public Health Department,Not Public Records Request,2
Public Health Department,Partial Release,31
Public Health Department,Time Extension,2
Public Health Department,Withdrawn,6
