"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"Department of Transportation","Agency Overall","2008","1583","89"
"National Archives and Records Administration","Agency Overall","2008","5781","29"
"National Indian Gaming Commission","Agency Overall","2008","1","0"
"National Railroad Passenger Corporation","Agency Overall","2008","17","1"
"Federal Housing Finance Agency","Agency Overall","2008","0","0"
"United States Copyright Office","Agency Overall","2008","10","0"
"Federal Maritime Commission","Agency Overall","2008","11","0"
"Postal Regulatory Commission","Agency Overall","2008","0","0"
"Department of Health and Human Services","Agency Overall","2008","19351","463"
"Department of Education","Agency Overall","2008","348","20"
"Federal Deposit Insurance Corporation","Agency Overall","2008","10","0"
"Environmental Protection Agency","Agency Overall","2008","783","151"
"National Science Foundation","Agency Overall","2008","1","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","2","0"
"Federal Open Market Committee","Agency Overall","2008","0","0"
"United States International Trade Commission","Agency Overall","2008","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","25","0"
"Department of Commerce","Agency Overall","2008","143","87"
"Securities and Exchange Commission","Agency Overall","2008","899","45"
"General Services Administration","Agency Overall","2008","2","0"
"Federal Communications Commission","Agency Overall","2008","25","23"
"Office of Management and Budget","Agency Overall","2008","0","0"
"Overseas Private Investment Corporation","Agency Overall","2008","0","1"
"Surface Transportation Board","Agency Overall","2008","0","0"
"Department of Energy","Agency Overall","2008","247","6"
"Federal Mediation and Conciliation Service","Agency Overall","2008","0","0"
"Office of Science and Technology Policy","Agency Overall","2008","5","2"
"Department of Labor","Agency Overall","2008","416","161"
"Export-Import Bank of the U.S.","Agency Overall","2008","9","0"
"Institute of Museum and Library Services","Agency Overall","2008","1","0"
"U.S. Railroad Retirement Board","Agency Overall","2008","5","0"
"Office of Personnel Management","Agency Overall","2008","93","3"
"U.S. Agency for International Development","Agency Overall","2008","116","5"
"National Credit Union Administration","Agency Overall","2008","0","0"
"Department of Veterans Affairs","Agency Overall","2008","2840","68"
"Department of Housing and Urban Development","Agency Overall","2008","697","0"
"Consumer Product Safety Commission","Agency Overall","2008","320","0"
"Council on Environmental Quality","Agency Overall","2008","5","0"
"Department of Homeland Security","Agency Overall","2008","74879","2401"
"United States International Boundary and Water Commission","Agency Overall","2008","0","0"
"Small Business Administration","Agency Overall","2008","8","1"
"Social Security Administration","Agency Overall","2008","147","1"
"Peace Corps","Agency Overall","2008","16","4"
"U.S. Department of State","Agency Overall","2008","4327","480"
"Federal Reserve System","Agency Overall","2008","5","0"
"National Endowment for the Humanities","Agency Overall","2008","2","0"
"National Mediation Board","Agency Overall","2008","0","0"
"Merit Systems Protection Board","Agency Overall","2008","6","0"
"Federal Labor Relations Authority","Agency Overall","2008","10","0"
"Tennessee Valley Authority","Agency Overall","2008","0","0"
"Office of National Drug Control Policy","Agency Overall","2008","0","0"
"Selective Service System","Agency Overall","2008","0","0"
"Federal Trade Commission","Agency Overall","2008","1","0"
"Occupational Safety and Health Review Commission","Agency Overall","2008","0","0"
"National Aeronautics and Space Administration","Agency Overall","2008","88","8"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0"
"Inter-American Foundation","Agency Overall","2008","0","0"
"Farm Credit Administration","Agency Overall","2008","0","0"
"Department of Defense","Agency Overall","2008","11533","675"
"Department of Justice","Agency Overall","2008","4364","527"
"Federal Energy Regulatory Commission","Agency Overall","2008","1","0"
"Commodity Futures Trading Commission","Agency Overall","2008","6","0"
"Department of the Interior","Agency Overall","2008","666","537"
"Farm Credit System Insurance Corporation","Agency Overall","2008","0","0"
"Department of the Treasury","Agency Overall","2008","718","53"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","0","0"
"Office of Government Ethics","Agency Overall","2008","0","0"
"Nuclear Regulatory Commission","Agency Overall","2008","6","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","0","0"
"Federal Election Commission","Agency Overall","2008","6","1"
"All agencies","Agency Overall","2008","130535","5842"
