"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Department of Transportation","Agency Overall","2008","116","143","160","130"
"National Archives and Records Administration","Agency Overall","2008","36","42","47","21"
"National Indian Gaming Commission","Agency Overall","2008","2","3","2","3"
"National Railroad Passenger Corporation","Agency Overall","2008","3","2","3","1"
"Federal Housing Finance Agency","Agency Overall","2008","0","1","0","1"
"United States Copyright Office","Agency Overall","2008","1","0","1","1"
"Federal Maritime Commission","Agency Overall","2008","","","",""
"Postal Regulatory Commission","Agency Overall","2008","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2008","254","199","141","370"
"Department of Education","Agency Overall","2008","43","67","42","54"
"Federal Deposit Insurance Corporation","Agency Overall","2008","4","3","4","1"
"Environmental Protection Agency","Agency Overall","2008","97","129","127","165"
"National Science Foundation","Agency Overall","2008","4","10","4","10"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","2","1","2","1"
"Federal Open Market Committee","Agency Overall","2008","0","0","0","0"
"United States International Trade Commission","Agency Overall","2008","1","0","1","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","1","0","1","0"
"Department of Commerce","Agency Overall","2008","60","70","59","63"
"Securities and Exchange Commission","Agency Overall","2008","143","196","207","187"
"General Services Administration","Agency Overall","2008","18","18","18","18"
"Federal Communications Commission","Agency Overall","2008","24","25","19","20"
"Office of Management and Budget","Agency Overall","2008","12","8","11","7"
"Overseas Private Investment Corporation","Agency Overall","2008","3","2","3","2"
"Surface Transportation Board","Agency Overall","2008","0","0","0","0"
"Department of Energy","Agency Overall","2008","46","55","51","51"
"Federal Mediation and Conciliation Service","Agency Overall","2008","2","0","2","0"
"Office of Science and Technology Policy","Agency Overall","2008","2","1","2","0"
"Department of Labor","Agency Overall","2008","","","",""
"Export-Import Bank of the U.S.","Agency Overall","2008","3","0","2","1"
"Institute of Museum and Library Services","Agency Overall","2008","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2008","1","1","1","2"
"Office of Personnel Management","Agency Overall","2008","22","35","22","32"
"U.S. Agency for International Development","Agency Overall","2008","15","7","12","4"
"National Credit Union Administration","Agency Overall","2008","3","3","3","3"
"Department of Veterans Affairs","Agency Overall","2008","223","157","204","230"
"Department of Housing and Urban Development","Agency Overall","2008","45","39","43","41"
"Consumer Product Safety Commission","Agency Overall","2008","19","24","19","24"
"Council on Environmental Quality","Agency Overall","2008","0","3","1","3"
"Department of Homeland Security","Agency Overall","2008","1617","1692","1171","2590"
"United States International Boundary and Water Commission","Agency Overall","2008","1","0","1","0"
"Small Business Administration","Agency Overall","2008","21","24","19","22"
"Social Security Administration","Agency Overall","2008","73","52","70","74"
"Peace Corps","Agency Overall","2008","2","5","2","1"
"U.S. Department of State","Agency Overall","2008","390","182","110","486"
"Federal Reserve System","Agency Overall","2008","8","11","8","11"
"National Endowment for the Humanities","Agency Overall","2008","0","2","2","2"
"National Mediation Board","Agency Overall","2008","0","1","0","1"
"Merit Systems Protection Board","Agency Overall","2008","8","10","8","10"
"Federal Labor Relations Authority","Agency Overall","2008","3","5","3","5"
"Tennessee Valley Authority","Agency Overall","2008","5","10","4","8"
"Office of National Drug Control Policy","Agency Overall","2008","0","1","0","1"
"Selective Service System","Agency Overall","2008","1","0","1","0"
"Federal Trade Commission","Agency Overall","2008","19","15","19","15"
"Occupational Safety and Health Review Commission","Agency Overall","2008","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2008","29","22","29","13"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0","0","0"
"Inter-American Foundation","Agency Overall","2008","2","0","2","0"
"Farm Credit Administration","Agency Overall","2008","3","0","3","0"
"Department of Defense","Agency Overall","2008","893","864","946","862"
"Department of Justice","Agency Overall","2008","2560","2852","4255","3667"
"Federal Energy Regulatory Commission","Agency Overall","2008","9","8","11","7"
"Commodity Futures Trading Commission","Agency Overall","2008","0","5","1","4"
"Department of the Interior","Agency Overall","2008","192","214","284","300"
"Farm Credit System Insurance Corporation","Agency Overall","2008","0","0","0","0"
"Department of the Treasury","Agency Overall","2008","308","334","332","317"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","0","0","0","0"
"Office of Government Ethics","Agency Overall","2008","1","0","1","0"
"Nuclear Regulatory Commission","Agency Overall","2008","6","8","7","9"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","","","",""
"Federal Election Commission","Agency Overall","2008","1","1","1","0"
"All agencies","Agency Overall","2008","7357","7562","8504","9851"
