"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Department of Transportation","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2007-08-28","272"
"National Archives and Records Administration","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Indian Gaming Commission","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Railroad Passenger Corporation","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2008-04-01","182"
"Federal Housing Finance Agency","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Copyright Office","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Maritime Commission","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Postal Regulatory Commission","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Health and Human Services","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Education","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Deposit Insurance Corporation","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Environmental Protection Agency","Agency Overall","2008","2008-09-16","10","2008-08-15","32","2008-05-20","92","2008-05-20","92","2008-05-20","92","2007-08-28","274","2007-02-27","400","2006-12-20","447","2006-12-13","452","2006-01-30","670"
"National Science Foundation","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Open Market Committee","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Trade Commission","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Commerce","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2008-08-28","22","2008-08-27","23","2008-08-27","23","2008-07-18","55","2008-07-18","55"
"Securities and Exchange Commission","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"General Services Administration","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Communications Commission","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Management and Budget","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Overseas Private Investment Corporation","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Surface Transportation Board","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Energy","Agency Overall","2008","2004-07-20","1534","2004-07-20","1534","2003-09-16","1842","2003-06-13","1937","2001-09-07","2581","2001-08-29","2590","2001-06-14","2666","2001-01-26","2805","2001-01-25","2806","1998-06-11","3765"
"Federal Mediation and Conciliation Service","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Labor","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Export-Import Bank of the U.S.","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Railroad Retirement Board","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Personnel Management","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2008-09-04","27"
"U.S. Agency for International Development","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2008-09-29","1"
"National Credit Union Administration","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Veterans Affairs","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Housing and Urban Development","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Consumer Product Safety Commission","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Council on Environmental Quality","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Homeland Security","Agency Overall","2008","2008-01-28","173","2007-11-27","214","2007-08-01","294","2006-11-30","462","2006-09-07","519","2006-09-07","519","2006-06-02","586","2004-12-01","963","2004-08-02","1050","2004-07-01","1072"
"United States International Boundary and Water Commission","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Small Business Administration","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Social Security Administration","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Peace Corps","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Department of State","Agency Overall","2008","2005-03-22","887","2005-02-10","914","2004-08-13","1036","2004-08-13","1036","2004-08-13","1036","2004-04-21","1116","2004-04-06","1127","2004-03-17","1141","2003-07-11","1308","2003-05-16","1346"
"Federal Reserve System","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Endowment for the Humanities","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Mediation Board","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Merit Systems Protection Board","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Labor Relations Authority","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Tennessee Valley Authority","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of National Drug Control Policy","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Selective Service System","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Trade Commission","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Occupational Safety and Health Review Commission","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Aeronautics and Space Administration","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Financial Institutions Examination Council","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Inter-American Foundation","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Farm Credit Administration","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Defense","Agency Overall","2008","1999-12-01","2213","1999-11-23","2218","1998-11-24","2468","1997-06-23","2824","1997-02-28","2904","1997-01-31","2923","1996-07-22","3055","1995-06-30","3320","1995-06-29","3321","1994-12-29","3447"
