"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Department of Transportation","Agency Overall","2008","3938","2613","100","2521","37","684","140","18","59","109","19","164","10402"
"National Archives and Records Administration","Agency Overall","2008","506","190","25","12232","108","27","10","177","21","8","23","145","13472"
"National Indian Gaming Commission","Agency Overall","2008","23","42","5","23","0","6","5","0","0","0","0","0","104"
"National Railroad Passenger Corporation","Agency Overall","2008","35","28","12","9","0","13","64","11","35","3","28","2","240"
"Federal Housing Finance Agency","Agency Overall","2008","19","1","0","16","0","0","0","0","0","0","0","0","36"
"United States Copyright Office","Agency Overall","2008","13","1","0","2","0","2","1","1","0","0","0","26","46"
"Federal Maritime Commission","Agency Overall","2008","0","0","0","1","0","1","0","0","0","0","0","0","2"
"Postal Regulatory Commission","Agency Overall","2008","13","0","0","3","0","0","0","0","0","16","0","0","32"
"Department of Health and Human Services","Agency Overall","2008","46820","776","1824","4737","1349","7697","292","133","934","36","412","1573","66583"
"Department of Education","Agency Overall","2008","644","1029","62","178","1","136","54","12","56","35","29","0","2236"
"Federal Deposit Insurance Corporation","Agency Overall","2008","531","44","27","50","1","82","11","28","0","4","2","0","780"
"Environmental Protection Agency","Agency Overall","2008","4712","538","72","5181","85","531","19","48","11","12","56","370","11635"
"National Science Foundation","Agency Overall","2008","36","255","8","9","0","17","4","3","1","14","0","5","352"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","9","0","1","16","0","0","0","0","0","0","1","0","27"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","29","6","0","9","0","4","0","2","0","0","0","46","96"
"Federal Open Market Committee","Agency Overall","2008","7","3","1","6","2","0","0","0","2","0","0","0","21"
"United States International Trade Commission","Agency Overall","2008","30","1","0","14","0","1","0","3","10","8","0","0","67"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","4","10","10","2","0","10","0","2","1","1","0","0","40"
"Department of Commerce","Agency Overall","2008","654","338","110","275","54","88","115","15","68","105","14","49","1885"
"Securities and Exchange Commission","Agency Overall","2008","1635","453","612","8764","388","3134","196","19","7","15","116","257","15596"
"General Services Administration","Agency Overall","2008","1296","134","27","0","0","0","0","0","0","0","0","0","1457"
"Federal Communications Commission","Agency Overall","2008","201","255","9","90","3","65","59","23","2","9","3","11","730"
"Office of Management and Budget","Agency Overall","2008","48","13","30","48","1","0","0","0","0","2","0","0","142"
"Overseas Private Investment Corporation","Agency Overall","2008","14","14","2","17","0","3","0","0","0","0","0","0","50"
"Surface Transportation Board","Agency Overall","2008","11","3","0","5","0","5","0","0","0","0","0","0","24"
"Department of Energy","Agency Overall","2008","724","295","44","207","243","125","13","2","13","27","20","1","1714"
"Federal Mediation and Conciliation Service","Agency Overall","2008","81","2","0","13","0","1","3","1","0","6","0","0","107"
"Office of Science and Technology Policy","Agency Overall","2008","6","2","0","8","0","3","0","0","0","0","0","1","20"
"Department of Labor","Agency Overall","2008","4706","7750","2048","3914","1050","349","130","187","144","120","325","247","20970"
"Export-Import Bank of the U.S.","Agency Overall","2008","41","43","3","4","0","6","0","0","0","0","0","0","97"
"Institute of Museum and Library Services","Agency Overall","2008","15","18","0","10","0","0","0","0","1","0","0","0","44"
"U.S. Railroad Retirement Board","Agency Overall","2008","48","5","15","11","0","0","1","1","0","1","0","0","82"
"Office of Personnel Management","Agency Overall","2008","6708","98","40","71","","108","","","","","98","","7123"
"U.S. Agency for International Development","Agency Overall","2008","58","91","9","45","3","52","4","1","0","2","10","4","279"
"National Credit Union Administration","Agency Overall","2008","53","58","7","10","0","13","1","0","7","4","0","0","153"
"Department of Veterans Affairs","Agency Overall","2008","51601","3332","9357","12279","7353","1415","713","1501","4428","1210","4472","794","98455"
"Department of Housing and Urban Development","Agency Overall","2008","764","316","67","265","194","206","134","129","144","51","175","621","3066"
"Consumer Product Safety Commission","Agency Overall","2008","2880","247","133","194","300","29","11","8","2","0","33","0","3837"
"Council on Environmental Quality","Agency Overall","2008","11","14","0","22","0","0","0","0","0","0","0","3","50"
"Department of Homeland Security","Agency Overall","2008","12405","55963","1190","8616","4581","1808","147","138","16391","2013","5529","247","109028"
"United States International Boundary and Water Commission","Agency Overall","2008","11","6","0","7","0","0","0","0","0","0","0","0","24"
"Small Business Administration","Agency Overall","2008","2250","132","44","132","34","17","6","5","3","15","2","0","2640"
"Social Security Administration","Agency Overall","2008","33389","328","460","274","12","10","50","70","0","0","73","0","34666"
"Peace Corps","Agency Overall","2008","82","14","8","26","0","2","2","1","0","0","0","0","135"
"U.S. Department of State","Agency Overall","2008","606","903","722","542","241","176","73","269","1002","873","123","47","5577"
"Federal Reserve System","Agency Overall","2008","496","91","27","53","58","97","0","7","4","0","3","0","836"
"National Endowment for the Humanities","Agency Overall","2008","7","10","1","3","0","0","0","0","0","0","0","3","24"
"National Mediation Board","Agency Overall","2008","11","1","1","3","0","0","0","0","0","0","0","0","16"
"Merit Systems Protection Board","Agency Overall","2008","315","15","0","28","1","3","0","1","0","0","4","0","367"
"Federal Labor Relations Authority","Agency Overall","2008","43","8","1","13","5","1","0","0","0","0","0","6","77"
"Tennessee Valley Authority","Agency Overall","2008","21","80","7","21","0","4","6","1","0","0","0","0","140"
"Office of National Drug Control Policy","Agency Overall","2008","13","9","0","13","6","3","0","0","0","0","0","0","44"
"Selective Service System","Agency Overall","2008","55","0","0","0","0","0","0","0","0","0","0","0","55"
"Federal Trade Commission","Agency Overall","2008","612","341","13","152","1","40","3","4","4","2","2","4","1178"
"Occupational Safety and Health Review Commission","Agency Overall","2008","32","3","0","10","0","29","0","0","0","0","0","0","74"
"National Aeronautics and Space Administration","Agency Overall","2008","397","353","59","126","150","64","25","32","14","2","9","27","1258"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2008","1","0","0","3","0","0","0","2","0","0","0","0","6"
"Farm Credit Administration","Agency Overall","2008","12","6","1","9","0","0","0","0","0","0","0","0","28"
