"Agency","Component","Fiscal Year","Total"
"Department of Transportation","Agency Overall","2008","164"
"National Archives and Records Administration","Agency Overall","2008","145"
"National Indian Gaming Commission","Agency Overall","2008","0"
"National Railroad Passenger Corporation","Agency Overall","2008","2"
"Federal Housing Finance Agency","Agency Overall","2008","0"
"United States Copyright Office","Agency Overall","2008","26"
"Federal Maritime Commission","Agency Overall","2008","0"
"Postal Regulatory Commission","Agency Overall","2008","0"
"Department of Health and Human Services","Agency Overall","2008","1573"
"Department of Education","Agency Overall","2008","0"
"Federal Deposit Insurance Corporation","Agency Overall","2008","0"
"Environmental Protection Agency","Agency Overall","2008","370"
"National Science Foundation","Agency Overall","2008","5"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","46"
"Federal Open Market Committee","Agency Overall","2008","0"
"United States International Trade Commission","Agency Overall","2008","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","0"
"Department of Commerce","Agency Overall","2008","49"
"Securities and Exchange Commission","Agency Overall","2008","257"
"General Services Administration","Agency Overall","2008","0"
"Federal Communications Commission","Agency Overall","2008","11"
"Office of Management and Budget","Agency Overall","2008","0"
"Overseas Private Investment Corporation","Agency Overall","2008","0"
"Surface Transportation Board","Agency Overall","2008","0"
"Department of Energy","Agency Overall","2008","1"
"Federal Mediation and Conciliation Service","Agency Overall","2008","0"
"Office of Science and Technology Policy","Agency Overall","2008","1"
"Department of Labor","Agency Overall","2008","247"
"Export-Import Bank of the U.S.","Agency Overall","2008","0"
"Institute of Museum and Library Services","Agency Overall","2008","0"
"U.S. Railroad Retirement Board","Agency Overall","2008","0"
"Office of Personnel Management","Agency Overall","2008","0"
"U.S. Agency for International Development","Agency Overall","2008","4"
"National Credit Union Administration","Agency Overall","2008","0"
"Department of Veterans Affairs","Agency Overall","2008","794"
"Department of Housing and Urban Development","Agency Overall","2008","621"
"Consumer Product Safety Commission","Agency Overall","2008","0"
"Council on Environmental Quality","Agency Overall","2008","3"
"Department of Homeland Security","Agency Overall","2008","247"
"United States International Boundary and Water Commission","Agency Overall","2008","0"
"Small Business Administration","Agency Overall","2008","0"
"Social Security Administration","Agency Overall","2008","0"
"Peace Corps","Agency Overall","2008","0"
"U.S. Department of State","Agency Overall","2008","47"
"Federal Reserve System","Agency Overall","2008","0"
"National Endowment for the Humanities","Agency Overall","2008","3"
"National Mediation Board","Agency Overall","2008","0"
"Merit Systems Protection Board","Agency Overall","2008","0"
"Federal Labor Relations Authority","Agency Overall","2008","6"
"Tennessee Valley Authority","Agency Overall","2008","0"
"Office of National Drug Control Policy","Agency Overall","2008","0"
"Selective Service System","Agency Overall","2008","0"
"Federal Trade Commission","Agency Overall","2008","4"
"Occupational Safety and Health Review Commission","Agency Overall","2008","0"
"National Aeronautics and Space Administration","Agency Overall","2008","27"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0"
"Inter-American Foundation","Agency Overall","2008","0"
"Farm Credit Administration","Agency Overall","2008","0"
"Department of Defense","Agency Overall","2008","831"
"Department of Justice","Agency Overall","2008","1486"
"Federal Energy Regulatory Commission","Agency Overall","2008","0"
"Commodity Futures Trading Commission","Agency Overall","2008","0"
"Department of the Interior","Agency Overall","2008","69"
"Farm Credit System Insurance Corporation","Agency Overall","2008","0"
"Department of the Treasury","Agency Overall","2008","105"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","0"
"Office of Government Ethics","Agency Overall","2008","0"
"Nuclear Regulatory Commission","Agency Overall","2008","33"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","0"
"Federal Election Commission","Agency Overall","2008","0"
"All agencies","Agency Overall","2008","7177"
