"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Department of Transportation","Agency Overall","2008","9002231.00","138575.00","9140806.00","228016.00","2.5300"
"National Archives and Records Administration","Agency Overall","2008","2336157.00","0.00","2336157.00","210.00","0.0100"
"National Indian Gaming Commission","Agency Overall","2008","130000.00","0.00","130000.00","2652.05","2.0400"
"National Railroad Passenger Corporation","Agency Overall","2008","120370.00","44648.00","165018.00","3663.00","3.0400"
"Federal Housing Finance Agency","Agency Overall","2008","27575.00","0.00","27575.00","108.00","0.3900"
"United States Copyright Office","Agency Overall","2008","71000.00","0.00","71000.00","1226.00","1.7300"
"Federal Maritime Commission","Agency Overall","2008","3893.00","0.00","3893.00","0.00","0.0000"
"Postal Regulatory Commission","Agency Overall","2008","0.00","0.00","0.00","0.00","0.0000"
"Department of Health and Human Services","Agency Overall","2008","27175478.20","961868.00","28137346.20","967867.60","3.5600"
"Department of Education","Agency Overall","2008","2439773.00","117328.00","2557101.00","15114.00","0.6200"
"Federal Deposit Insurance Corporation","Agency Overall","2008","2080000.00","0.00","2080000.00","12672.16","0.6100"
"Environmental Protection Agency","Agency Overall","2008","9188610.73","509033.24","9697643.97","316698.15","3.4500"
"National Science Foundation","Agency Overall","2008","295339.00","0.00","295339.00","4627.75","1.5700"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","2763.85","0.00","2763.85","0.00","0.0000"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","10000.00","0.00","10000.00","508.57","5.0900"
"Federal Open Market Committee","Agency Overall","2008","52541.00","0.00","52541.00","0.00","0.0000"
"United States International Trade Commission","Agency Overall","2008","7442.13","0.00","7442.13","224.00","3.0100"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","115589.00","0.00","115589.00","9796.00","8.4700"
"Department of Commerce","Agency Overall","2008","1673049.37","120809.74","1793859.11","89970.72","5.3800"
"Securities and Exchange Commission","Agency Overall","2008","4052681.00","238685.00","4291366.00","62466.00","1.5400"
"General Services Administration","Agency Overall","2008","2100000.00","10000.00","2110000.00","59079.00","2.8100"
"Federal Communications Commission","Agency Overall","2008","1837567.00","35946.48","1873513.48","39731.29","2.1600"
"Office of Management and Budget","Agency Overall","2008","162000.00","250000.00","412000.00","0.00","0.0000"
"Overseas Private Investment Corporation","Agency Overall","2008","98586.00","0.00","98586.00","0.00","0.0000"
"Surface Transportation Board","Agency Overall","2008","54226.00","0.00","54226.00","407.00","0.7500"
"Department of Energy","Agency Overall","2008","4461714.83","134014.00","4595728.83","21624.88","0.4800"
"Federal Mediation and Conciliation Service","Agency Overall","2008","61000.00","0.00","61000.00","75.00","0.1200"
