"Agency","Component","Fiscal Year","Number of Records Posted by the FOIA Office","Number of Records Posted by Program Offices"
"Department of Transportation","Agency Overall","2008","",""
"National Archives and Records Administration","Agency Overall","2008","",""
"National Indian Gaming Commission","Agency Overall","2008","",""
"National Railroad Passenger Corporation","Agency Overall","2008","",""
"Federal Housing Finance Agency","Agency Overall","2008","",""
"United States Copyright Office","Agency Overall","2008","",""
"Federal Maritime Commission","Agency Overall","2008","",""
"Postal Regulatory Commission","Agency Overall","2008","",""
"Department of Health and Human Services","Agency Overall","2008","",""
"Department of Education","Agency Overall","2008","",""
"Federal Deposit Insurance Corporation","Agency Overall","2008","",""
"Environmental Protection Agency","Agency Overall","2008","",""
"National Science Foundation","Agency Overall","2008","",""
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","",""
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","",""
"Federal Open Market Committee","Agency Overall","2008","",""
"United States International Trade Commission","Agency Overall","2008","",""
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","",""
"Department of Commerce","Agency Overall","2008","",""
"Securities and Exchange Commission","Agency Overall","2008","",""
"General Services Administration","Agency Overall","2008","",""
"Federal Communications Commission","Agency Overall","2008","",""
"Office of Management and Budget","Agency Overall","2008","",""
"Overseas Private Investment Corporation","Agency Overall","2008","",""
"Surface Transportation Board","Agency Overall","2008","",""
"Department of Energy","Agency Overall","2008","",""
"Federal Mediation and Conciliation Service","Agency Overall","2008","",""
"Office of Science and Technology Policy","Agency Overall","2008","",""
"Department of Labor","Agency Overall","2008","",""
"Export-Import Bank of the U.S.","Agency Overall","2008","",""
"Institute of Museum and Library Services","Agency Overall","2008","",""
"U.S. Railroad Retirement Board","Agency Overall","2008","",""
"Office of Personnel Management","Agency Overall","2008","",""
"U.S. Agency for International Development","Agency Overall","2008","",""
"National Credit Union Administration","Agency Overall","2008","",""
"Department of Veterans Affairs","Agency Overall","2008","",""
"Department of Housing and Urban Development","Agency Overall","2008","",""
"Consumer Product Safety Commission","Agency Overall","2008","",""
"Council on Environmental Quality","Agency Overall","2008","",""
"Department of Homeland Security","Agency Overall","2008","",""
"United States International Boundary and Water Commission","Agency Overall","2008","",""
"Small Business Administration","Agency Overall","2008","",""
"Social Security Administration","Agency Overall","2008","",""
"Peace Corps","Agency Overall","2008","",""
"U.S. Department of State","Agency Overall","2008","",""
"Federal Reserve System","Agency Overall","2008","",""
"National Endowment for the Humanities","Agency Overall","2008","",""
"National Mediation Board","Agency Overall","2008","",""
"Merit Systems Protection Board","Agency Overall","2008","",""
"Federal Labor Relations Authority","Agency Overall","2008","",""
"Tennessee Valley Authority","Agency Overall","2008","",""
"Office of National Drug Control Policy","Agency Overall","2008","",""
"Selective Service System","Agency Overall","2008","",""
"Federal Trade Commission","Agency Overall","2008","",""
"Occupational Safety and Health Review Commission","Agency Overall","2008","",""
"National Aeronautics and Space Administration","Agency Overall","2008","",""
"Federal Financial Institutions Examination Council","Agency Overall","2008","",""
"Inter-American Foundation","Agency Overall","2008","",""
"Farm Credit Administration","Agency Overall","2008","",""
"Department of Defense","Agency Overall","2008","",""
"Department of Justice","Agency Overall","2008","",""
"Federal Energy Regulatory Commission","Agency Overall","2008","",""
"Commodity Futures Trading Commission","Agency Overall","2008","",""
"Department of the Interior","Agency Overall","2008","",""
"Farm Credit System Insurance Corporation","Agency Overall","2008","",""
"Department of the Treasury","Agency Overall","2008","",""
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","",""
"Office of Government Ethics","Agency Overall","2008","",""
"Nuclear Regulatory Commission","Agency Overall","2008","",""
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","",""
"Federal Election Commission","Agency Overall","2008","",""
"All agencies","Agency Overall","2008","0","0"
