"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Department of Transportation","Agency Overall","2008","1244","21","197","486","32","124","13","259","129"
"National Archives and Records Administration","Agency Overall","2008","1222","5","1232.86","4494","157","2082.58","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2008","1","7","7","5","7","12.5","0","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2008","0","N/A","N/A","26","34","81","0","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2008","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States Copyright Office","Agency Overall","2008","10","156","169","0","N/A","N/A","0","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2008","11","153","166","0","N/A","N/A","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2008","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2008","6452","210","269","12650","390","409","98","409","427"
"Department of Education","Agency Overall","2008","116","230","265","232","74","100","0","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2008","35","4","3","25","19","15","5","2","21"
"Environmental Protection Agency","Agency Overall","2008","1478","22.5","121.23","84","65.5","176.11","2","273","273"
"National Science Foundation","Agency Overall","2008","3","135","97","0","N/A","N/A","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","0","N/A","N/A","2","10","10","0","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2008","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2008","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","6","8","10","26","260","307","0","N/A","N/A"
"Department of Commerce","Agency Overall","2008","67","15","77","188","34","82","1","55","55"
"Securities and Exchange Commission","Agency Overall","2008","860","87","108","15","162","254","0","N/A","N/A"
"General Services Administration","Agency Overall","2008","89","17","27","0","N/A","N/A","0","N/A","N/A"
"Federal Communications Commission","Agency Overall","2008","65","23","61.3","0","N/A","N/A","0","N/A","N/A"
"Office of Management and Budget","Agency Overall","2008","5","5","6","0","N/A","N/A","0","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2008","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2008","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Energy","Agency Overall","2008","296","149","249","15","97","133","0","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2008","3","8","8","0","N/A","N/A","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2008","8","343","401","11","717","657","0","N/A","N/A"
"Department of Labor","Agency Overall","2008","668","N/A","13.42","400","8","29.96","29","N/A","3.52"
"Export-Import Bank of the U.S.","Agency Overall","2008","0","N/A","N/A","9","67","131","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2008","3","7","16","0","N/A","N/A","0","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2008","5","439","405","0","N/A","N/A","0","N/A","N/A"
"Office of Personnel Management","Agency Overall","2008","0","N/A","N/A","99","502","425","0","N/A","N/A"
