"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Department of Transportation","Agency Overall","2008","2005-02-14","942","2005-01-28","953","2004-12-20","979","2004-12-09","986","2004-11-26","995","2004-11-12","1004","2004-09-03","1051","2004-08-19","1062","2004-06-17","1106","2003-06-05","1366"
"National Archives and Records Administration","Agency Overall","2008","1994-03-14","5314","1994-03-05","5323","1994-02-22","5334","1994-01-04","5383","1993-11-09","5439","1993-10-10","5469","1993-09-09","5500","1993-08-31","5509","1992-10-22","5822","1992-09-21","5853"
"National Indian Gaming Commission","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","2008-09-24","5","2008-09-24","5","2008-09-22","7","2008-09-22","7","2008-09-22","7","2008-08-11","37"
"National Railroad Passenger Corporation","Agency Overall","2008","2008-07-01","63","2008-06-25","67","2008-06-24","68","2008-06-04","82","2008-03-31","128","2008-03-12","141","2008-03-10","143","2008-02-21","155","2007-12-31","201","2006-03-06","671"
"Federal Housing Finance Agency","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Copyright Office","Agency Overall","2008","2008-07-03","61","2008-06-09","79","2008-04-04","124","2008-04-01","127","2008-02-28","150","2008-02-12","161","2008-02-06","165","2007-12-06","205","2007-11-01","228","2007-03-19","387"
"Federal Maritime Commission","Agency Overall","2008","2008-06-09","94","2008-05-13","97","2008-04-30","101","2008-04-04","107","2008-02-26","153","2007-11-26","214","2007-11-21","216","2007-10-09","246","2007-09-19","260","2007-08-21","279"
"Postal Regulatory Commission","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Health and Human Services","Agency Overall","2008","2000-09-15","2026","2000-09-09","2031","2000-07-26","2061","2000-07-21","2064","2000-06-29","2080","2000-05-03","2119","2000-04-17","2130","2000-02-02","2177","2000-01-24","2182","1999-06-14","2342"
"Department of Education","Agency Overall","2008","2008-06-20","329","2008-04-24","361","2008-04-24","361","2008-04-14","369","2008-02-25","404","2008-02-25","404","2007-09-17","512","2007-01-31","671","2006-09-14","764","2005-12-29","943"
"Federal Deposit Insurance Corporation","Agency Overall","2008","2008-08-27","23","2008-08-27","23","2008-08-27","23","2008-08-26","24","2008-08-25","25","2008-08-25","25","2008-08-21","27","2008-08-20","28","2008-08-12","34","2008-07-29","44"
"Environmental Protection Agency","Agency Overall","2008","2004-07-09","1061","2004-06-30","1067","2004-06-28","1068","2004-06-03","1085","2004-05-17","1097","2004-02-02","1169","2004-01-20","1178","2004-01-08","1186","2003-12-11","1206","2003-06-13","1330"
"National Science Foundation","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2008-09-17","9","2008-09-16","10","2007-08-27","272"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2008-07-24","5","2008-05-05","8"
"Federal Open Market Committee","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Trade Commission","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","2007-04-04","376","2007-03-26","383","2007-01-18","429","2006-12-12","452","2006-11-07","475","2006-11-03","477","2006-10-10","495","2005-12-28","692","2005-05-02","857","2004-10-15","992"
"Department of Commerce","Agency Overall","2008","2006-10-20","487","2006-07-20","552","2006-04-26","613","2006-04-17","618","2006-03-24","635","2006-02-21","657","2006-02-06","667","2006-01-11","684","2006-01-06","688","2006-01-06","688"
"Securities and Exchange Commission","Agency Overall","2008","2007-05-18","344","2007-05-10","350","2007-03-20","387","2007-03-15","390","2007-03-14","391","2007-01-11","433","2006-12-13","452","2005-12-28","693","2005-09-14","764","2005-08-01","795"
"General Services Administration","Agency Overall","2008","2008-09-25","3","2008-09-25","3","2008-09-22","6","2008-09-18","8","2008-09-09","15","2008-09-09","15","2008-09-04","18","2008-09-04","18","2008-08-27","24","2008-05-23","87"
"Federal Communications Commission","Agency Overall","2008","2008-04-03","125","2008-03-20","135","2008-03-20","135","2008-03-05","146","2008-01-15","180","2007-10-25","234","2007-08-29","274","2007-07-24","300","2007-04-17","370","2006-11-08","484"
"Office of Management and Budget","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2008-09-25","3","2008-09-23","5","2008-09-23","5","2008-09-17","9","2008-09-16","10"
"Overseas Private Investment Corporation","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Surface Transportation Board","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Energy","Agency Overall","2008","2004-12-15","991","2003-09-10","1321","2003-09-02","1327","2003-06-18","1381","2003-03-12","1451","2002-01-08","1757","2001-12-20","1770","2001-03-05","1977","2001-02-14","1991","1999-11-16","2976"
"Federal Mediation and Conciliation Service","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2008-09-30","3","2008-09-18","19","2008-09-16","21"
"Office of Science and Technology Policy","Agency Overall","2008","2007-12-28","449","2007-01-30","679","2006-02-08","923","2006-01-18","938","2006-01-02","938","2005-11-23","1226","2005-11-23","1226","2004-11-18","1229","2004-08-17","1293","2003-09-02","1534"
"Department of Labor","Agency Overall","2008","2007-12-21","283","2007-11-26","308","2007-11-19","315","2007-10-18","347","2007-09-11","384","2007-08-27","399","2007-07-23","434","2007-07-05","452","2006-08-28","763","2006-07-14","777"
"Export-Import Bank of the U.S.","Agency Overall","2008","N/A","0","2008-08-14","47","2008-08-06","55","2008-08-01","60","2008-07-25","67","2008-07-25","67","2008-07-23","69","2008-06-12","110","2008-05-29","124","2007-03-02","578"
"Institute of Museum and Library Services","Agency Overall","2008","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2008-09-28","1","2008-09-23","5","2008-08-29","21"
