"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Department of Transportation","Agency Overall","2008","21","33","<1","1075","56","82","<1","1531","82","62","<1","229"
"National Archives and Records Administration","Agency Overall","2008","12","78.37","N/A","1411","313","585.34","N/A","2843","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2008","14","19.1","1","80","26","29.9","9","63","13","14.3","1","29"
"National Railroad Passenger Corporation","Agency Overall","2008","10","12","<1","26","14","25","<1","156","N/A","N/A","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2008","4.5","7","1","20","21","21","21","21","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2008","18","29","1","194","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2008","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2008","10","10","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2008","16","60","1","1643","269","289","1","1951","78","120","1","1108"
"Department of Education","Agency Overall","2008","39","108","1","897","44","80","1","902","12","18","3","60"
"Federal Deposit Insurance Corporation","Agency Overall","2008","5","7","N/A","47","7","10","N/A","60","10","8","1","12"
"Environmental Protection Agency","Agency Overall","2008","18","32.35","1","1364","36","60.24","7","1329","55","55","55","55"
"National Science Foundation","Agency Overall","2008","18","22.22","1","229","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","8","9.4","1","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
