"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Department of Transportation","Agency Overall","2008","33","16","4","2","4","2","1","3","0","1","3","0","11","80"
"National Archives and Records Administration","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2008","3","1","0","0","0","0","0","0","0","0","0","0","0","4"
"National Railroad Passenger Corporation","Agency Overall","2008","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Federal Housing Finance Agency","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2008","14","13","4","3","0","0","3","1","2","3","1","1","14","59"
"Department of Education","Agency Overall","2008","6","3","1","0","0","0","0","0","0","0","0","0","0","10"
"Federal Deposit Insurance Corporation","Agency Overall","2008","7","2","1","0","0","0","0","0","0","0","0","0","0","10"
"Environmental Protection Agency","Agency Overall","2008","1","1","1","0","1","0","0","0","0","0","0","0","0","4"
"National Science Foundation","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2008","13","3","0","0","0","0","0","0","0","0","0","0","0","16"
"Securities and Exchange Commission","Agency Overall","2008","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"General Services Administration","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2008","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Federal Mediation and Conciliation Service","Agency Overall","2008","9","0","0","0","0","0","0","0","0","0","0","0","0","9"
