"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Department of Transportation","Agency Overall","2008","0","1","6","9","18","17","1","0","6","3","2","0","0","0"
"National Archives and Records Administration","Agency Overall","2008","0","0","3","0","0","1","0","0","1","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2008","0","0","0","2","2","2","1","0","2","0","1","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"United States Copyright Office","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2008","0","0","0","2","2","3","2","0","1","0","0","0","0","0"
"Department of Education","Agency Overall","2008","0","3","0","1","9","11","1","0","18","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2008","0","6","1","10","32","12","23","0","5","3","2","0","0","0"
"National Science Foundation","Agency Overall","2008","0","0","0","2","2","6","1","0","2","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2008","0","3","0","1","6","2","0","0","0","0","1","0","0","0"
"Securities and Exchange Commission","Agency Overall","2008","0","1","1","2","4","1","81","0","2","0","1","0","0","0"
"General Services Administration","Agency Overall","2008","0","2","1","1","8","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2008","0","0","0","4","5","1","0","0","1","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2008","0","4","0","0","5","4","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2008","0","0","0","2","1","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2008","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
