"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Department of Transportation","Agency Overall","2008","49","15","1","7"
"National Archives and Records Administration","Agency Overall","2008","1","151","5","5"
"National Indian Gaming Commission","Agency Overall","2008","3","0","1","1"
"National Railroad Passenger Corporation","Agency Overall","2008","1","2","13","28"
"Federal Housing Finance Agency","Agency Overall","2008","0","0","N/A","N/A"
"United States Copyright Office","Agency Overall","2008","0","0","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2008","0","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2008","0","0","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2008","89","22","140","139"
"Department of Education","Agency Overall","2008","3","322","4","66"
"Federal Deposit Insurance Corporation","Agency Overall","2008","6","1","1","1"
"Environmental Protection Agency","Agency Overall","2008","135","46","34","111.4"
"National Science Foundation","Agency Overall","2008","0","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2008","6","0","N/A","0.02"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2008","0","0","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2008","2","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2008","4","0","10","11.75"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2008","2","0","20","20"
"Department of Commerce","Agency Overall","2008","63","13","10","13"
"Securities and Exchange Commission","Agency Overall","2008","0","0","N/A","N/A"
"General Services Administration","Agency Overall","2008","0","0","N/A","N/A"
"Federal Communications Commission","Agency Overall","2008","2","13","6","8.7"
"Office of Management and Budget","Agency Overall","2008","31","0","22","21"
"Overseas Private Investment Corporation","Agency Overall","2008","0","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2008","2","2","3","3.5"
"Department of Energy","Agency Overall","2008","18","4","4","11"
"Federal Mediation and Conciliation Service","Agency Overall","2008","0","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2008","0","0","N/A","N/A"
"Department of Labor","Agency Overall","2008","163","81","N/A","4.81"
"Export-Import Bank of the U.S.","Agency Overall","2008","20","1","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2008","4","0","1","1"
"U.S. Railroad Retirement Board","Agency Overall","2008","1","0","7","7"
"Office of Personnel Management","Agency Overall","2008","0","0","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2008","0","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2008","0","3","2","3.33"
"Department of Veterans Affairs","Agency Overall","2008","30","6","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2008","0","0","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2008","1","12","12","45"
"Council on Environmental Quality","Agency Overall","2008","1","0","25","25"
"Department of Homeland Security","Agency Overall","2008","43","156","1","5.21"
"United States International Boundary and Water Commission","Agency Overall","2008","4","0","1","1"
"Small Business Administration","Agency Overall","2008","7","2","2","3.1"
"Social Security Administration","Agency Overall","2008","38","52","29","40"
"Peace Corps","Agency Overall","2008","10","2","16","17"
"U.S. Department of State","Agency Overall","2008","2","29","2","9"
"Federal Reserve System","Agency Overall","2008","13","0","13","16"
"National Endowment for the Humanities","Agency Overall","2008","22","0","N/A","N/A"
"National Mediation Board","Agency Overall","2008","0","0","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2008","4","0","1","1"
"Federal Labor Relations Authority","Agency Overall","2008","0","2","114","114"
"Tennessee Valley Authority","Agency Overall","2008","2","2","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2008","0","0","N/A","N/A"
"Selective Service System","Agency Overall","2008","0","0","N/A","N/A"
"Federal Trade Commission","Agency Overall","2008","5","7","18.5","20.67"
"Occupational Safety and Health Review Commission","Agency Overall","2008","1","1","17.5","17.5"
"National Aeronautics and Space Administration","Agency Overall","2008","11","0","6","8"
"Federal Financial Institutions Examination Council","Agency Overall","2008","0","0","N/A","N/A"
"Inter-American Foundation","Agency Overall","2008","0","0","N/A","N/A"
"Farm Credit Administration","Agency Overall","2008","0","0","N/A","N/A"
"Department of Defense","Agency Overall","2008","1311","369","N/A","198"
"Department of Justice","Agency Overall","2008","162","1283","1","11.01"
"Federal Energy Regulatory Commission","Agency Overall","2008","0","6","6","6"
"Commodity Futures Trading Commission","Agency Overall","2008","0","1","18","18"
"Department of the Interior","Agency Overall","2008","515","55","2","6"
"Farm Credit System Insurance Corporation","Agency Overall","2008","0","0","N/A","N/A"
"Department of the Treasury","Agency Overall","2008","3","134","121","187"
"Federal Mine Safety and Health Review Commission","Agency Overall","2008","0","0","N/A","N/A"
"Office of Government Ethics","Agency Overall","2008","0","0","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2008","17","5","1","3"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2008","0","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2008","0","0","0","0"
"All agencies","Agency Overall","2008","2807","2800","N/A","N/A"
