"Agency","Component","Fiscal Year","Number of Backlogged Appeals as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Appeals as of End of the Fiscal Year from Current Annual Report"
"Small Business Administration","Agency Overall","2009","1","0"
"Office of Management and Budget","Agency Overall","2009","0","0"
"National Railroad Passenger Corporation","Agency Overall","2009","0","1"
"Federal Mediation and Conciliation Service","Agency Overall","2009","0","0"
"Federal Election Commission","Agency Overall","2009","1","1"
"National Archives and Records Administration","Agency Overall","2009","29","6"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","0","0"
"Merit Systems Protection Board","Agency Overall","2009","0","0"
"Federal Trade Commission","Agency Overall","2009","0","0"
"Commodity Futures Trading Commission","Agency Overall","2009","0","0"
"Department of Justice","Agency Overall","2009","527","444"
"Federal Labor Relations Authority","Agency Overall","2009","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","0","0"
"Department of Transportation","Agency Overall","2009","89","96"
"Nuclear Regulatory Commission","Agency Overall","2009","0","3"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","0","0"
"Department of Veterans Affairs","Agency Overall","2009","68","72"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","0","0"
"Department of Labor","Agency Overall","2009","208","178"
"U.S. Railroad Retirement Board","Agency Overall","2009","0","0"
"Federal Reserve System","Agency Overall","2009","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","0","0"
"Peace Corps","Agency Overall","2009","4","0"
"Department of Defense","Agency Overall","2009","686","575"
"Department of Housing and Urban Development","Agency Overall","2009","0","0"
"Office of Government Ethics","Agency Overall","2009","0","0"
"Consumer Product Safety Commission","Agency Overall","2009","0","0"
"Department of Health and Human Services","Agency Overall","2009","463","449"
"Federal Maritime Commission","Agency Overall","2009","0","0"
"U.S. Agency for International Development","Agency Overall","2009","5","10"
"Office of Personnel Management","Agency Overall","2009","3","2"
"Department of the Interior","Agency Overall","2009","537","437"
"United States International Boundary and Water Commission","Agency Overall","2009","0","0"
"National Endowment for the Humanities","Agency Overall","2009","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2009","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2009","0","0"
"Department of Energy","Agency Overall","2009","6","2"
"Department of the Treasury","Agency Overall","2009","54","78"
"Federal Open Market Committee","Agency Overall","2009","0","0"
"National Indian Gaming Commission","Agency Overall","2009","0","0"
"Overseas Private Investment Corporation","Agency Overall","2009","1","0"
"Occupational Safety and Health Review Commission","Agency Overall","2009","0","0"
"Tennessee Valley Authority","Agency Overall","2009","0","0"
"Postal Regulatory Commission","Agency Overall","2009","0","0"
"National Science Foundation","Agency Overall","2009","0","0"
"Environmental Protection Agency","Agency Overall","2009","149","79"
"National Aeronautics and Space Administration","Agency Overall","2009","9","9"
"National Mediation Board","Agency Overall","2009","0","0"
"Farm Credit Administration","Agency Overall","2009","0","0"
"Securities and Exchange Commission","Agency Overall","2009","40","21"
"General Services Administration","Agency Overall","2009","0","0"
"Surface Transportation Board","Agency Overall","2009","0","0"
"Central Intelligence Agency","Agency Overall","2009","152","183"
"Council on Environmental Quality","Agency Overall","2009","0","0"
"Office of National Drug Control Policy","Agency Overall","2009","0","0"
"Federal Communications Commission","Agency Overall","2009","23","5"
"Social Security Administration","Agency Overall","2009","1","9"
"Federal Financial Institutions Examination Council","Agency Overall","2009","0","0"
"Federal Housing Finance Agency","Agency Overall","2009","0","0"
"National Credit Union Administration","Agency Overall","2009","0","0"
"Institute of Museum and Library Services","Agency Overall","2009","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2009","0","2"
"Inter-American Foundation","Agency Overall","2009","0","0"
"United States Copyright Office","Agency Overall","2009","0","0"
"Department of Homeland Security","Agency Overall","2009","2401","2747"
"Export-Import Bank of the U.S.","Agency Overall","2009","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","0","0"
"United States International Trade Commission","Agency Overall","2009","0","0"
"Department of Education","Agency Overall","2009","37","28"
"Department of Commerce","Agency Overall","2009","87","60"
"Office of Science and Technology Policy","Agency Overall","2009","0","0"
"U.S. Department of State","Agency Overall","2009","480","458"
"Selective Service System","Agency Overall","2009","0","0"
"All agencies","Agency Overall","2009","6061","5955"
