"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"Small Business Administration","Agency Overall","2009","8","8"
"Office of Management and Budget","Agency Overall","2009","0","1"
"National Railroad Passenger Corporation","Agency Overall","2009","17","10"
"Federal Mediation and Conciliation Service","Agency Overall","2009","0","0"
"Federal Election Commission","Agency Overall","2009","6","11"
"National Archives and Records Administration","Agency Overall","2009","5781","6856"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","25","26"
"Merit Systems Protection Board","Agency Overall","2009","6","5"
"Federal Trade Commission","Agency Overall","2009","1","10"
"Commodity Futures Trading Commission","Agency Overall","2009","6","6"
"Department of Justice","Agency Overall","2009","4364","4956"
"Federal Labor Relations Authority","Agency Overall","2009","10","1"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","0","0"
"Department of Transportation","Agency Overall","2009","1583","1284"
"Nuclear Regulatory Commission","Agency Overall","2009","6","5"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","0","0"
"Department of Veterans Affairs","Agency Overall","2009","2840","503"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","2","2"
"Department of Labor","Agency Overall","2009","416","619"
"U.S. Railroad Retirement Board","Agency Overall","2009","5","0"
"Federal Reserve System","Agency Overall","2009","5","129"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","0","2"
"Peace Corps","Agency Overall","2009","16","2"
"Department of Defense","Agency Overall","2009","11746","11496"
"Department of Housing and Urban Development","Agency Overall","2009","697","406"
"Office of Government Ethics","Agency Overall","2009","0","0"
"Consumer Product Safety Commission","Agency Overall","2009","320","263"
"Department of Health and Human Services","Agency Overall","2009","19249","17470"
"Federal Maritime Commission","Agency Overall","2009","11","12"
"U.S. Agency for International Development","Agency Overall","2009","116","233"
"Office of Personnel Management","Agency Overall","2009","93","39"
"Department of the Interior","Agency Overall","2009","670","757"
"United States International Boundary and Water Commission","Agency Overall","2009","0","0"
"National Endowment for the Humanities","Agency Overall","2009","2","3"
"Farm Credit System Insurance Corporation","Agency Overall","2009","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2009","0","0"
"Department of Energy","Agency Overall","2009","294","297"
"Department of the Treasury","Agency Overall","2009","718","585"
"Federal Open Market Committee","Agency Overall","2009","0","0"
"National Indian Gaming Commission","Agency Overall","2009","1","2"
"Overseas Private Investment Corporation","Agency Overall","2009","0","1"
"Occupational Safety and Health Review Commission","Agency Overall","2009","0","0"
"Tennessee Valley Authority","Agency Overall","2009","0","0"
"Postal Regulatory Commission","Agency Overall","2009","0","0"
"National Science Foundation","Agency Overall","2009","1","0"
"Environmental Protection Agency","Agency Overall","2009","783","332"
"National Aeronautics and Space Administration","Agency Overall","2009","381","431"
"National Mediation Board","Agency Overall","2009","0","0"
"Farm Credit Administration","Agency Overall","2009","0","0"
"Securities and Exchange Commission","Agency Overall","2009","770","196"
"General Services Administration","Agency Overall","2009","2","10"
"Surface Transportation Board","Agency Overall","2009","0","0"
"Central Intelligence Agency","Agency Overall","2009","940","592"
"Council on Environmental Quality","Agency Overall","2009","0","5"
"Office of National Drug Control Policy","Agency Overall","2009","0","0"
"Federal Communications Commission","Agency Overall","2009","25","27"
"Social Security Administration","Agency Overall","2009","147","90"
"Federal Financial Institutions Examination Council","Agency Overall","2009","0","0"
"Federal Housing Finance Agency","Agency Overall","2009","7","5"
"National Credit Union Administration","Agency Overall","2009","0","0"
"Institute of Museum and Library Services","Agency Overall","2009","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2009","10","170"
"Inter-American Foundation","Agency Overall","2009","0","0"
"United States Copyright Office","Agency Overall","2009","10","2"
"Department of Homeland Security","Agency Overall","2009","74879","18918"
"Export-Import Bank of the U.S.","Agency Overall","2009","9","29"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","0","0"
"United States International Trade Commission","Agency Overall","2009","0","0"
"Department of Education","Agency Overall","2009","348","419"
"Department of Commerce","Agency Overall","2009","143","159"
"Office of Science and Technology Policy","Agency Overall","2009","9","1"
"U.S. Department of State","Agency Overall","2009","4327","8784"
"Selective Service System","Agency Overall","2009","0","0"
"All agencies","Agency Overall","2009","131805","76170"
