"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Small Business Administration","Agency Overall","2009","2637","3892","2640","3898"
"Office of Management and Budget","Agency Overall","2009","136","138","142","126"
"National Railroad Passenger Corporation","Agency Overall","2009","258","182","240","200"
"Federal Mediation and Conciliation Service","Agency Overall","2009","107","130","107","133"
"Federal Election Commission","Agency Overall","2009","64","76","82","67"
"National Archives and Records Administration","Agency Overall","2009","14075","18581","13472","17508"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","32","44","40","46"
"Merit Systems Protection Board","Agency Overall","2009","358","334","367","335"
"Federal Trade Commission","Agency Overall","2009","1184","1477","1178","1467"
"Commodity Futures Trading Commission","Agency Overall","2009","147","199","151","200"
"Department of Justice","Agency Overall","2009","59613","61391","61271","60217"
"Federal Labor Relations Authority","Agency Overall","2009","77","78","77","89"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","0","12","0","12"
"Department of Transportation","Agency Overall","2009","9958","9018","10402","9282"
"Nuclear Regulatory Commission","Agency Overall","2009","344","302","360","297"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","3","13","3","16"
"Department of Veterans Affairs","Agency Overall","2009","99333","69432","98455","71487"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","88","13","96","15"
"Department of Labor","Agency Overall","2009","20910","16726","20049","16810"
"U.S. Railroad Retirement Board","Agency Overall","2009","83","112","82","118"
"Federal Reserve System","Agency Overall","2009","836","1015","836","848"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","0","71","0","63"
"Peace Corps","Agency Overall","2009","153","240","135","260"
"Department of Defense","Agency Overall","2009","71228","67434","71699","68133"
"Department of Housing and Urban Development","Agency Overall","2009","2999","2758","5903","3049"
"Office of Government Ethics","Agency Overall","2009","44","74","42","73"
"Consumer Product Safety Commission","Agency Overall","2009","3930","3435","3837","3465"
"Department of Health and Human Services","Agency Overall","2009","58331","48564","66578","50337"
"Federal Maritime Commission","Agency Overall","2009","10","31","2","26"
"U.S. Agency for International Development","Agency Overall","2009","278","311","279","331"
"Office of Personnel Management","Agency Overall","2009","7132","3273","6137","3317"
"Department of the Interior","Agency Overall","2009","4810","5208","4750","5088"
"United States International Boundary and Water Commission","Agency Overall","2009","24","27","24","24"
"National Endowment for the Humanities","Agency Overall","2009","22","45","24","42"
"Farm Credit System Insurance Corporation","Agency Overall","2009","6","3","6","3"
"Federal Energy Regulatory Commission","Agency Overall","2009","111","113","96","112"
"Department of Energy","Agency Overall","2009","1605","1809","1714","1752"
"Department of the Treasury","Agency Overall","2009","20943","20075","21352","19980"
"Federal Open Market Committee","Agency Overall","2009","21","38","21","38"
"National Indian Gaming Commission","Agency Overall","2009","107","67","104","67"
"Overseas Private Investment Corporation","Agency Overall","2009","45","38","50","37"
"Occupational Safety and Health Review Commission","Agency Overall","2009","78","58","74","57"
"Tennessee Valley Authority","Agency Overall","2009","143","162","140","162"
"Postal Regulatory Commission","Agency Overall","2009","31","22","32","22"
"National Science Foundation","Agency Overall","2009","353","395","352","379"
"Environmental Protection Agency","Agency Overall","2009","11492","10317","11635","10404"
"National Aeronautics and Space Administration","Agency Overall","2009","1316","1226","1258","1173"
"National Mediation Board","Agency Overall","2009","16","22","16","22"
"Farm Credit Administration","Agency Overall","2009","26","32","26","32"
"Securities and Exchange Commission","Agency Overall","2009","9586","7878","15596","8285"
"General Services Administration","Agency Overall","2009","1460","1558","1457","1534"
"Surface Transportation Board","Agency Overall","2009","24","14","24","14"
"Central Intelligence Agency","Agency Overall","2009","1935","2863","1698","3112"
"Council on Environmental Quality","Agency Overall","2009","5","48","0","48"
"Office of National Drug Control Policy","Agency Overall","2009","44","38","44","38"
"Federal Communications Commission","Agency Overall","2009","745","651","730","659"
"Social Security Administration","Agency Overall","2009","34444","31340","34666","31551"
"Federal Financial Institutions Examination Council","Agency Overall","2009","0","2","0","2"
"Federal Housing Finance Agency","Agency Overall","2009","74","118","67","116"
"National Credit Union Administration","Agency Overall","2009","149","193","153","184"
"Institute of Museum and Library Services","Agency Overall","2009","44","41","3","39"
"Federal Deposit Insurance Corporation","Agency Overall","2009","807","2207","780","2045"
"Inter-American Foundation","Agency Overall","2009","5","8","6","7"
"United States Copyright Office","Agency Overall","2009","54","31","45","32"
"Department of Homeland Security","Agency Overall","2009","106896","103093","106974","160007"
"Export-Import Bank of the U.S.","Agency Overall","2009","93","108","97","88"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","61","46","59","47"
"United States International Trade Commission","Agency Overall","2009","66","53","67","50"
"Department of Education","Agency Overall","2009","1921","2307","2236","2232"
"Department of Commerce","Agency Overall","2009","1936","2091","1885","2092"
"Office of Science and Technology Policy","Agency Overall","2009","23","31","19","39"
"U.S. Department of State","Agency Overall","2009","5909","10717","5577","6024"
"Selective Service System","Agency Overall","2009","55","29","55","29"
"All agencies","Agency Overall","2009","561833","514478","578574","569893"
