"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"Small Business Administration","Agency Overall","2009","0","0","0","0"
"Office of Management and Budget","Agency Overall","2009","0","27","24","3"
"National Railroad Passenger Corporation","Agency Overall","2009","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2009","0","0","0","0"
"Federal Election Commission","Agency Overall","2009","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2009","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2009","0","0","0","0"
"Federal Trade Commission","Agency Overall","2009","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2009","0","0","0","0"
"Department of Justice","Agency Overall","2009","297","1220","1329","188"
"Federal Labor Relations Authority","Agency Overall","2009","0","0","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","0","0","0","0"
"Department of Transportation","Agency Overall","2009","1","7","7","1"
"Nuclear Regulatory Commission","Agency Overall","2009","0","3","3","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2009","0","9","5","4"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","0","0","0","0"
"Department of Labor","Agency Overall","2009","0","68","62","6"
"U.S. Railroad Retirement Board","Agency Overall","2009","0","0","0","0"
"Federal Reserve System","Agency Overall","2009","0","1","1","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","0","1","1","0"
"Peace Corps","Agency Overall","2009","0","0","0","0"
"Department of Defense","Agency Overall","2009","550","1203","1016","737"
"Department of Housing and Urban Development","Agency Overall","2009","0","2","2","0"
"Office of Government Ethics","Agency Overall","2009","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2009","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2009","0","15","14","1"
"Federal Maritime Commission","Agency Overall","2009","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2009","0","0","0","0"
"Office of Personnel Management","Agency Overall","2009","1","1","2","0"
"Department of the Interior","Agency Overall","2009","0","9","8","1"
"United States International Boundary and Water Commission","Agency Overall","2009","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2009","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2009","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2009","0","1","1","0"
"Department of Energy","Agency Overall","2009","109","175","198","86"
"Department of the Treasury","Agency Overall","2009","2","95","89","8"
"Federal Open Market Committee","Agency Overall","2009","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2009","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2009","0","3","3","0"
"Occupational Safety and Health Review Commission","Agency Overall","2009","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2009","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2009","0","0","0","0"
"National Science Foundation","Agency Overall","2009","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2009","13","53","55","11"
"National Aeronautics and Space Administration","Agency Overall","2009","0","2","2","0"
"National Mediation Board","Agency Overall","2009","0","0","0","0"
"Farm Credit Administration","Agency Overall","2009","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2009","0","0","0","0"
"General Services Administration","Agency Overall","2009","0","0","0","0"
"Surface Transportation Board","Agency Overall","2009","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2009","332","895","1032","195"
"Council on Environmental Quality","Agency Overall","2009","0","1","1","0"
"Office of National Drug Control Policy","Agency Overall","2009","0","0","0","0"
"Federal Communications Commission","Agency Overall","2009","0","0","0","0"
"Social Security Administration","Agency Overall","2009","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2009","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2009","0","0","0","0"
"National Credit Union Administration","Agency Overall","2009","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2009","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2009","0","4","3","1"
"Inter-American Foundation","Agency Overall","2009","0","0","0","0"
"United States Copyright Office","Agency Overall","2009","0","0","0","0"
"Department of Homeland Security","Agency Overall","2009","47","510","497","60"
"Export-Import Bank of the U.S.","Agency Overall","2009","0","2","2","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","0","0","0","0"
"United States International Trade Commission","Agency Overall","2009","0","0","0","0"
"Department of Education","Agency Overall","2009","0","0","0","0"
"Department of Commerce","Agency Overall","2009","5","48","40","13"
"Office of Science and Technology Policy","Agency Overall","2009","1","5","6","0"
"U.S. Department of State","Agency Overall","2009","773","6014","2336","4451"
"Selective Service System","Agency Overall","2009","0","0","0","0"
"All agencies","Agency Overall","2009","2131","10374","6739","5766"
