"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Small Business Administration","Agency Overall","2009","10","9","20","0","39"
"Office of Management and Budget","Agency Overall","2009","1","8","0","0","9"
"National Railroad Passenger Corporation","Agency Overall","2009","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2009","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2009","0","1","0","0","1"
"National Archives and Records Administration","Agency Overall","2009","49","5","7","5","66"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","2","1","0","0","3"
"Merit Systems Protection Board","Agency Overall","2009","5","0","0","0","5"
"Federal Trade Commission","Agency Overall","2009","11","3","0","0","14"
"Commodity Futures Trading Commission","Agency Overall","2009","2","1","2","0","5"
"Department of Justice","Agency Overall","2009","1721","155","338","739","2953"
"Federal Labor Relations Authority","Agency Overall","2009","1","1","0","0","2"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","1","0","1","0","2"
"Department of Transportation","Agency Overall","2009","71","35","17","49","172"
"Nuclear Regulatory Commission","Agency Overall","2009","6","5","5","4","20"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2009","21","15","5","46","87"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","0","0","1","0","1"
"Department of Labor","Agency Overall","2009","35","92","17","225","369"
"U.S. Railroad Retirement Board","Agency Overall","2009","3","0","0","0","3"
"Federal Reserve System","Agency Overall","2009","13","4","0","4","21"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","0","0","0","0","0"
"Peace Corps","Agency Overall","2009","9","0","0","1","10"
"Department of Defense","Agency Overall","2009","224","150","168","483","1025"
"Department of Housing and Urban Development","Agency Overall","2009","20","8","11","0","39"
"Office of Government Ethics","Agency Overall","2009","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2009","15","0","0","4","19"
"Department of Health and Human Services","Agency Overall","2009","51","5","5","113","174"
"Federal Maritime Commission","Agency Overall","2009","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2009","2","1","1","5","9"
"Office of Personnel Management","Agency Overall","2009","22","3","5","1","31"
"Department of the Interior","Agency Overall","2009","16","5","30","208","259"
"United States International Boundary and Water Commission","Agency Overall","2009","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2009","1","1","1","0","3"
"Farm Credit System Insurance Corporation","Agency Overall","2009","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2009","9","1","1","2","13"
"Department of Energy","Agency Overall","2009","28","9","5","16","58"
"Department of the Treasury","Agency Overall","2009","270","32","9","10","321"
"Federal Open Market Committee","Agency Overall","2009","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2009","1","2","0","0","3"
"Overseas Private Investment Corporation","Agency Overall","2009","2","0","0","0","2"
"Occupational Safety and Health Review Commission","Agency Overall","2009","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2009","8","4","2","0","14"
"Postal Regulatory Commission","Agency Overall","2009","0","0","0","0","0"
"National Science Foundation","Agency Overall","2009","5","2","0","0","7"
"Environmental Protection Agency","Agency Overall","2009","59","48","19","91","217"
"National Aeronautics and Space Administration","Agency Overall","2009","11","6","4","9","30"
"National Mediation Board","Agency Overall","2009","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2009","2","0","0","0","2"
"Securities and Exchange Commission","Agency Overall","2009","156","13","83","15","267"
"General Services Administration","Agency Overall","2009","14","2","0","0","16"
"Surface Transportation Board","Agency Overall","2009","0","0","1","0","1"
"Central Intelligence Agency","Agency Overall","2009","170","17","4","21","212"
"Council on Environmental Quality","Agency Overall","2009","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2009","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2009","16","5","8","8","37"
"Social Security Administration","Agency Overall","2009","27","12","66","0","105"
"Federal Financial Institutions Examination Council","Agency Overall","2009","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2009","9","1","0","0","10"
"National Credit Union Administration","Agency Overall","2009","8","2","0","0","10"
"Institute of Museum and Library Services","Agency Overall","2009","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2009","7","34","4","4","49"
"Inter-American Foundation","Agency Overall","2009","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2009","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2009","231","579","516","347","1673"
"Export-Import Bank of the U.S.","Agency Overall","2009","2","0","0","0","2"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2009","1","0","0","0","1"
"Department of Education","Agency Overall","2009","0","2","10","43","55"
"Department of Commerce","Agency Overall","2009","24","30","27","29","110"
"Office of Science and Technology Policy","Agency Overall","2009","1","1","1","0","3"
"U.S. Department of State","Agency Overall","2009","88","124","10","26","248"
"Selective Service System","Agency Overall","2009","0","0","0","0","0"
"All agencies","Agency Overall","2009","3461","1434","1404","2508","8807"
