"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Small Business Administration","Agency Overall","2009","0","17","1","144","81","108","0","0","2","1","1","0","0","0"
"Office of Management and Budget","Agency Overall","2009","0","8","0","0","32","9","0","0","1","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2009","0","4","5","7","4","9","0","0","2","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2009","0","0","0","2","2","2","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2009","0","22","7","3","13","18","0","0","1","0","2","0","0","0"
"National Archives and Records Administration","Agency Overall","2009","81","17","55","9","19","107","1","0","34","19","5","1","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","0","2","0","6","6","6","15","0","5","5","7","0","0","0"
"Merit Systems Protection Board","Agency Overall","2009","0","0","0","0","4","11","0","1","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2009","0","5","165","52","40","364","21","0","5","6","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2009","0","1","23","28","22","24","10","1","4","1","8","1","11","0"
"Department of Justice","Agency Overall","2009","638","3101","1011","202","1447","4727","539","53","5117","1973","1088","1160","3","1"
"Federal Labor Relations Authority","Agency Overall","2009","0","1","0","4","7","7","1","0","7","8","0","0","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","0","0","1","1","4","4","3","0","2","2","2","0","0","0"
"Department of Transportation","Agency Overall","2009","5","111","150","321","648","1491","129","3","417","96","5","4","0","0"
"Nuclear Regulatory Commission","Agency Overall","2009","1","23","1","19","29","24","14","0","31","1","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2009","0","159","4144","144","193","7318","123","79","1086","10","7","7","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","0","0","0","2","2","2","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2009","1","850","69","3854","4539","2129","1479","116","4922","2301","443","3","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2009","0","0","16","1","1","12","0","0","7","2","3","2","0","0"
"Federal Reserve System","Agency Overall","2009","0","10","0","111","68","35","1","0","0","0","0","0","35","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","0","0","0","0","6","5","0","0","3","0","0","0","0","0"
"Peace Corps","Agency Overall","2009","0","2","0","1","6","26","2","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2009","1345","2592","2154","1634","1888","12107","678","99","5695","273","97","28","4","4"
"Department of Housing and Urban Development","Agency Overall","2009","0","48","12","123","133","370","34","2","41","2","10","1","0","0"
"Office of Government Ethics","Agency Overall","2009","0","0","0","2","0","9","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2009","0","0","381","209","253","128","76","0","0","8","3","0","0","0"
"Department of Health and Human Services","Agency Overall","2009","0","111","81","420","262","2046","199","1","116","5","20","0","0","0"
"Federal Maritime Commission","Agency Overall","2009","0","0","2","2","1","1","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2009","1","5","48","74","10","41","0","0","0","2","0","0","0","0"
"Office of Personnel Management","Agency Overall","2009","4","6","1","11","5","30","1","1","","","","","",""
"Department of the Interior","Agency Overall","2009","3","116","49","155","273","752","65","2","245","9","22","10","0","10"
"United States International Boundary and Water Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2009","0","0","0","6","5","10","0","0","1","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2009","0","3","4","17","19","18","8","6","2","0","5","5","0","0"
"Department of Energy","Agency Overall","2009","10","48","39","114","60","161","2","1","10","2","0","0","0","1"
"Department of the Treasury","Agency Overall","2009","10","209","2200","389","702","1006","410","2","1028","59","849","17","306","0"
"Federal Open Market Committee","Agency Overall","2009","0","0","0","2","2","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2009","0","1","0","23","10","21","5","0","1","0","2","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2009","0","0","0","11","7","2","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2009","0","0","0","1","4","6","3","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2009","0","5","4","7","17","48","5","5","8","5","5","0","0","0"
"Postal Regulatory Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2009","0","0","16","96","16","272","2","0","60","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2009","4","46","22","270","288","138","108","0","35","11","5","0","0","2"
"National Aeronautics and Space Administration","Agency Overall","2009","0","41","34","248","74","86","10","0","39","8","2","0","0","0"
"National Mediation Board","Agency Overall","2009","0","0","0","0","1","5","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2009","0","0","0","0","1","1","0","0","0","0","0","0","2","0"
"Securities and Exchange Commission","Agency Overall","2009","0","22","3","174","179","111","487","2","189","6","1","0","117","0"
"General Services Administration","Agency Overall","2009","0","32","33","166","42","63","16","4","17","0","3","0","0","0"
"Surface Transportation Board","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2009","1199","81","1453","5","50","214","1","0","15","18","2","0","0","0"
"Council on Environmental Quality","Agency Overall","2009","0","2","0","0","11","2","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2009","0","0","0","2","2","2","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2009","0","40","0","18","23","75","5","0","25","0","6","0","0","0"
"Social Security Administration","Agency Overall","2009","0","69","73","36","86","1549","8","0","18","1","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2009","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2009","0","3","0","32","18","9","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2009","0","8","1","34","24","60","2","0","2","0","0","0","39","0"
"Institute of Museum and Library Services","Agency Overall","2009","0","0","0","15","0","2","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2009","0","17","0","144","81","93","0","0","4","0","1","1","73","0"
"Inter-American Foundation","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2009","15","70544","1035","491","59510","72875","1469","17","80011","71","69454","17","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2009","0","3","0","33","6","60","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2009","1","2","3","4","2","6","0","0","1","1","0","0","0","0"
"Department of Education","Agency Overall","2009","0","103","4","468","150","633","133","13","393","2","7","0","0","0"
"Department of Commerce","Agency Overall","2009","6","52","92","80","108","122","11","0","23","2","12","3","0","0"
"Office of Science and Technology Policy","Agency Overall","2009","1","1","1","1","6","2","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2009","536","111","1839","98","203","520","31","3","82","14","20","1","0","1"
"Selective Service System","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2009","3861","78654","15232","10526","71705","110095","6107","411","99707","4924","72097","1261","590","19"
