"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"Small Business Administration","Agency Overall","2009","3","9.75","12.75"
"Office of Management and Budget","Agency Overall","2009","1","1.50","2.50"
"National Railroad Passenger Corporation","Agency Overall","2009","1","0.00","1.00"
"Federal Mediation and Conciliation Service","Agency Overall","2009","0","0.55","0.55"
"Federal Election Commission","Agency Overall","2009","0","1.00","1.00"
"National Archives and Records Administration","Agency Overall","2009","0","25.00","25.00"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","0","0.39","0.39"
"Merit Systems Protection Board","Agency Overall","2009","1","1.50","2.50"
"Federal Trade Commission","Agency Overall","2009","6","2.26","8.26"
"Commodity Futures Trading Commission","Agency Overall","2009","1","0.33","1.33"
"Department of Justice","Agency Overall","2009","361","63.99","424.99"
"Federal Labor Relations Authority","Agency Overall","2009","0","2.80","2.80"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","0","0.50","0.50"
"Department of Transportation","Agency Overall","2009","34","66.73","100.73"
"Nuclear Regulatory Commission","Agency Overall","2009","7","2.00","9.00"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","0","0.11","0.11"
"Department of Veterans Affairs","Agency Overall","2009","39","202.62","241.62"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","0","0.25","0.25"
"Department of Labor","Agency Overall","2009","43","85.39","128.39"
"U.S. Railroad Retirement Board","Agency Overall","2009","0","0.48","0.48"
"Federal Reserve System","Agency Overall","2009","5","8.00","13.00"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","0","1.00","1.00"
"Peace Corps","Agency Overall","2009","0","1.30","1.30"
"Department of Defense","Agency Overall","2009","438","434.77","872.77"
"Department of Housing and Urban Development","Agency Overall","2009","102","37.00","139.00"
"Office of Government Ethics","Agency Overall","2009","0","1.10","1.10"
"Consumer Product Safety Commission","Agency Overall","2009","10","1.00","11.00"
"Department of Health and Human Services","Agency Overall","2009","197","67.14","264.14"
"Federal Maritime Commission","Agency Overall","2009","0","0.35","0.35"
"U.S. Agency for International Development","Agency Overall","2009","0","0.00","0.00"
"Office of Personnel Management","Agency Overall","2009","20","5.50","25.50"
"Department of the Interior","Agency Overall","2009","41","84.27","125.27"
"United States International Boundary and Water Commission","Agency Overall","2009","0","0.49","0.49"
"National Endowment for the Humanities","Agency Overall","2009","0","1.50","1.50"
"Farm Credit System Insurance Corporation","Agency Overall","2009","0","0.00","0.00"
"Federal Energy Regulatory Commission","Agency Overall","2009","1","3.56","4.56"
"Department of Energy","Agency Overall","2009","20","38.57","58.57"
"Department of the Treasury","Agency Overall","2009","45","80.91","125.91"
"Federal Open Market Committee","Agency Overall","2009","0","0.44","0.44"
"National Indian Gaming Commission","Agency Overall","2009","1","0.25","1.25"
"Overseas Private Investment Corporation","Agency Overall","2009","0","1.20","1.20"
"Occupational Safety and Health Review Commission","Agency Overall","2009","0","1.60","1.60"
"Tennessee Valley Authority","Agency Overall","2009","1","0.40","1.40"
"Postal Regulatory Commission","Agency Overall","2009","0","0.00","0.00"
"National Science Foundation","Agency Overall","2009","0","3.83","3.83"
"Environmental Protection Agency","Agency Overall","2009","41","67.02","108.02"
"National Aeronautics and Space Administration","Agency Overall","2009","16","9.20","25.20"
"National Mediation Board","Agency Overall","2009","0","1.15","1.15"
"Farm Credit Administration","Agency Overall","2009","0","0.75","0.75"
"Securities and Exchange Commission","Agency Overall","2009","26","4.25","30.25"
"General Services Administration","Agency Overall","2009","3","5.00","8.00"
"Surface Transportation Board","Agency Overall","2009","0","0.26","0.26"
"Central Intelligence Agency","Agency Overall","2009","12","40.00","52.00"
"Council on Environmental Quality","Agency Overall","2009","0","0.75","0.75"
"Office of National Drug Control Policy","Agency Overall","2009","0","0.20","0.20"
"Federal Communications Commission","Agency Overall","2009","3","13.00","16.00"
"Social Security Administration","Agency Overall","2009","15","84.00","99.00"
"Federal Financial Institutions Examination Council","Agency Overall","2009","0","0.02","0.02"
"Federal Housing Finance Agency","Agency Overall","2009","0","1.00","1.00"
"National Credit Union Administration","Agency Overall","2009","0","1.39","1.39"
"Institute of Museum and Library Services","Agency Overall","2009","0","0.15","0.15"
"Federal Deposit Insurance Corporation","Agency Overall","2009","6","6.00","12.00"
"Inter-American Foundation","Agency Overall","2009","0","0.03","0.03"
"United States Copyright Office","Agency Overall","2009","0","0.68","0.68"
"Department of Homeland Security","Agency Overall","2009","331","51.31","382.31"
"Export-Import Bank of the U.S.","Agency Overall","2009","1","0.25","1.25"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","0","0.10","0.10"
"United States International Trade Commission","Agency Overall","2009","0","1.50","1.50"
"Department of Education","Agency Overall","2009","14","16.69","30.69"
"Department of Commerce","Agency Overall","2009","10","21.00","31.00"
"Office of Science and Technology Policy","Agency Overall","2009","0","0.30","0.30"
"U.S. Department of State","Agency Overall","2009","78","60.66","138.66"
"Selective Service System","Agency Overall","2009","0","0.15","0.15"
"All agencies","Agency Overall","2009","1934","1628.14","3562.14"
