"Agency","Component","Fiscal Year","Number of Times Subsection Used"
"Small Business Administration","Agency Overall","2009",""
"Office of Management and Budget","Agency Overall","2009",""
"National Railroad Passenger Corporation","Agency Overall","2009",""
"Federal Mediation and Conciliation Service","Agency Overall","2009",""
"Federal Election Commission","Agency Overall","2009",""
"National Archives and Records Administration","Agency Overall","2009",""
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009",""
"Merit Systems Protection Board","Agency Overall","2009",""
"Federal Trade Commission","Agency Overall","2009",""
"Commodity Futures Trading Commission","Agency Overall","2009",""
"Department of Justice","Agency Overall","2009",""
"Federal Labor Relations Authority","Agency Overall","2009",""
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009",""
"Department of Transportation","Agency Overall","2009",""
"Nuclear Regulatory Commission","Agency Overall","2009",""
"Defense Nuclear Facilities Safety Board","Agency Overall","2009",""
"Department of Veterans Affairs","Agency Overall","2009",""
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009",""
"Department of Labor","Agency Overall","2009",""
"U.S. Railroad Retirement Board","Agency Overall","2009",""
"Federal Reserve System","Agency Overall","2009",""
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009",""
"Peace Corps","Agency Overall","2009",""
"Department of Defense","Agency Overall","2009",""
"Department of Housing and Urban Development","Agency Overall","2009",""
"Office of Government Ethics","Agency Overall","2009",""
"Consumer Product Safety Commission","Agency Overall","2009",""
"Department of Health and Human Services","Agency Overall","2009",""
"Federal Maritime Commission","Agency Overall","2009",""
"U.S. Agency for International Development","Agency Overall","2009",""
"Office of Personnel Management","Agency Overall","2009",""
"Department of the Interior","Agency Overall","2009",""
"United States International Boundary and Water Commission","Agency Overall","2009",""
"National Endowment for the Humanities","Agency Overall","2009",""
"Farm Credit System Insurance Corporation","Agency Overall","2009",""
"Federal Energy Regulatory Commission","Agency Overall","2009",""
"Department of Energy","Agency Overall","2009",""
"Department of the Treasury","Agency Overall","2009",""
"Federal Open Market Committee","Agency Overall","2009",""
"National Indian Gaming Commission","Agency Overall","2009",""
"Overseas Private Investment Corporation","Agency Overall","2009",""
"Occupational Safety and Health Review Commission","Agency Overall","2009",""
"Tennessee Valley Authority","Agency Overall","2009",""
"Postal Regulatory Commission","Agency Overall","2009",""
"National Science Foundation","Agency Overall","2009",""
"Environmental Protection Agency","Agency Overall","2009",""
"National Aeronautics and Space Administration","Agency Overall","2009",""
"National Mediation Board","Agency Overall","2009",""
"Farm Credit Administration","Agency Overall","2009",""
"Securities and Exchange Commission","Agency Overall","2009",""
"General Services Administration","Agency Overall","2009",""
"Surface Transportation Board","Agency Overall","2009",""
"Central Intelligence Agency","Agency Overall","2009",""
"Council on Environmental Quality","Agency Overall","2009",""
"Office of National Drug Control Policy","Agency Overall","2009",""
"Federal Communications Commission","Agency Overall","2009",""
"Social Security Administration","Agency Overall","2009",""
"Federal Financial Institutions Examination Council","Agency Overall","2009",""
"Federal Housing Finance Agency","Agency Overall","2009",""
"National Credit Union Administration","Agency Overall","2009",""
"Institute of Museum and Library Services","Agency Overall","2009",""
"Federal Deposit Insurance Corporation","Agency Overall","2009",""
"Inter-American Foundation","Agency Overall","2009",""
"United States Copyright Office","Agency Overall","2009",""
"Department of Homeland Security","Agency Overall","2009",""
"Export-Import Bank of the U.S.","Agency Overall","2009",""
"Federal Mine Safety and Health Review Commission","Agency Overall","2009",""
"United States International Trade Commission","Agency Overall","2009",""
"Department of Education","Agency Overall","2009",""
"Department of Commerce","Agency Overall","2009",""
"Office of Science and Technology Policy","Agency Overall","2009",""
"U.S. Department of State","Agency Overall","2009",""
"Selective Service System","Agency Overall","2009",""
"All agencies","Agency Overall","2009","0"
