"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Small Business Administration","Agency Overall","2009","8","11.67","<1","427","N/A","N/A","N/A","N/A","4.5","4.5","2","7"
"Office of Management and Budget","Agency Overall","2009","18","23","3","83","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2009","10","23","1","59","30","69","15","311","10","10","5","20"
"Federal Mediation and Conciliation Service","Agency Overall","2009","6","6","1","20","N/A","N/A","N/A","N/A","2","2","1","2"
"Federal Election Commission","Agency Overall","2009","20","47.2","3","389","54","68.1","35","150","9","9","2","16"
"National Archives and Records Administration","Agency Overall","2009","5","10.91","1","1409","41","264.16","2","2978","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","20","19","1","20","268","360","8","1053","N/A","N/A","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2009","7","15","<1","93","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2009","3","6.59","1","74","14","24.55","1","230","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2009","9.5","15.26","1","119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2009","12","32.17","<1","3290","50","103.34","<1","1871","28","151.42","<1","2759"
"Federal Labor Relations Authority","Agency Overall","2009","10","80","<1","1061","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","14","15","4","39","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Transportation","Agency Overall","2009","11","37","<1","3543","27","58","<1","1086","12.5","22","<1","291"
"Nuclear Regulatory Commission","Agency Overall","2009","11","14","<1","113","43","45","3","156","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","5.5","9","1","35","N/A","N/A","N/A","N/A","2","2","2","2"
"Department of Veterans Affairs","Agency Overall","2009","N/A","N/A","N/A","N/A","55","36","1","1583","1","3.5","1","136"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","8.5","11","5","28","34.5","45","11","101","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2009","8","16.83","1","494","18","42.57","1","550","10","20.08","1","248"
"U.S. Railroad Retirement Board","Agency Overall","2009","26","160.18","1","997","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Reserve System","Agency Overall","2009","2","4","<1","39","29","33","<1","344","30","28","2","87"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","6","9.72","1","40","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2009","10","8","<1","58","<1","<1","<1","<1","<1","<1","<1","<1"
"Department of Defense","Agency Overall","2009","N/A","43","1","2918","N/A","187","1","4117","N/A","13","1","1507"
"Department of Housing and Urban Development","Agency Overall","2009","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2009","13","12.4","<1","30","N/A","N/A","N/A","N/A","9","9","9","9"
"Consumer Product Safety Commission","Agency Overall","2009","17","33","N/A","332","68","68","1","368","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2009","19","46","1","1431","107","141","1","2273","37","54","1","635"
"Federal Maritime Commission","Agency Overall","2009","64","168","2","526","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2009","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2009","N/A","N/A","N/A","N/A","64","37","N/A","N/A","60","51","N/A","N/A"
"Department of the Interior","Agency Overall","2009","2","3","<1","189","N/A","31.35","<1","2850","4","6","<1","29"
"United States International Boundary and Water Commission","Agency Overall","2009","27","21","1","88","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2009","14","15","5","28","20","26","14","81","8","7","5","8"
"Farm Credit System Insurance Corporation","Agency Overall","2009","15","13","5","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2009","20","21","1","59","26","24","2","62","30","39","7","108"
"Department of Energy","Agency Overall","2009","13","48","<1","2066","46","112","<1","935","50","51","27","77"
"Department of the Treasury","Agency Overall","2009","6","10.8","<1","73","14","47.6","<1","3668","74","81.6","1","178"
"Federal Open Market Committee","Agency Overall","2009","3","3","1","5","38.5","38.5","8","69","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2009","12","15.1","1","49","43.5","48.7","14","110","6","6","5","7"
"Overseas Private Investment Corporation","Agency Overall","2009","10","12","<1","36","N/A","N/A","N/A","N/A","7.5","27.5","<1","94"
"Occupational Safety and Health Review Commission","Agency Overall","2009","8","9","<1","20","28","28","28","28","5","5","5","5"
"Tennessee Valley Authority","Agency Overall","2009","5","7","1","20","40","63","21","225","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2009","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2009","15","20","1","1825","N/A","N/A","N/A","N/A","8","21","6","41"
"Environmental Protection Agency","Agency Overall","2009","20","37.15","<1","1419","39","75.32","5","902","10","8","<1","11"
"National Aeronautics and Space Administration","Agency Overall","2009","24","29","1","243","45","151","1","1142","6","23","6","40"
"National Mediation Board","Agency Overall","2009","14","14","2","25","N/A","N/A","N/A","N/A","9","12","1","25"
"Farm Credit Administration","Agency Overall","2009","7","8","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2009","6","27","1","769","445","424","1","941","31","44","4","132"
"General Services Administration","Agency Overall","2009","20","21","3","438","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2009","5.5","6.75","1","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2009","15","37","N/A","1775","51","146","N/A","5005","61","117","6","338"
"Council on Environmental Quality","Agency Overall","2009","10","32","1","613","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2009","10","11","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2009","20","30.76","1","541","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2009","11","17","1","256","61","77","2","387","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2009","3","3","3","3","22","22","22","22","N/A","N/A","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2009","33","14","<1","48","34","40","8","139","33","31","4","52"
"National Credit Union Administration","Agency Overall","2009","9","11.1","<1","47","22","27","N/A","76","42","42","22","62"
"Institute of Museum and Library Services","Agency Overall","2009","11","12.7","1","38","65","64.5","44","85","N/A","N/A","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2009","<1","2","<1","68","<1","4","<1","128","17","19","3","46"
"Inter-American Foundation","Agency Overall","2009","14","14.4","9","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2009","19","106","2","376","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2009","40","103.86","<1","1396","339.36","309.89","1","3265","7.5","91.28","1","1175"
"Export-Import Bank of the U.S.","Agency Overall","2009","38","45","1","203","157","250","45","829","N/A","N/A","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","5","6","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2009","18","19","2","49","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2009","10","41","1","851","32","59","1","1002","56","56","56","56"
"Department of Commerce","Agency Overall","2009","12","15","1","256","51","115","10","762","20","18","5","40"
