"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Small Business Administration","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2009","20","10","3","4","5","2","2","0","0","0","0","1","0","47"
"Federal Mediation and Conciliation Service","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2009","0","1","5","3","0","0","0","1","0","0","0","0","0","10"
"National Archives and Records Administration","Agency Overall","2009","181","34","13","18","21","4","3","9","7","11","21","15","93","430"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","1","2","0","1","0","0","0","1","0","0","3","0","6","14"
"Merit Systems Protection Board","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2009","156","43","20","21","5","6","1","1","0","0","1","0","0","254"
"Commodity Futures Trading Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2009","884","1176","645","436","311","275","202","149","149","117","392","244","366","5346"
"Federal Labor Relations Authority","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2009","879","828","348","100","50","42","25","21","19","14","63","39","79","2507"
"Nuclear Regulatory Commission","Agency Overall","2009","11","4","8","4","3","0","0","2","0","0","0","0","0","32"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2009","58001","4471","1273","530","314","227","165","108","62","280","208","102","231","65972"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","2","0","1","0","0","1","0","0","0","0","0","0","0","4"
"Department of Labor","Agency Overall","2009","5157","986","395","256","212","162","82","83","65","70","113","5","11","7597"
