"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Small Business Administration","Agency Overall","2009","3778","93","12","5","0","1","0","0","1","1","1","2","1","3895"
"Office of Management and Budget","Agency Overall","2009","62","47","11","4","2","0","0","0","0","0","0","0","0","126"
"National Railroad Passenger Corporation","Agency Overall","2009","32","12","4","0","0","0","0","0","0","0","0","0","0","48"
"Federal Mediation and Conciliation Service","Agency Overall","2009","133","0","0","0","0","0","0","0","0","0","0","0","0","133"
"Federal Election Commission","Agency Overall","2009","28","9","5","3","2","4","0","1","0","1","1","1","0","55"
"National Archives and Records Administration","Agency Overall","2009","15595","741","321","174","67","41","27","38","11","9","2","8","44","17078"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","32","0","0","0","0","0","0","0","0","0","0","0","0","32"
"Merit Systems Protection Board","Agency Overall","2009","230","85","10","8","2","0","0","0","0","0","0","0","0","335"
"Federal Trade Commission","Agency Overall","2009","1129","55","15","14","0","0","0","0","0","0","0","0","0","1213"
"Commodity Futures Trading Commission","Agency Overall","2009","147","38","8","3","3","1","0","0","0","0","0","0","0","200"
"Department of Justice","Agency Overall","2009","28383","7559","3754","1792","1078","848","525","326","243","156","452","193","462","45771"
"Federal Labor Relations Authority","Agency Overall","2009","72","6","0","4","0","0","0","0","0","0","2","0","5","89"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","8","2","0","0","0","0","0","0","0","0","0","0","0","10"
"Department of Transportation","Agency Overall","2009","4557","1054","364","125","91","43","51","30","45","42","110","70","108","6690"
"Nuclear Regulatory Commission","Agency Overall","2009","219","36","5","3","1","0","1","0","0","0","0","0","0","265"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","15","1","0","0","0","0","0","0","0","0","0","0","0","16"
"Department of Veterans Affairs","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","7","1","0","0","0","0","0","0","0","0","0","0","0","8"
"Department of Labor","Agency Overall","2009","7698","850","243","97","64","34","19","7","12","7","21","5","2","9059"
"U.S. Railroad Retirement Board","Agency Overall","2009","103","10","1","0","0","0","0","0","0","0","0","0","4","118"
"Federal Reserve System","Agency Overall","2009","280","3","0","0","0","0","0","0","0","0","0","0","0","283"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","53","5","0","0","0","0","0","0","0","0","0","0","0","58"
"Peace Corps","Agency Overall","2009","206","28","6","0","0","0","0","0","0","0","0","0","0","240"
"Department of Defense","Agency Overall","2009","37182","3469","1491","899","379","802","259","174","149","97","767","127","247","46042"
"Department of Housing and Urban Development","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2009","66","6","0","0","0","0","0","0","0","0","0","0","0","72"
"Consumer Product Safety Commission","Agency Overall","2009","2577","89","50","29","23","5","3","5","5","4","5","2","0","2797"
"Department of Health and Human Services","Agency Overall","2009","28574","2973","1144","1158","706","615","496","568","494","373","1695","424","1096","40316"
"Federal Maritime Commission","Agency Overall","2009","4","8","0","3","1","0","1","0","0","0","0","5","4","26"
"U.S. Agency for International Development","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2009","348","5","3","1","0","0","0","0","0","1","0","0","0","358"
"United States International Boundary and Water Commission","Agency Overall","2009","16","5","2","0","1","0","0","0","0","0","0","0","0","24"
"National Endowment for the Humanities","Agency Overall","2009","20","7","0","0","0","0","0","0","0","0","0","0","0","27"
"Farm Credit System Insurance Corporation","Agency Overall","2009","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Federal Energy Regulatory Commission","Agency Overall","2009","33","24","1","0","0","0","0","0","0","0","0","0","0","58"
"Department of Energy","Agency Overall","2009","910","213","102","59","26","17","12","4","2","3","21","18","31","1418"
"Department of the Treasury","Agency Overall","2009","3010","41","14","2","0","0","0","0","0","0","0","0","0","3067"
"Federal Open Market Committee","Agency Overall","2009","13","0","0","0","0","0","0","0","0","0","0","0","0","13"
"National Indian Gaming Commission","Agency Overall","2009","35","8","4","0","0","0","0","0","0","0","0","0","0","47"
"Overseas Private Investment Corporation","Agency Overall","2009","28","5","0","0","0","0","0","0","0","0","0","0","0","33"
"Occupational Safety and Health Review Commission","Agency Overall","2009","55","0","0","0","0","0","0","0","0","0","0","0","0","55"
"Tennessee Valley Authority","Agency Overall","2009","88","0","0","0","0","0","0","0","0","0","0","0","0","88"
"Postal Regulatory Commission","Agency Overall","2009","22","0","0","0","0","0","0","0","0","0","0","0","0","22"
"National Science Foundation","Agency Overall","2009","313","60","5","1","1","0","0","0","0","0","1","0","1","382"
"Environmental Protection Agency","Agency Overall","2009","5442","2390","955","568","196","86","61","48","57","43","127","41","77","10091"
"National Aeronautics and Space Administration","Agency Overall","2009","393","84","26","17","5","4","14","11","7","8","14","0","0","583"
"National Mediation Board","Agency Overall","2009","16","3","0","0","0","0","0","0","0","0","0","0","0","19"
"Farm Credit Administration","Agency Overall","2009","32","0","0","0","0","0","0","0","0","0","0","0","0","32"
"Securities and Exchange Commission","Agency Overall","2009","6151","603","395","308","152","117","90","68","46","59","245","18","5","8257"
"General Services Administration","Agency Overall","2009","743","502","180","68","11","12","3","2","1","4","5","0","1","1532"
"Surface Transportation Board","Agency Overall","2009","13","0","0","0","0","0","0","0","0","0","0","0","0","13"
"Central Intelligence Agency","Agency Overall","2009","939","206","209","72","30","18","9","8","4","3","17","10","15","1540"
