"Agency","Component","Fiscal Year","Total"
"Small Business Administration","Agency Overall","2009","0"
"Office of Management and Budget","Agency Overall","2009","0"
"National Railroad Passenger Corporation","Agency Overall","2009","0"
"Federal Mediation and Conciliation Service","Agency Overall","2009","1"
"Federal Election Commission","Agency Overall","2009","0"
"National Archives and Records Administration","Agency Overall","2009","3"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","0"
"Merit Systems Protection Board","Agency Overall","2009","0"
"Federal Trade Commission","Agency Overall","2009","1"
"Commodity Futures Trading Commission","Agency Overall","2009","0"
"Department of Justice","Agency Overall","2009","446"
"Federal Labor Relations Authority","Agency Overall","2009","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","0"
"Department of Transportation","Agency Overall","2009","25"
"Nuclear Regulatory Commission","Agency Overall","2009","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","0"
"Department of Veterans Affairs","Agency Overall","2009","25"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","0"
"Department of Labor","Agency Overall","2009","132"
"U.S. Railroad Retirement Board","Agency Overall","2009","0"
"Federal Reserve System","Agency Overall","2009","2"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","0"
"Peace Corps","Agency Overall","2009",""
"Department of Defense","Agency Overall","2009","155"
"Department of Housing and Urban Development","Agency Overall","2009","0"
"Office of Government Ethics","Agency Overall","2009","0"
"Consumer Product Safety Commission","Agency Overall","2009","4"
"Department of Health and Human Services","Agency Overall","2009","77"
"Federal Maritime Commission","Agency Overall","2009","0"
"U.S. Agency for International Development","Agency Overall","2009","0"
"Office of Personnel Management","Agency Overall","2009",""
"Department of the Interior","Agency Overall","2009","156"
"United States International Boundary and Water Commission","Agency Overall","2009","0"
"National Endowment for the Humanities","Agency Overall","2009","0"
"Farm Credit System Insurance Corporation","Agency Overall","2009","0"
"Federal Energy Regulatory Commission","Agency Overall","2009","0"
"Department of Energy","Agency Overall","2009","9"
"Department of the Treasury","Agency Overall","2009","49"
"Federal Open Market Committee","Agency Overall","2009","0"
"National Indian Gaming Commission","Agency Overall","2009","0"
"Overseas Private Investment Corporation","Agency Overall","2009","0"
"Occupational Safety and Health Review Commission","Agency Overall","2009","0"
"Tennessee Valley Authority","Agency Overall","2009","0"
"Postal Regulatory Commission","Agency Overall","2009","0"
"National Science Foundation","Agency Overall","2009","0"
"Environmental Protection Agency","Agency Overall","2009","8"
"National Aeronautics and Space Administration","Agency Overall","2009","0"
"National Mediation Board","Agency Overall","2009","0"
"Farm Credit Administration","Agency Overall","2009","0"
"Securities and Exchange Commission","Agency Overall","2009","5"
"General Services Administration","Agency Overall","2009","0"
"Surface Transportation Board","Agency Overall","2009","0"
"Central Intelligence Agency","Agency Overall","2009","16"
"Council on Environmental Quality","Agency Overall","2009","0"
"Office of National Drug Control Policy","Agency Overall","2009","0"
"Federal Communications Commission","Agency Overall","2009","0"
"Social Security Administration","Agency Overall","2009","0"
"Federal Financial Institutions Examination Council","Agency Overall","2009","0"
"Federal Housing Finance Agency","Agency Overall","2009","0"
"National Credit Union Administration","Agency Overall","2009","0"
"Institute of Museum and Library Services","Agency Overall","2009","0"
"Federal Deposit Insurance Corporation","Agency Overall","2009","2"
"Inter-American Foundation","Agency Overall","2009","0"
"United States Copyright Office","Agency Overall","2009","0"
"Department of Homeland Security","Agency Overall","2009","88"
"Export-Import Bank of the U.S.","Agency Overall","2009","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","0"
"United States International Trade Commission","Agency Overall","2009","0"
"Department of Education","Agency Overall","2009","0"
"Department of Commerce","Agency Overall","2009","0"
"Office of Science and Technology Policy","Agency Overall","2009","1"
"U.S. Department of State","Agency Overall","2009","16"
"Selective Service System","Agency Overall","2009","0"
"All agencies","Agency Overall","2009","1221"
