"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Small Business Administration","Agency Overall","2009","7","0","0","1","0","0","2","0","0","0","0"
"Office of Management and Budget","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2009","0","0","0","0","0","0","1","0","0","0","1"
"Federal Election Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2009","14","1","3","7","3","1","11","1","0","0","3"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2009","2","0","0","2","0","0","0","0","0","0","1"
"Commodity Futures Trading Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2009","766","25","18","47","12","50","20","81","81","34","446"
"Federal Labor Relations Authority","Agency Overall","2009","1","0","0","0","0","0","0","0","0","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2009","25","0","13","1","2","3","3","1","0","0","25"
"Nuclear Regulatory Commission","Agency Overall","2009","1","0","1","1","0","0","1","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2009","9","12","2","3","0","4","2","0","0","0","25"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2009","29","2","27","4","0","22","0","10","0","0","132"
"U.S. Railroad Retirement Board","Agency Overall","2009","3","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2009","0","0","2","0","0","0","0","0","2","0","2"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2009","0","0","0","2","0","0","0","5","0","0","0"
"Department of Defense","Agency Overall","2009","78","78","67","24","2","49","10","15","8","11","157"
"Department of Housing and Urban Development","Agency Overall","2009","2","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2009","0","0","1","0","0","0","0","0","0","0","4"
"Department of Health and Human Services","Agency Overall","2009","4","1","22","2","0","2","0","0","0","5","77"
"Federal Maritime Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2009","3","0","0","0","0","0","0","0","0","0","2"
"Office of Personnel Management","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2009","18","0","0","10","1","1","2","0","20","0","156"
"United States International Boundary and Water Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","2","0"
"Department of Energy","Agency Overall","2009","7","0","11","2","0","6","0","0","0","1","9"
