"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"Small Business Administration","Agency Overall","2009","4","35","39","0"
"Office of Management and Budget","Agency Overall","2009","2","7","9","0"
"National Railroad Passenger Corporation","Agency Overall","2009","0","1","0","1"
"Federal Mediation and Conciliation Service","Agency Overall","2009","0","0","0","0"
"Federal Election Commission","Agency Overall","2009","1","1","1","1"
"National Archives and Records Administration","Agency Overall","2009","29","43","66","6"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","0","3","3","0"
"Merit Systems Protection Board","Agency Overall","2009","0","5","5","0"
"Federal Trade Commission","Agency Overall","2009","2","13","14","1"
"Commodity Futures Trading Commission","Agency Overall","2009","1","4","5","0"
"Department of Justice","Agency Overall","2009","717","2897","2960","654"
"Federal Labor Relations Authority","Agency Overall","2009","0","2","2","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","0","2","2","0"
"Department of Transportation","Agency Overall","2009","101","174","172","103"
"Nuclear Regulatory Commission","Agency Overall","2009","0","25","20","5"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2009","68","241","87","222"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","0","1","1","0"
"Department of Labor","Agency Overall","2009","208","349","369","188"
"U.S. Railroad Retirement Board","Agency Overall","2009","0","3","3","0"
"Federal Reserve System","Agency Overall","2009","0","22","21","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","0","0","0","0"
"Peace Corps","Agency Overall","2009","4","6","10","0"
"Department of Defense","Agency Overall","2009","707","961","1025","643"
"Department of Housing and Urban Development","Agency Overall","2009","0","39","39","0"
"Office of Government Ethics","Agency Overall","2009","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2009","0","19","19","0"
"Department of Health and Human Services","Agency Overall","2009","463","160","174","449"
"Federal Maritime Commission","Agency Overall","2009","0","1","0","1"
"U.S. Agency for International Development","Agency Overall","2009","5","14","9","10"
"Office of Personnel Management","Agency Overall","2009","3","30","31","2"
"Department of the Interior","Agency Overall","2009","553","149","259","443"
"United States International Boundary and Water Commission","Agency Overall","2009","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2009","0","3","3","0"
"Farm Credit System Insurance Corporation","Agency Overall","2009","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2009","1","14","13","2"
"Department of Energy","Agency Overall","2009","13","49","58","4"
"Department of the Treasury","Agency Overall","2009","76","364","321","119"
"Federal Open Market Committee","Agency Overall","2009","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2009","0","3","3","0"
"Overseas Private Investment Corporation","Agency Overall","2009","1","1","2","0"
"Occupational Safety and Health Review Commission","Agency Overall","2009","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2009","3","11","14","0"
"Postal Regulatory Commission","Agency Overall","2009","0","0","0","0"
"National Science Foundation","Agency Overall","2009","0","7","7","0"
"Environmental Protection Agency","Agency Overall","2009","160","167","217","110"
"National Aeronautics and Space Administration","Agency Overall","2009","9","22","30","1"
"National Mediation Board","Agency Overall","2009","0","0","0","0"
"Farm Credit Administration","Agency Overall","2009","0","2","2","0"
"Securities and Exchange Commission","Agency Overall","2009","45","247","267","25"
"General Services Administration","Agency Overall","2009","0","16","16","0"
"Surface Transportation Board","Agency Overall","2009","0","1","1","0"
"Central Intelligence Agency","Agency Overall","2009","172","241","212","201"
"Council on Environmental Quality","Agency Overall","2009","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2009","0","0","0","0"
"Federal Communications Commission","Agency Overall","2009","30","14","37","7"
"Social Security Administration","Agency Overall","2009","1","113","105","9"
"Federal Financial Institutions Examination Council","Agency Overall","2009","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2009","0","10","10","0"
"National Credit Union Administration","Agency Overall","2009","0","12","10","2"
"Institute of Museum and Library Services","Agency Overall","2009","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2009","2","51","49","4"
"Inter-American Foundation","Agency Overall","2009","0","0","0","0"
"United States Copyright Office","Agency Overall","2009","0","0","0","0"
"Department of Homeland Security","Agency Overall","2009","2539","2129","1673","2995"
"Export-Import Bank of the U.S.","Agency Overall","2009","0","2","2","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","0","0","0","0"
"United States International Trade Commission","Agency Overall","2009","1","1","1","1"
"Department of Education","Agency Overall","2009","37","46","55","28"
"Department of Commerce","Agency Overall","2009","87","83","110","60"
"Office of Science and Technology Policy","Agency Overall","2009","0","3","3","0"
"U.S. Department of State","Agency Overall","2009","508","242","248","502"
"Selective Service System","Agency Overall","2009","0","0","0","0"
"All agencies","Agency Overall","2009","6553","9061","8814","6800"
