"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Small Business Administration","Agency Overall","2009","28","3892","3898","22"
"Office of Management and Budget","Agency Overall","2009","5","138","126","17"
"National Railroad Passenger Corporation","Agency Overall","2009","28","182","200","10"
"Federal Mediation and Conciliation Service","Agency Overall","2009","3","130","133","0"
"Federal Election Commission","Agency Overall","2009","8","76","67","17"
"National Archives and Records Administration","Agency Overall","2009","5781","18581","17508","6854"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","32","44","46","30"
"Merit Systems Protection Board","Agency Overall","2009","6","334","335","5"
"Federal Trade Commission","Agency Overall","2009","8","1477","1467","18"
"Commodity Futures Trading Commission","Agency Overall","2009","15","199","200","14"
"Department of Justice","Agency Overall","2009","6238","61391","60217","7412"
"Federal Labor Relations Authority","Agency Overall","2009","13","78","89","2"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","0","12","12","0"
"Department of Transportation","Agency Overall","2009","1751","9018","9282","1487"
"Nuclear Regulatory Commission","Agency Overall","2009","18","302","297","23"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","3","13","16","0"
"Department of Veterans Affairs","Agency Overall","2009","4732","69432","71487","2677"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","2","13","15","0"
"Department of Labor","Agency Overall","2009","1149","16726","16810","1065"
"U.S. Railroad Retirement Board","Agency Overall","2009","6","112","118","0"
"Federal Reserve System","Agency Overall","2009","5","1015","848","172"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","0","71","63","8"
"Peace Corps","Agency Overall","2009","22","240","260","2"
"Department of Defense","Agency Overall","2009","14643","67434","68133","13944"
"Department of Housing and Urban Development","Agency Overall","2009","697","2758","3049","406"
"Office of Government Ethics","Agency Overall","2009","3","74","73","4"
"Consumer Product Safety Commission","Agency Overall","2009","373","3435","3465","343"
"Department of Health and Human Services","Agency Overall","2009","19344","48564","50337","17571"
"Federal Maritime Commission","Agency Overall","2009","11","31","26","16"
"U.S. Agency for International Development","Agency Overall","2009","311","311","331","291"
"Office of Personnel Management","Agency Overall","2009","99","3273","3317","55"
"Department of the Interior","Agency Overall","2009","1017","5208","5088","1137"
"United States International Boundary and Water Commission","Agency Overall","2009","0","27","24","3"
"National Endowment for the Humanities","Agency Overall","2009","2","45","42","5"
"Farm Credit System Insurance Corporation","Agency Overall","2009","0","3","3","0"
"Federal Energy Regulatory Commission","Agency Overall","2009","26","113","112","27"
"Department of Energy","Agency Overall","2009","357","1809","1752","414"
"Department of the Treasury","Agency Overall","2009","2656","20075","19980","2751"
"Federal Open Market Committee","Agency Overall","2009","0","38","38","0"
"National Indian Gaming Commission","Agency Overall","2009","6","67","67","6"
"Overseas Private Investment Corporation","Agency Overall","2009","0","38","37","1"
"Occupational Safety and Health Review Commission","Agency Overall","2009","5","58","57","6"
"Tennessee Valley Authority","Agency Overall","2009","19","162","162","19"
"Postal Regulatory Commission","Agency Overall","2009","1","22","22","1"
"National Science Foundation","Agency Overall","2009","3","395","382","16"
"Environmental Protection Agency","Agency Overall","2009","1584","10317","10404","1497"
"National Aeronautics and Space Administration","Agency Overall","2009","378","1226","1173","431"
"National Mediation Board","Agency Overall","2009","0","22","22","0"
"Farm Credit Administration","Agency Overall","2009","0","32","32","0"
"Securities and Exchange Commission","Agency Overall","2009","899","7878","8285","492"
"General Services Administration","Agency Overall","2009","90","1558","1534","114"
"Surface Transportation Board","Agency Overall","2009","1","14","14","1"
"Central Intelligence Agency","Agency Overall","2009","1024","2863","3112","775"
"Council on Environmental Quality","Agency Overall","2009","5","48","48","5"
"Office of National Drug Control Policy","Agency Overall","2009","0","38","38","0"
"Federal Communications Commission","Agency Overall","2009","65","651","659","57"
"Social Security Administration","Agency Overall","2009","1060","31340","31551","849"
"Federal Financial Institutions Examination Council","Agency Overall","2009","0","2","2","0"
"Federal Housing Finance Agency","Agency Overall","2009","7","118","116","9"
"National Credit Union Administration","Agency Overall","2009","5","193","184","14"
"Institute of Museum and Library Services","Agency Overall","2009","3","41","39","5"
"Federal Deposit Insurance Corporation","Agency Overall","2009","62","2207","2045","224"
"Inter-American Foundation","Agency Overall","2009","0","8","7","1"
"United States Copyright Office","Agency Overall","2009","10","31","32","9"
"Department of Homeland Security","Agency Overall","2009","84096","103093","160007","27182"
"Export-Import Bank of the U.S.","Agency Overall","2009","9","108","88","29"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","2","46","47","1"
"United States International Trade Commission","Agency Overall","2009","0","53","50","3"
"Department of Education","Agency Overall","2009","344","2307","2232","419"
"Department of Commerce","Agency Overall","2009","254","2091","2092","253"
"Office of Science and Technology Policy","Agency Overall","2009","9","31","39","1"
"U.S. Department of State","Agency Overall","2009","4620","10717","6024","9313"
"Selective Service System","Agency Overall","2009","0","29","29","0"
"All agencies","Agency Overall","2009","153953","514478","569896","98535"
