"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"Small Business Administration","Agency Overall","2009","3","0","7","6.6","2"
"Office of Management and Budget","Agency Overall","2009","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2009","1","4","6","6","5"
"Federal Mediation and Conciliation Service","Agency Overall","2009","18","14","2","2","18"
"Federal Election Commission","Agency Overall","2009","2","0","9","9","1"
"National Archives and Records Administration","Agency Overall","2009","13","39","5","5","52"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","2","0","10","10","2"
"Merit Systems Protection Board","Agency Overall","2009","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2009","0","5","3","2.8","5"
"Commodity Futures Trading Commission","Agency Overall","2009","0","0","0","0","0"
"Department of Justice","Agency Overall","2009","198","686","1","10.6","697"
"Federal Labor Relations Authority","Agency Overall","2009","0","0","0","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","0","0","0","0","0"
"Department of Transportation","Agency Overall","2009","78","232","1","6","270"
"Nuclear Regulatory Commission","Agency Overall","2009","0","9","0","0","9"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","1","0","0","0","1"
"Department of Veterans Affairs","Agency Overall","2009","113","17","6","14","111"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","0","0","0","0","0"
"Department of Labor","Agency Overall","2009","154","152","22","24.36","115"
"U.S. Railroad Retirement Board","Agency Overall","2009","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2009","25","1","11","11","12"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","0","0","0","0","0"
"Peace Corps","Agency Overall","2009","0","0","0","0","0"
"Department of Defense","Agency Overall","2009","500","480","0","46","497"
"Department of Housing and Urban Development","Agency Overall","2009","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2009","1","0","10","10","1"
"Consumer Product Safety Commission","Agency Overall","2009","0","11","5","6","8"
"Department of Health and Human Services","Agency Overall","2009","22","178","11","24","115"
"Federal Maritime Commission","Agency Overall","2009","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2009","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2009","4","0","3","7","4"
"Department of the Interior","Agency Overall","2009","27","41","49","71","50"
"United States International Boundary and Water Commission","Agency Overall","2009","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2009","3","0","5","5","3"
"Farm Credit System Insurance Corporation","Agency Overall","2009","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2009","0","10","9","8","10"
"Department of Energy","Agency Overall","2009","4","36","2","7","31"
"Department of the Treasury","Agency Overall","2009","178","104","7","10.5","139"
"Federal Open Market Committee","Agency Overall","2009","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2009","1","1","1","1","2"
"Overseas Private Investment Corporation","Agency Overall","2009","4","0","1","4","3"
"Occupational Safety and Health Review Commission","Agency Overall","2009","1","0","5","5","1"
"Tennessee Valley Authority","Agency Overall","2009","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2009","0","0","0","0","0"
"National Science Foundation","Agency Overall","2009","0","4","14","100","1"
"Environmental Protection Agency","Agency Overall","2009","3","117","3","7.29","91"
"National Aeronautics and Space Administration","Agency Overall","2009","2","1","6","17","2"
"National Mediation Board","Agency Overall","2009","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2009","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2009","10","63","1","7","65"
"General Services Administration","Agency Overall","2009","2","2","5","5","2"
"Surface Transportation Board","Agency Overall","2009","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2009","12","14","0","0","0"
"Council on Environmental Quality","Agency Overall","2009","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2009","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2009","0","1","6","6","1"
"Social Security Administration","Agency Overall","2009","0","25","4","5","25"
"Federal Financial Institutions Examination Council","Agency Overall","2009","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2009","5","0","2","2","5"
"National Credit Union Administration","Agency Overall","2009","2","2","1","1.25","4"
"Institute of Museum and Library Services","Agency Overall","2009","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2009","14","2","1","1","16"
"Inter-American Foundation","Agency Overall","2009","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2009","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2009","21","1112","1","5.65","1077"
"Export-Import Bank of the U.S.","Agency Overall","2009","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2009","0","0","0","0","0"
"Department of Education","Agency Overall","2009","1","27","13","30","24"
"Department of Commerce","Agency Overall","2009","19","35","11","9","43"
"Office of Science and Technology Policy","Agency Overall","2009","2","0","230.5","230.5","0"
"U.S. Department of State","Agency Overall","2009","7","156","17","35","29"
"Selective Service System","Agency Overall","2009","0","0","0","0","0"
"All agencies","Agency Overall","2009","1453","3581","N/A","N/A","3549"
