"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Small Business Administration","Agency Overall","2009","16","15.3","1","30"
"Office of Management and Budget","Agency Overall","2009","44","45","19","70"
"National Railroad Passenger Corporation","Agency Overall","2009","N/A","N/A","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2009","18","18","5","18"
"Federal Election Commission","Agency Overall","2009","21","21","21","21"
"National Archives and Records Administration","Agency Overall","2009","586","18","3","1404"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","20","23","20","30"
"Merit Systems Protection Board","Agency Overall","2009","14","14","2","19"
"Federal Trade Commission","Agency Overall","2009","20.5","20.71","9","48"
"Commodity Futures Trading Commission","Agency Overall","2009","38","46.2","26","74"
"Department of Justice","Agency Overall","2009","54","79.24","<1","475"
"Federal Labor Relations Authority","Agency Overall","2009","<1","9","2","16"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","22","22","19","25"
"Department of Transportation","Agency Overall","2009","12","41","<1","646"
"Nuclear Regulatory Commission","Agency Overall","2009","20","23","2","50"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","N/A","N/A","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2009","56","53","2","159"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","17","17","17","17"
"Department of Labor","Agency Overall","2009","89.5","236","N/A","1575"
"U.S. Railroad Retirement Board","Agency Overall","2009","21","21.67","18","28"
"Federal Reserve System","Agency Overall","2009","19","19","3","33"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2009","21","28","11","59"
"Department of Defense","Agency Overall","2009","N/A","236","1","3065"
"Department of Housing and Urban Development","Agency Overall","2009","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2009","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2009","15","18","6","20"
"Department of Health and Human Services","Agency Overall","2009","289","650","1","3505"
"Federal Maritime Commission","Agency Overall","2009","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2009","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2009","25","43","N/A","N/A"
"Department of the Interior","Agency Overall","2009","869","939","1","2956"
"United States International Boundary and Water Commission","Agency Overall","2009","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2009","24","206","21","572"
"Farm Credit System Insurance Corporation","Agency Overall","2009","N/A","N/A","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2009","29","36","19","94"
"Department of Energy","Agency Overall","2009","15","30","1","351"
"Department of the Treasury","Agency Overall","2009","50.5","61.3","<1","335"
"Federal Open Market Committee","Agency Overall","2009","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2009","15","15.3","11","20"
"Overseas Private Investment Corporation","Agency Overall","2009","16.5","16.5","11","22"
"Occupational Safety and Health Review Commission","Agency Overall","2009","N/A","N/A","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2009","20","20.5","14","28"
"Postal Regulatory Commission","Agency Overall","2009","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2009","17","14","1","20"
"Environmental Protection Agency","Agency Overall","2009","85","252.63","<1","2528"
"National Aeronautics and Space Administration","Agency Overall","2009","6","13","N/A","N/A"
"National Mediation Board","Agency Overall","2009","N/A","N/A","N/A","N/A"
"Farm Credit Administration","Agency Overall","2009","N/A","11","9","13"
"Securities and Exchange Commission","Agency Overall","2009","12","33","1","315"
"General Services Administration","Agency Overall","2009","30","33","15","89"
"Surface Transportation Board","Agency Overall","2009","15","15","15","15"
"Central Intelligence Agency","Agency Overall","2009","112","242","N/A","4078"
"Council on Environmental Quality","Agency Overall","2009","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2009","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2009","611","653","211","989"
"Social Security Administration","Agency Overall","2009","67","82","6","279"
"Federal Financial Institutions Examination Council","Agency Overall","2009","N/A","N/A","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2009","17","19","8","52"
"National Credit Union Administration","Agency Overall","2009","21.5","30.7","16","110"
"Institute of Museum and Library Services","Agency Overall","2009","N/A","N/A","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2009","20","19","9","40"
"Inter-American Foundation","Agency Overall","2009","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2009","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2009","298","481.48","1","1718"
"Export-Import Bank of the U.S.","Agency Overall","2009","12","12","4","21"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2009","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2009","63","95","13","317"
"Department of Commerce","Agency Overall","2009","338","104","1","1447"
"Office of Science and Technology Policy","Agency Overall","2009","19","18.3","8","28"
"U.S. Department of State","Agency Overall","2009","453","460","<1","2049"
"Selective Service System","Agency Overall","2009","N/A","N/A","N/A","N/A"
