"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Small Business Administration","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Management and Budget","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Railroad Passenger Corporation","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2009-02-18","143"
"Federal Mediation and Conciliation Service","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Election Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2008-07-22","298"
"National Archives and Records Administration","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","2009-07-23","49","2009-05-01","106","2008-10-01","251","2008-09-29","256","2008-08-04","292","2008-06-06","332"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Merit Systems Protection Board","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Trade Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2009-09-03","0"
"Commodity Futures Trading Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Justice","Agency Overall","2009","2008-10-20","240","2008-10-20","240","2008-10-16","242","2008-10-16","242","2008-10-16","242","2008-10-16","242","2008-10-16","242","2008-10-16","242","2008-10-08","247","2008-10-08","250"
"Federal Labor Relations Authority","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Transportation","Agency Overall","2009","2006-12-13","739","2006-11-30","747","2006-11-09","760","2006-11-09","760","2006-10-16","781","2006-10-05","785","2005-06-08","1118","2005-06-08","1118","2004-04-22","1401","2004-02-05","1455"
"Nuclear Regulatory Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2009-09-28","2","2009-09-15","11","2009-09-01","20","2009-06-08","80","2009-06-03","83"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Veterans Affairs","Agency Overall","2009","2009-04-29","107","2009-04-28","108","2009-04-24","110","2009-04-23","111","2009-04-20","114","2009-04-17","115","2009-04-15","117","2009-04-14","118","2009-04-07","123","2009-04-07","123"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Labor","Agency Overall","2009","2007-08-07","785","2007-07-18","805","2007-05-22","862","2007-04-18","896","2007-03-23","922","2007-02-28","945","2007-01-31","973","2006-04-13","1266","2006-04-11","1268","2005-10-13","1448"
"U.S. Railroad Retirement Board","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Reserve System","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2009-09-29","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Peace Corps","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
