"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Central Intelligence Agency","Agency Overall","2010","219","78","317","642","234","418","9","468","488"
"Department of Justice","Agency Overall","2010","3300","29","55.67","4016","111","182.61","73","107","168.05"
"Department of Housing and Urban Development","Agency Overall","2010","129","442","289","53","369","306","0","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2010","65","153","158.26","245","292","340.92","6","318","312.17"
"Department of Education","Agency Overall","2010","183","156","159","273","31","54","0","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2010","1839","52","121.4","57","53","180.58","6","154","272.17"
"Federal Housing Finance Agency","Agency Overall","2010","3","75","81","13","59","87","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Energy","Agency Overall","2010","185","39","111.62","276","121.5","196.43","3","73","126"
"Peace Corps","Agency Overall","2010","6","106","127","4","134","132","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2010","1435","838","970.6","4370","989","1199.6","0","N/A","N/A"
"Department of Labor","Agency Overall","2010","248","N/A","63.9","682","15.5","75.9","13","N/A","4.7"
"Small Business Administration","Agency Overall","2010","18","7","46","0","N/A","N/A","0","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2010","2","15.5","15.5","5","232","218.8","0","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2010","4","21","17","12","12","115","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2010","1","21","21","0","N/A","N/A","0","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2010","1","15","15","0","N/A","N/A","0","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2010","45","27","44","122","37","56","4","7","5"
"Millennium Challenge Corporation","Agency Overall","2010","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2010","5","1364","1059.6","0","N/A","N/A","1","24","24"
"National Labor Relations Board","Agency Overall","2010","81","11","11","0","N/A","N/A","0","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","3","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2010","1","23","23","0","N/A","N/A","0","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2010","1","16","16","0","N/A","N/A","0","N/A","N/A"
"Department of Transportation","Agency Overall","2010","1118","54","141.49","515","54","141.65","12","22","30.12"
"National Endowment for the Humanities","Agency Overall","2010","1","7","7","3","58","44.3","0","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2010","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Commerce","Agency Overall","2010","145","12","26","124","38","85","4","96","104"
"Farm Credit Administration","Agency Overall","2010","1","16","16","0","N/A","N/A","0","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2010","0","N/A","N/A","18","204","192.3","1","81","81"
"United States International Boundary and Water Commission","Agency Overall","2010","1","27","27","0","N/A","N/A","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2010","2","2.5","2.5","1","20","20","0","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","1","2","2","0","N/A","N/A","0","N/A","N/A"
"United States Copyright Office","Agency Overall","2010","2","106.5","106.5","0","N/A","N/A","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2010","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","0","N/A","N/A","38","243","332","6","87","178"
"Federal Open Market Committee","Agency Overall","2010","0","N/A","N/A","1","176","176","0","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2010","0","N/A","N/A","1351","20","51","1","104","104"
"Federal Reserve System","Agency Overall","2010","3","22","33","69","140","159","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2010","0","N/A","N/A","12","283","234","0","N/A","N/A"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2010","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2010","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2010","2","23.5","23.5","0","N/A","N/A","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2010","3943","56.86","66.08","12148","186.5","316.23","11","17.81","65.86"
"Commodity Futures Trading Commission","Agency Overall","2010","19","84.5","102.5","0","N/A","N/A","0","N/A","N/A"
"Inter-American Foundation","Agency Overall","2010","1","15","15","0","N/A","N/A","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2010","283","21","41","18","N/A","117","1","111","111"
"Department of Agriculture","Agency Overall","2010","694","120.5","53.18","601","115","51.81","0","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2010","50","39","85","318","82","121","0","N/A","N/A"
"Office of Personnel Management","Agency Overall","2010","0","N/A","N/A","8","79","132","0","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2010","3","2","4.6","1","8","8","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2010","12","27.5","40","0","N/A","N/A","0","N/A","N/A"
"Social Security Administration","Agency Overall","2010","817","17","17","17","29","40","0","N/A","N/A"
"Department of the Treasury","Agency Overall","2010","114","6","12.5187","1002","22","167.46","12","4","6.48"
"National Science Foundation","Agency Overall","2010","51","38","34","0","N/A","N/A","0","N/A","N/A"
"Office of Management and Budget","Agency Overall","2010","21","14","31","0","N/A","N/A","0","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2010","4","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2010","36","33","86.64","144","67","137.44","1","89","89"
"Export-Import Bank of the U.S.","Agency Overall","2010","9","37","44.44","20","49","65.15","0","N/A","N/A"
"Department of the Interior","Agency Overall","2010","3","1","1","930","41","107","2","4","4"
"Nuclear Regulatory Commission","Agency Overall","2010","14","5","9","8","37","35","0","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2010","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of Special Counsel","Agency Overall","2010","0","N/A","N/A","5","N/A","N/A","0","N/A","N/A"
"Selective Service System","Agency Overall","2010","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2010","1","15","15","0","N/A","N/A","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2010","17","489","496","8","205","430","0","N/A","25"
"Federal Retirement Thrift Investment Board","Agency Overall","2010","2","15","15","0","N/A","N/A","0","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2010","0","N/A","N/A","37","104","155","0","N/A","N/A"
"Department of Defense","Agency Overall","2010","3064","N/A","168","7177","N/A","711","265","N/A","6"
"United States International Trade Commission","Agency Overall","2010","2","11","6","0","N/A","N/A","0","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2010","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States Postal Service","Agency Overall","2010","50","14","30","29","33","102","0","N/A","N/A"
"General Services Administration","Agency Overall","2010","222","34","31","0","N/A","N/A","0","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2010","20","91","144","0","N/A","N/A","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2010","6","32","33.8","2","11.5","11.5","2","44.5","44.5"
"Office of the Director of National Intelligence","Agency Overall","2010","136","211","265.8","0","N/A","N/A","1","N/A","298"
"Court Services and Offender Supervision Agency","Agency Overall","2010","92","26.5","64","0","N/A","N/A","0","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2010","4028","N/A","N/A","7547","N/A","N/A","18","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2010","0","N/A","N/A","92","44","57","0","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2010","1","125","125","0","N/A","N/A","0","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2010","2","5","5","3","14","12","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2010","8","58","115.7","5","131","288.8","0","N/A","N/A"
"National Mediation Board","Agency Overall","2010","1","65","65","0","N/A","N/A","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2010","2","47.5","47.5","2","61","61","0","N/A","N/A"
"U.S. Department of State","Agency Overall","2010","12924","125","128","7934","253","382","14","634","939"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2010","4","184","185","0","N/A","N/A","0","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2010","1099","18","17.6651532349603","0","N/A","N/A","0","N/A","N/A"
"United States African Development Foundation","Agency Overall","2010","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2010","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2010","2","32.5","32.5","3","50","45.67","0","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2010","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2010","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2010","375","3","8","0","N/A","N/A","0","N/A","N/A"
"Federal Communications Commission","Agency Overall","2010","52","23","71","0","N/A","N/A","0","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2010","3","10","9","10","47","67","0","N/A","N/A"
"Office of Government Ethics","Agency Overall","2010","6","11.5","13.5","0","N/A","N/A","0","N/A","N/A"
"Federal Trade Commission","Agency Overall","2010","4","52","51.75","28","100","122","0","N/A","N/A"
"All agencies","Agency Overall","2010","37247","N/A","N/A","50999","N/A","N/A","466","N/A","N/A"
