"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Central Intelligence Agency","Agency Overall","2010","10","19","N/A","1711","32","109","N/A","2917","5","5","5","5"
"Department of Justice","Agency Overall","2010","13","26.35","<1","933","49","113.48","<1","2481","35","86.08","<1","1869"
"Department of Housing and Urban Development","Agency Overall","2010","1434","312","1","698","1716","709","1","1568","141","131","2","191"
"U.S. Agency for International Development","Agency Overall","2010","46","84.57","<1","739","213.5","354.98","3","2084","134.5","163.17","1","344"
"Department of Education","Agency Overall","2010","30","57","1","422","23","45","1","409","23","113","1","314"
"Environmental Protection Agency","Agency Overall","2010","19","36.41","<1","1436","51","93.74","<1","959","9","13.08","<1","66"
"Federal Housing Finance Agency","Agency Overall","2010","29","48","1","178","170","174","33","356","N/A","N/A","2","2"
"Defense Nuclear Facilities Safety Board","Agency Overall","2010","5","7","<1","29","47","47","47","47","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2010","16","39.62","<1","1732","45","121.3","<1","2305","5.5","41.67","4","222"
"Peace Corps","Agency Overall","2010","20","22","1","69","52","80","22","146","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2010","5","17.1","N/A","3268","160","471","N/A","3937","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2010","4.5","11.6","1","523","12","27.4","1","792","5.5","15.1","1","438"
"Small Business Administration","Agency Overall","2010","7","12","<1","297","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2010","5","18.4","<1","655","24.5","34.9","12","120","3","2.7","2","3"
"Federal Energy Regulatory Commission","Agency Overall","2010","23","34","6","254","29","41","1","272","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2010","7","7.3","1","14","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2010","6","6","1","21","N/A","N/A","N/A","N/A","2","2","1","2"
"Federal Deposit Insurance Corporation","Agency Overall","2010","19","41","<1","271","16","30","<1","377","30","53","2","146"
"Millennium Challenge Corporation","Agency Overall","2010","6","17","<1","259","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2010","11.5","31.9","1","293","N/A","N/A","N/A","N/A","20","20","7","33"
"National Labor Relations Board","Agency Overall","2010","3","5","N/A","N/A","N/A","N/A","N/A","N/A","3","3","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2010","6","12","1","38","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2010","3","6","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2010","10.5","10.7","<1","20","26.5","26","21","30","N/A","N/A","N/A","N/A"
"Department of Transportation","Agency Overall","2010","9","20.98","<1","1531","29","53.75","<1","1502","19","35.56","<1","259"
"National Endowment for the Humanities","Agency Overall","2010","18","17.8","7","32","69.5","149.57","21","1194","N/A","N/A","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2010","20","20","20","20","20","20","20","20","N/A","N/A","N/A","N/A"
"Department of Commerce","Agency Overall","2010","20","16","1","920","50","30","1","709","20","17","2","105"
"Farm Credit Administration","Agency Overall","2010","8","9.375","N/A","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2010","N/A","N/A","N/A","N/A","60","105","2","303","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2010","17","15.6","2","34","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2010","9","9.6","1","26","55.5","55.3","36","74","N/A","N/A","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2010","2","5","1","22","14.5","17","4","36","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2010","14","30.3","1","243","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2010","4","3.5","1","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2010","20","16","2","20","725","669","283","917","27","27","27","27"
