"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"Department of Health and Human Services","Agency Overall","2011","0","20","20","0"
"U.S. Agency for Global Media","Agency Overall","2011","0","0","0","0"
"United States Postal Service","Agency Overall","2011","0","10","10","0"
"Department of the Treasury","Agency Overall","2011","19","296","285","30"
"Tennessee Valley Authority","Agency Overall","2011","0","2","2","0"
"Office of the United States Trade Representative","Agency Overall","2011","1","11","4","8"
"Council on Environmental Quality","Agency Overall","2011","3","17","15","5"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2011","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2011","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","0","1","1","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2011","0","0","0","0"
"Selective Service System","Agency Overall","2011","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2011","0","0","0","0"
"U.S. Department of State","Agency Overall","2011","15293","7535","20961","1867"
"Central Intelligence Agency","Agency Overall","2011","260","1147","1168","239"
"Federal Communications Commission","Agency Overall","2011","0","2","2","0"
"National Transportation Safety Board","Agency Overall","2011","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2011","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","0","3","3","0"
"Department of Transportation","Agency Overall","2011","1","14","13","2"
"Farm Credit System Insurance Corporation","Agency Overall","2011","0","0","0","0"
"Department of Homeland Security","Agency Overall","2011","69","405","433","41"
"Office of National Drug Control Policy","Agency Overall","2011","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2011","0","8","8","0"
"United States International Trade Commission","Agency Overall","2011","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2011","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2011","0","1","1","0"
"National Aeronautics and Space Administration","Agency Overall","2011","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2011","0","1","1","0"
"Federal Financial Institutions Examination Council","Agency Overall","2011","0","0","0","0"
"Department of Education","Agency Overall","2011","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2011","1","6","6","1"
"National Railroad Passenger Corporation","Agency Overall","2011","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2011","0","1","1","0"
"Surface Transportation Board","Agency Overall","2011","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2011","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2011","0","5","4","1"
"Department of Justice","Agency Overall","2011","58","379","385","52"
"U.S. Commission on Civil Rights","Agency Overall","2011","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2011","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","0","0","0","0"
"Office of Management and Budget","Agency Overall","2011","2","21","19","4"
"U.S. Agency for International Development","Agency Overall","2011","0","5","1","4"
"Federal Energy Regulatory Commission","Agency Overall","2011","0","1","1","0"
"Court Services and Offender Supervision Agency","Agency Overall","2011","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2011","0","0","0","0"
"Legal Services Corporation","Agency Overall","2011","0","0","0","0"
"Office of Special Counsel","Agency Overall","2011","0","1","1","0"
"Merit Systems Protection Board","Agency Overall","2011","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2011","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2011","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2011","0","0","0","0"
"Department of Defense","Agency Overall","2011","1120","1796","1863","1053"
"Inter-American Foundation","Agency Overall","2011","0","0","0","0"
"Farm Credit Administration","Agency Overall","2011","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2011","0","0","0","0"
"National Credit Union Administration","Agency Overall","2011","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2011","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2011","0","0","0","0"
