"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Department of Health and Human Services","Agency Overall","2011","110","14","20","175","319"
"U.S. Agency for Global Media","Agency Overall","2011","4","1","0","1","6"
"United States Postal Service","Agency Overall","2011","40","18","30","32","120"
"Department of the Treasury","Agency Overall","2011","273","33","23","25","354"
"Tennessee Valley Authority","Agency Overall","2011","1","1","0","2","4"
"Office of the United States Trade Representative","Agency Overall","2011","2","3","0","0","5"
"Council on Environmental Quality","Agency Overall","2011","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2011","11","8","11","7","37"
"Federal Maritime Commission","Agency Overall","2011","0","1","0","0","1"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","3","0","1","1","5"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2011","3","1","0","0","4"
"Selective Service System","Agency Overall","2011","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2011","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2011","104","227","22","28","381"
"Central Intelligence Agency","Agency Overall","2011","167","19","3","66","255"
"Federal Communications Commission","Agency Overall","2011","10","2","0","5","17"
"National Transportation Safety Board","Agency Overall","2011","3","1","0","6","10"
"United States Trade and Development Agency","Agency Overall","2011","0","0","1","1","2"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","0","0","1","0","1"
"Department of Transportation","Agency Overall","2011","45","29","49","46","169"
"Farm Credit System Insurance Corporation","Agency Overall","2011","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2011","618","638","440","237","1933"
"Office of National Drug Control Policy","Agency Overall","2011","1","0","0","0","1"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2011","5","0","0","1","6"
"United States International Trade Commission","Agency Overall","2011","0","1","0","0","1"
"Equal Employment Opportunity Commission","Agency Overall","2011","350","117","62","73","602"
"Federal Housing Finance Agency","Agency Overall","2011","9","3","0","0","12"
"National Aeronautics and Space Administration","Agency Overall","2011","10","6","3","4","23"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2011","0","1","1","0","2"
"Federal Financial Institutions Examination Council","Agency Overall","2011","0","0","0","0","0"
"Department of Education","Agency Overall","2011","3","0","5","7","15"
"Department of Veterans Affairs","Agency Overall","2011","36","39","22","132","229"
"National Railroad Passenger Corporation","Agency Overall","2011","3","0","0","4","7"
