"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Department of Health and Human Services","Agency Overall","2011","43173","2083","6616","8480","1121","2563","1680","576","1448","234","510","1695","70179"
"U.S. Agency for Global Media","Agency Overall","2011","29","18","4","11","0","3","0","3","0","1","0","9","78"
"United States Postal Service","Agency Overall","2011","469","498","416","254","310","23","32","37","291","17","33","35","2415"
"Department of the Treasury","Agency Overall","2011","6042","2983","442","1671","339","441","218","685","2926","297","479","160","16683"
"Tennessee Valley Authority","Agency Overall","2011","46","70","11","22","0","5","18","0","1","0","0","0","173"
"Office of the United States Trade Representative","Agency Overall","2011","18","8","0","23","0","9","0","0","0","0","0","0","58"
"Council on Environmental Quality","Agency Overall","2011","7","10","0","6","0","0","0","0","0","0","0","0","23"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","7","3","1","8","0","0","0","0","0","0","0","0","19"
"Department of Housing and Urban Development","Agency Overall","2011","1067","427","79","405","425","136","50","53","102","31","107","0","2882"
"Federal Maritime Commission","Agency Overall","2011","6","6","0","6","0","3","0","0","2","0","0","0","23"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","5466","305","3","35","4","34","1","4","60","7","579","866","7364"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","5","3","1","5","0","0","0","0","0","0","0","0","14"
"U.S. Railroad Retirement Board","Agency Overall","2011","77","3","7","8","3","0","6","1","0","0","0","0","105"
"Selective Service System","Agency Overall","2011","18","0","0","0","0","0","0","0","0","0","0","0","18"
"Export-Import Bank of the U.S.","Agency Overall","2011","41","41","1","13","0","4","0","0","0","0","0","0","100"
"U.S. Department of State","Agency Overall","2011","4090","11929","5527","864","343","437","77","513","1890","847","276","43","26836"
"Central Intelligence Agency","Agency Overall","2011","413","890","960","149","129","6","5","64","148","0","0","400","3164"
"Federal Communications Commission","Agency Overall","2011","169","147","20","77","2","72","13","74","2","18","0","0","594"
"National Transportation Safety Board","Agency Overall","2011","44","84","108","45","3","2","0","1","7","8","2","0","304"
"United States Trade and Development Agency","Agency Overall","2011","21","11","0","7","0","7","0","0","0","0","0","0","46"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","34","25","0","1","0","1","2","1","0","5","0","0","69"
"Department of Transportation","Agency Overall","2011","6482","2544","153","1761","29","591","233","45","61","46","63","84","12092"
"Farm Credit System Insurance Corporation","Agency Overall","2011","4","0","0","6","0","0","0","0","0","0","0","0","10"
"Department of Homeland Security","Agency Overall","2011","15203","83198","614","15053","6636","768","184","306","15695","4743","2633","598","145631"
"Office of National Drug Control Policy","Agency Overall","2011","11","6","0","15","0","0","0","0","0","0","0","0","32"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","9","3","2","7","0","1","0","0","0","0","0","0","22"
"Office of Science and Technology Policy","Agency Overall","2011","4","21","0","27","1","2","0","0","1","0","0","0","56"
"United States International Trade Commission","Agency Overall","2011","18","6","0","6","0","2","0","0","0","0","0","1","33"
"Equal Employment Opportunity Commission","Agency Overall","2011","796","12079","2449","642","146","110","3","192","269","161","433","1017","18297"
"Federal Housing Finance Agency","Agency Overall","2011","18","27","16","37","6","3","14","0","9","0","0","1","131"
"National Aeronautics and Space Administration","Agency Overall","2011","329","320","46","120","34","82","31","37","62","23","47","","1131"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","8","6","2","8","0","1","0","0","0","0","1","0","26"
"Overseas Private Investment Corporation","Agency Overall","2011","12","19","2","9","1","2","0","0","0","0","0","2","47"
"Federal Financial Institutions Examination Council","Agency Overall","2011","9","1","1","6","2","0","0","0","1","4","0","0","24"
"Department of Education","Agency Overall","2011","758","1179","58","210","19","112","10","37","22","24","57","0","2486"
"Department of Veterans Affairs","Agency Overall","2011","10821","8851","4690","1277","90","186","230","174","1381","38","135","18","27891"
"National Railroad Passenger Corporation","Agency Overall","2011","59","34","9","10","0","29","20","0","2","4","4","0","171"
"Institute of Museum and Library Services","Agency Overall","2011","11","16","3","2","0","1","0","0","0","1","1","1","36"
"Surface Transportation Board","Agency Overall","2011","21","2","0","15","0","1","0","0","0","0","0","0","39"
"Occupational Safety and Health Review Commission","Agency Overall","2011","35","14","1","13","0","12","1","0","0","0","0","0","76"
