"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Department of Health and Human Services","Agency Overall","2011","5 U.S.C. app. § 107(a) (Ethics in Government Act of 1978)","Meyerhof v. EPA, 948 F.2d 1498, 1500-02 (9th Cir. 1992","Financial disclosure information pertaining to certain government employees","3"
"Department of Health and Human Services","Agency Overall","2011","21 U.S.C. § 331(j) (Food Drug and Cosmetic Act)","Anderson v. HHS, 907 F.2d 936, 950-51 (10th Cir. 1998).","Trade secrets","24"
"Department of Health and Human Services","Agency Overall","2011","21 USC § 350d(a)(b)","None","Food Registration Documents","5"
"Department of Health and Human Services","Agency Overall","2011","41 USC § 423(a)(1)","Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum)","Contractor bid or proposal information; source selection information","4"
"Department of Health and Human Services","Agency Overall","2011","41 USC § 253b(m)","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21,30 (D.D.C. 2003), summary affirmance granted, No. 03-0527, 2004 WL 1900562 (D.C. Cir,Aug. 25, 2004).","Technichal proposal  not incorporated into a final contract","55"
"Department of Health and Human Services","Agency Overall","2011","42 USC § 242m(d)","None","Identifiable information for certain research and statitical  activities","6"
"Department of Health and Human Services","Agency Overall","2011","42 USC § 262a(h)","None","Select agent information.","6"
"Department of Health and Human Services","Agency Overall","2011","42 USC § 300aa-12(d)(4)(A)","Long V DOJ, No. 06-CV-1086, 2011 WL 113925, at *10 (N.D.N.Y. Mar. 25, 2011).","Medical records presented to a special master or the court in National Vaccine Injury Compensation Program","1"
"Department of Health and Human Services","Agency Overall","2011","42 USC § 11137(b)","None","Adverse reports of health practicioners' conduct.","2"
"U.S. Agency for Global Media","Agency Overall","2011","22 U.S.C. §§ 1461, 1461-1a (Foreign Affairs Reform and Restructuring Act)","Essential Info., Inc. v. USIA, 134 F.3d 1165, 1168 (D.C. Cir. 1998).","Certain program information prepared by the United States Information Agency","3"
"United States Postal Service","Agency Overall","2011","39 U.S.C. § 410(c)(1)","None.","Records relating to names and addresses of postal customer","204"
"United States Postal Service","Agency Overall","2011","39 U.S.C. § 410(c)(2)","Wickwire Gavin, P.C. v. USPS. 356 F.3d 588, 589, 597 (4th Cir. 2004); Am. Postal Workers Union, AFL-CIO v. USPS, 742 F. Supp. 2d 76, 81-83 (D.D.C. 2010); reid v. USPS, No. 05-294, 2006 WL 1876682, at *5-9 (S.D. Ill, July 5, 2006).","Records relating to commercial information that is proprietary to the Postal Service","186"
