"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Department of Health and Human Services","Agency Overall","2011","42243","6181","2512","1593","1341","879","551","294","278","190","606","201","427","57296"
"U.S. Agency for Global Media","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2011","1936","212","38","29","14","9","3","4","0","2","1","0","1","2249"
"Department of the Treasury","Agency Overall","2011","2479","173","57","23","18","21","5","1","1","0","3","1","0","2782"
"Tennessee Valley Authority","Agency Overall","2011","134","0","0","0","0","0","0","0","0","0","0","0","0","134"
"Office of the United States Trade Representative","Agency Overall","2011","12","6","1","0","0","0","0","0","0","0","0","0","0","19"
"Council on Environmental Quality","Agency Overall","2011","8","8","3","0","0","0","0","0","0","0","0","0","0","19"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","14","0","0","0","0","0","0","0","0","0","0","0","0","14"
"Department of Housing and Urban Development","Agency Overall","2011","1442","411","102","62","34","22","20","12","7","6","22","11","6","2157"
"Federal Maritime Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","6925","357","66","10","4","1","0","0","1","0","0","0","0","7364"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","13","1","0","0","0","0","0","0","0","0","0","0","0","14"
"U.S. Railroad Retirement Board","Agency Overall","2011","94","8","1","0","0","0","1","0","0","0","1","0","0","105"
"Selective Service System","Agency Overall","2011","17","1","0","0","0","0","0","0","0","0","0","0","0","18"
"Export-Import Bank of the U.S.","Agency Overall","2011","34","17","14","3","0","2","1","1","1","0","0","0","0","73"
"U.S. Department of State","Agency Overall","2011","1356","987","606","751","577","2337","1456","1304","1023","1212","5250","341","124","17324"
"Central Intelligence Agency","Agency Overall","2011","1268","195","44","12","14","4","1","2","0","0","8","3","17","1568"
"Federal Communications Commission","Agency Overall","2011","416","117","33","12","5","1","1","2","0","0","4","1","2","594"
"National Transportation Safety Board","Agency Overall","2011","10","9","1","1","0","0","0","0","0","0","0","0","0","21"
"United States Trade and Development Agency","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","37","15","0","1","0","0","0","0","0","0","0","0","0","53"
"Department of Transportation","Agency Overall","2011","6960","1371","696","150","63","33","31","35","31","26","73","56","102","9627"
"Farm Credit System Insurance Corporation","Agency Overall","2011","10","0","0","0","0","0","0","0","0","0","0","0","0","10"
"Department of Homeland Security","Agency Overall","2011","38147","5206","5111","4006","2778","2638","3689","1295","371","179","169","61","1245","64895"
"Office of National Drug Control Policy","Agency Overall","2011","19","0","0","0","0","0","0","0","0","0","0","0","0","19"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","21","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Office of Science and Technology Policy","Agency Overall","2011","38","1","2","0","0","0","0","0","1","0","0","0","0","42"
"United States International Trade Commission","Agency Overall","2011","24","8","0","0","0","0","0","0","0","0","0","0","0","32"
"Equal Employment Opportunity Commission","Agency Overall","2011","13957","2492","396","100","31","20","9","16","12","9","16","0","0","17058"
"Federal Housing Finance Agency","Agency Overall","2011","64","8","1","2","0","0","0","0","0","0","0","0","0","75"
"National Aeronautics and Space Administration","Agency Overall","2011","319","63","21","9","13","0","1","1","2","0","5","3","1","438"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","19","5","0","0","0","0","0","0","0","0","0","0","0","24"
"Overseas Private Investment Corporation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2011","22","0","0","0","0","0","0","0","0","0","0","0","0","22"
"Department of Education","Agency Overall","2011","962","389","213","58","11","5","13","9","30","19","33","10","1","1753"
"Department of Veterans Affairs","Agency Overall","2011","171","0","0","0","0","0","0","0","0","0","0","0","0","171"
"National Railroad Passenger Corporation","Agency Overall","2011","34","3","2","1","0","0","1","0","0","0","3","0","0","44"
"Institute of Museum and Library Services","Agency Overall","2011","31","1","0","0","0","0","0","0","0","0","0","0","0","32"
"Surface Transportation Board","Agency Overall","2011","37","2","0","0","0","0","0","0","0","0","0","0","0","39"
"Occupational Safety and Health Review Commission","Agency Overall","2011","76","0","0","0","0","0","0","0","0","0","0","0","0","76"
"Securities and Exchange Commission","Agency Overall","2011","9747","1115","337","138","89","44","18","14","12","10","8","3","1","11536"
"Department of Justice","Agency Overall","2011","29539","9792","2735","1309","912","537","462","306","169","172","398","95","43","46469"
"U.S. Commission on Civil Rights","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2011","0","2","0","0","0","0","0","0","0","0","0","0","0","2"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","17","1","1","0","0","0","0","0","0","0","0","0","0","19"
"Office of Management and Budget","Agency Overall","2011","12","41","28","21","11","22","12","9","4","5","8","0","0","173"
"U.S. Agency for International Development","Agency Overall","2011","20","11","7","4","7","1","2","3","2","1","8","13","6","85"
