"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","0","0"
"United States International Boundary and Water Commission","Agency Overall","2012","1","0"
"Consumer Product Safety Commission","Agency Overall","2012","232","0"
"Export-Import Bank of the U.S.","Agency Overall","2012","38","2"
"Department of Energy","Agency Overall","2012","456","4"
"United States International Trade Commission","Agency Overall","2012","0","0"
"Office of Management and Budget","Agency Overall","2012","6","0"
"U.S. Commission on Civil Rights","Agency Overall","2012","0","0"
"National Science Foundation","Agency Overall","2012","36","0"
"Overseas Private Investment Corporation","Agency Overall","2012","1","0"
"Federal Reserve System","Agency Overall","2012","30","5"
"Peace Corps","Agency Overall","2012","17","0"
"Federal Mediation and Conciliation Service","Agency Overall","2012","0","0"
"Millennium Challenge Corporation","Agency Overall","2012","0","0"
"Federal Labor Relations Authority","Agency Overall","2012","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2012","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2012","0","0"
"U.S. Agency for International Development","Agency Overall","2012","201","35"
"National Aeronautics and Space Administration","Agency Overall","2012","22","N/A"
"Federal Open Market Committee","Agency Overall","2012","8","0"
"U.S. Department of State","Agency Overall","2012","10464","352"
"Surface Transportation Board","Agency Overall","2012","0","0"
"National Credit Union Administration","Agency Overall","2012","5","0"
"Office of National Drug Control Policy","Agency Overall","2012","3","0"
"Equal Employment Opportunity Commission","Agency Overall","2012","131","0"
"National Transportation Safety Board","Agency Overall","2012","62","0"
"Office of Science and Technology Policy","Agency Overall","2012","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2012","0","0"
"Federal Election Commission","Agency Overall","2012","5","1"
"Federal Energy Regulatory Commission","Agency Overall","2012","6","1"
"Council on Environmental Quality","Agency Overall","2012","11","0"
"National Capital Planning Commission","Agency Overall","2012","0","0"
"Institute of Museum and Library Services","Agency Overall","2012","0","0"
"Department of Transportation","Agency Overall","2012","737","47"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","0","0"
"Office of the United States Trade Representative","Agency Overall","2012","20","0"
"Farm Credit Administration","Agency Overall","2012","0","0"
"Legal Services Corporation","Agency Overall","2012","0","0"
"Nuclear Regulatory Commission","Agency Overall","2012","87","0"
"Department of Justice","Agency Overall","2012","5196","353"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","0","0"
"Office of Government Ethics","Agency Overall","2012","0","0"
"Social Security Administration","Agency Overall","2012","30","15"
"Department of Agriculture","Agency Overall","2012","741","163"
"Federal Maritime Commission","Agency Overall","2012","15","0"
"U.S. Agency for Global Media","Agency Overall","2012","0","0"
