"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","185","188","182","189"
"United States International Boundary and Water Commission","Agency Overall","2012","24","15","23","14"
"Consumer Product Safety Commission","Agency Overall","2012","2545","2357","2560","2452"
"Export-Import Bank of the U.S.","Agency Overall","2012","100","62","100","47"
"Department of Energy","Agency Overall","2012","2310","2257","2218","2258"
"United States International Trade Commission","Agency Overall","2012","34","37","33","39"
"Office of Management and Budget","Agency Overall","2012","188","191","173","207"
"U.S. Commission on Civil Rights","Agency Overall","2012","50","20","63","21"
"National Science Foundation","Agency Overall","2012","526","428","519","415"
"Overseas Private Investment Corporation","Agency Overall","2012","45","43","47","40"
"Federal Reserve System","Agency Overall","2012","823","899","848","891"
"Peace Corps","Agency Overall","2012","182","166","168","172"
"Federal Mediation and Conciliation Service","Agency Overall","2012","110","71","111","69"
"Millennium Challenge Corporation","Agency Overall","2012","26","29","26","29"
"Federal Labor Relations Authority","Agency Overall","2012","86","64","86","64"
"U.S. Railroad Retirement Board","Agency Overall","2012","105","92","105","93"
"Occupational Safety and Health Review Commission","Agency Overall","2012","76","84","76","85"
"U.S. Agency for International Development","Agency Overall","2012","296","267","342","295"
"National Aeronautics and Space Administration","Agency Overall","2012","1026","886","1131","895"
"Federal Open Market Committee","Agency Overall","2012","35","22","35","15"
"U.S. Department of State","Agency Overall","2012","14298","18521","26836","15343"
"Surface Transportation Board","Agency Overall","2012","38","30","39","30"
"National Credit Union Administration","Agency Overall","2012","165","130","160","136"
"Office of National Drug Control Policy","Agency Overall","2012","32","37","32","34"
"Equal Employment Opportunity Commission","Agency Overall","2012","18424","18726","18297","18728"
"National Transportation Safety Board","Agency Overall","2012","293","294","304","185"
"Office of Science and Technology Policy","Agency Overall","2012","52","84","56","85"
"Federal Financial Institutions Examination Council","Agency Overall","2012","24","22","24","22"
"Federal Election Commission","Agency Overall","2012","83","60","82","66"
"Federal Energy Regulatory Commission","Agency Overall","2012","81","74","92","65"
"Council on Environmental Quality","Agency Overall","2012","41","50","23","58"
"National Capital Planning Commission","Agency Overall","2012","17","13","17","13"
"Institute of Museum and Library Services","Agency Overall","2012","40","29","36","35"
"Department of Transportation","Agency Overall","2012","12064","10946","12092","10988"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","14","9","14","9"
"Office of the United States Trade Representative","Agency Overall","2012","59","66","58","59"
"Farm Credit Administration","Agency Overall","2012","36","34","35","35"
"Legal Services Corporation","Agency Overall","2012","33","39","33","39"
"Nuclear Regulatory Commission","Agency Overall","2012","365","334","320","293"
"Department of Justice","Agency Overall","2012","63103","69456","63992","68531"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","117","117","120","117"
"Office of Government Ethics","Agency Overall","2012","69","48","72","50"
"Social Security Administration","Agency Overall","2012","32456","31329","32445","31584"
"Department of Agriculture","Agency Overall","2012","23065","22175","22939","21686"
"Federal Maritime Commission","Agency Overall","2012","39","30","23","50"
"U.S. Agency for Global Media","Agency Overall","2012","75","40","78","38"
"United States African Development Foundation","Agency Overall","2012","9","4","9","4"
"Department of Veterans Affairs","Agency Overall","2012","27867","24423","27828","24785"
"Postal Regulatory Commission","Agency Overall","2012","29","23","30","23"
"Farm Credit System Insurance Corporation","Agency Overall","2012","11","7","10","8"
"Commodity Futures Trading Commission","Agency Overall","2012","168","175","145","170"
"United States Copyright Office","Agency Overall","2012","44","37","40","38"
"American Battle Monuments Commission","Agency Overall","2012","1","9","1","9"
"Department of the Treasury","Agency Overall","2012","16776","16610","16683","16705"
"Department of Homeland Security","Agency Overall","2012","175654","190589","145592","205895"
"Central Intelligence Agency","Agency Overall","2012","3269","3745","3164","3586"
"Federal Deposit Insurance Corporation","Agency Overall","2012","1250","931","1409","943"
"Merit Systems Protection Board","Agency Overall","2012","121","225","113","237"
"Office of Special Counsel","Agency Overall","2012","132","135","87","76"
"National Archives and Records Administration","Agency Overall","2012","18129","13345","17182","13746"
"Department of Defense","Agency Overall","2012","74076","66078","75596","66651"
"Office of the Director of National Intelligence","Agency Overall","2012","387","343","405","317"
"Department of Housing and Urban Development","Agency Overall","2012","2828","2694","2882","2544"
"Environmental Protection Agency","Agency Overall","2012","10123","9689","10435","9259"
"Tennessee Valley Authority","Agency Overall","2012","175","188","173","178"
"National Railroad Passenger Corporation","Agency Overall","2012","172","197","171","219"
"Inter-American Foundation","Agency Overall","2012","16","9","16","10"
"Department of Commerce","Agency Overall","2012","2202","1807","2209","1701"
"National Labor Relations Board","Agency Overall","2012","5875","6305","5857","6276"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","18","10","20","11"
"Federal Retirement Thrift Investment Board","Agency Overall","2012","24","16","26","12"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2012","23","41","19","41"
"Court Services and Offender Supervision Agency","Agency Overall","2012","756","675","766","803"
"Department of the Interior","Agency Overall","2012","5794","6168","5885","6285"
"Armed Forces Retirement Home","Agency Overall","2012","0","7","0","12"
"Securities and Exchange Commission","Agency Overall","2012","11555","11292","11562","11302"
