"Agency","Component","Fiscal Year","Total"
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","0"
"United States International Boundary and Water Commission","Agency Overall","2012","0"
"Consumer Product Safety Commission","Agency Overall","2012","7"
"Export-Import Bank of the U.S.","Agency Overall","2012","0"
"Department of Energy","Agency Overall","2012","0"
"United States International Trade Commission","Agency Overall","2012","0"
"Office of Management and Budget","Agency Overall","2012","0"
"U.S. Commission on Civil Rights","Agency Overall","2012","0"
"National Science Foundation","Agency Overall","2012","6"
"Overseas Private Investment Corporation","Agency Overall","2012","0"
"Federal Reserve System","Agency Overall","2012","27"
"Peace Corps","Agency Overall","2012","0"
"Federal Mediation and Conciliation Service","Agency Overall","2012","2"
"Millennium Challenge Corporation","Agency Overall","2012","0"
"Federal Labor Relations Authority","Agency Overall","2012","1"
"U.S. Railroad Retirement Board","Agency Overall","2012","0"
"Occupational Safety and Health Review Commission","Agency Overall","2012","0"
"U.S. Agency for International Development","Agency Overall","2012","17"
"National Aeronautics and Space Administration","Agency Overall","2012","0"
"Federal Open Market Committee","Agency Overall","2012","0"
"U.S. Department of State","Agency Overall","2012","9"
"Surface Transportation Board","Agency Overall","2012","0"
"National Credit Union Administration","Agency Overall","2012","0"
"Office of National Drug Control Policy","Agency Overall","2012","0"
"Equal Employment Opportunity Commission","Agency Overall","2012","1102"
"National Transportation Safety Board","Agency Overall","2012","0"
"Office of Science and Technology Policy","Agency Overall","2012","0"
"Federal Financial Institutions Examination Council","Agency Overall","2012","0"
"Federal Election Commission","Agency Overall","2012","0"
"Federal Energy Regulatory Commission","Agency Overall","2012","0"
"Council on Environmental Quality","Agency Overall","2012","0"
"National Capital Planning Commission","Agency Overall","2012","0"
"Institute of Museum and Library Services","Agency Overall","2012","4"
"Department of Transportation","Agency Overall","2012","103"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","0"
"Office of the United States Trade Representative","Agency Overall","2012","0"
"Farm Credit Administration","Agency Overall","2012","0"
"Legal Services Corporation","Agency Overall","2012","0"
"Nuclear Regulatory Commission","Agency Overall","2012","34"
"Department of Justice","Agency Overall","2012","615"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","0"
"Office of Government Ethics","Agency Overall","2012","2"
"Social Security Administration","Agency Overall","2012","0"
"Department of Agriculture","Agency Overall","2012","96"
"Federal Maritime Commission","Agency Overall","2012","0"
"U.S. Agency for Global Media","Agency Overall","2012","8"
"United States African Development Foundation","Agency Overall","2012","0"
"Department of Veterans Affairs","Agency Overall","2012","25"
"Postal Regulatory Commission","Agency Overall","2012","0"
"Farm Credit System Insurance Corporation","Agency Overall","2012","0"
"Commodity Futures Trading Commission","Agency Overall","2012","1"
"United States Copyright Office","Agency Overall","2012","0"
"American Battle Monuments Commission","Agency Overall","2012","0"
"Department of the Treasury","Agency Overall","2012","37"
"Department of Homeland Security","Agency Overall","2012","920"
"Central Intelligence Agency","Agency Overall","2012","461"
"Federal Deposit Insurance Corporation","Agency Overall","2012","17"
"Merit Systems Protection Board","Agency Overall","2012","0"
"Office of Special Counsel","Agency Overall","2012","10"
"National Archives and Records Administration","Agency Overall","2012","577"
"Department of Defense","Agency Overall","2012","3779"
"Office of the Director of National Intelligence","Agency Overall","2012","28"
"Department of Housing and Urban Development","Agency Overall","2012","0"
"Environmental Protection Agency","Agency Overall","2012","4"
"Tennessee Valley Authority","Agency Overall","2012","0"
"National Railroad Passenger Corporation","Agency Overall","2012","0"
"Inter-American Foundation","Agency Overall","2012","0"
"Department of Commerce","Agency Overall","2012","42"
"National Labor Relations Board","Agency Overall","2012","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2012","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2012","1"
"Court Services and Offender Supervision Agency","Agency Overall","2012","13"
"Department of the Interior","Agency Overall","2012","489"
"Armed Forces Retirement Home","Agency Overall","2012","0"
"Securities and Exchange Commission","Agency Overall","2012","316"
"National Indian Gaming Commission","Agency Overall","2012","0"
"Federal Housing Finance Agency","Agency Overall","2012","0"
"Administrative Conference of the United States","Agency Overall","2012","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2012","0"
"Recovery Accountability and Transparency Board","Agency Overall","2012","0"
"National Endowment for the Humanities","Agency Overall","2012","0"
"National Mediation Board","Agency Overall","2012","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2012","0"
"Department of Education","Agency Overall","2012","6"
"Office of Personnel Management","Agency Overall","2012","8"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2012","0"
"National Endowment for the Arts","Agency Overall","2012","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2012","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2012","470"
"United States Postal Service","Agency Overall","2012","338"
"Selective Service System","Agency Overall","2012","0"
"Federal Trade Commission","Agency Overall","2012","16"
"Small Business Administration","Agency Overall","2012","49"
"Federal Communications Commission","Agency Overall","2012","18"
"General Services Administration","Agency Overall","2012","0"
"Department of Health and Human Services","Agency Overall","2012","1616"
"Department of Labor","Agency Overall","2012","776"
"United States Trade and Development Agency","Agency Overall","2012","0"
"All agencies","Agency Overall","2012","12051"
