"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-09-28","1","2012-09-26","2","2012-09-24","5"
"United States International Boundary and Water Commission","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-09-06","9","2012-09-04","10","2012-08-07","30"
"Consumer Product Safety Commission","Agency Overall","2012","2010-02-22","656","2010-02-16","660","2010-02-16","660","2009-09-17","761","2009-07-22","801","2009-07-21","802","2009-06-30","816","2008-12-02","961","2008-07-23","1051","2008-03-31","1131"
"Export-Import Bank of the U.S.","Agency Overall","2012","2011-05-31","336","2011-05-31","336","2011-05-19","343","2011-05-09","351","2011-05-05","353","2011-02-01","419","2011-01-14","430","2010-10-01","500","2010-08-09","538","2010-07-30","544"
"Department of Energy","Agency Overall","2012","2007-07-30","1298","2007-06-21","1324","2007-05-17","1348","2007-02-12","1415","2007-02-08","1417","2006-11-28","1466","2006-11-02","1482","2006-10-06","1500","2005-08-05","1794","2005-02-02","1923"
"United States International Trade Commission","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-09-08","8"
"Office of Management and Budget","Agency Overall","2012","2012-09-05","17","2012-09-05","17","2012-08-30","20","2012-08-29","21","2012-08-07","37","2012-07-18","51","2012-06-22","68","2012-05-31","84","2012-03-27","130","2012-02-09","162"
"U.S. Commission on Civil Rights","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Science Foundation","Agency Overall","2012","2010-07-21","552","2010-07-21","552","2010-07-21","552","2010-07-21","552","2010-07-21","552","2010-07-21","552","2010-07-21","552","2010-07-15","556","2010-07-14","557","2010-07-14","557"
"Overseas Private Investment Corporation","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-09-14","11","2012-05-15","99"
"Federal Reserve System","Agency Overall","2012","2011-12-15","199","2011-11-22","215","2011-11-10","222","2011-11-02","228","2011-08-29","273","2011-05-16","346","2011-01-20","427","2010-03-26","633","2009-12-08","703","2009-08-11","784"
"Peace Corps","Agency Overall","2012","2012-05-19","136","2012-04-16","165","2012-02-26","200","2011-10-11","293","2011-06-20","371","2011-05-24","389","2011-02-14","459","2011-02-06","464","2011-01-08","478","2010-03-15","693"
"Federal Mediation and Conciliation Service","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-09-27","3","2012-09-26","4"
"Millennium Challenge Corporation","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Labor Relations Authority","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-09-28","3"
"U.S. Railroad Retirement Board","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Occupational Safety and Health Review Commission","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Agency for International Development","Agency Overall","2012","2009-09-15","763","2009-08-17","783","2009-08-04","792","2009-07-23","800","2009-07-15","806","2009-03-13","892","2009-02-24","905","2008-05-01","1107","2008-04-28","1110","2008-04-21","1115"
"National Aeronautics and Space Administration","Agency Overall","2012","2012-07-02","62","2012-06-28","64","2012-06-18","72","2012-05-14","96","2012-04-30","106","2012-04-26","108","2012-04-18","114","2012-04-17","115","2012-04-17","115","2011-10-14","241"
"Federal Open Market Committee","Agency Overall","2012","N/A","0","N/A","0","2012-08-24","24","2012-08-23","25","2012-05-21","91","2012-05-21","91","2012-05-21","91","2012-05-21","91","2012-05-21","91","2012-05-21","91"
"U.S. Department of State","Agency Overall","2012","2005-08-24","1853","2005-08-17","1858","2005-08-17","1858","2005-08-15","1860","2005-08-15","1860","2005-08-15","1860","2005-07-20","1878","2005-07-14","1882","2005-07-13","1883","2005-05-20","1922"
"Surface Transportation Board","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Credit Union Administration","Agency Overall","2012","N/A","0","N/A","0","2012-09-25","3","2012-09-11","13","2012-08-31","19","2012-07-27","44","2012-07-25","46","2012-04-05","123","2012-03-20","135","2011-12-13","201"
"Office of National Drug Control Policy","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-07-16","120","2012-03-12","210","2012-03-02","215"
"Equal Employment Opportunity Commission","Agency Overall","2012","2012-07-11","56","2012-07-10","57","2012-07-09","58","2012-07-09","58","2012-07-05","60","2012-07-05","60","2012-06-13","68","2012-06-13","68","2012-05-01","105","2012-05-01","105"
"National Transportation Safety Board","Agency Overall","2012","2011-06-08","342","2011-06-08","342","2011-06-01","347","2011-04-21","376","2011-04-15","380","2011-04-08","385","2011-04-07","386","2011-03-22","398","2010-04-02","650","2010-04-02","650"
"Office of Science and Technology Policy","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-09-26","2","2012-09-26","2","2012-09-13","11"
"Federal Financial Institutions Examination Council","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Election Commission","Agency Overall","2012","N/A","0","N/A","0","2012-09-27","1","2012-09-20","6","2012-09-19","7","2012-07-02","42","2012-07-02","42","2012-06-20","70","2011-11-09","223","2011-06-09","330"
"Federal Energy Regulatory Commission","Agency Overall","2012","2012-09-13","11","2012-09-01","14","2012-08-31","19","2012-08-30","20","2012-08-10","34","2012-07-05","60","2012-06-07","80","2012-03-07","144","2012-02-27","151","2012-02-27","151"
"Council on Environmental Quality","Agency Overall","2012","2012-04-11","120","2012-03-09","143","2012-02-14","160","2011-11-07","227","2011-10-26","235","2011-08-22","281","2011-08-04","293","2011-07-27","299","2010-09-13","519","2010-08-13","539"
"National Capital Planning Commission","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-09-28","1"
"Department of Transportation","Agency Overall","2012","2009-04-03","916","2009-03-30","920","2009-03-03","939","2009-01-05","978","2008-10-17","1010","2008-08-11","1077","2007-09-17","1302","2007-08-13","1362","2006-10-26","1525","2006-10-26","1525"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the United States Trade Representative","Agency Overall","2012","2012-04-20","163","2012-03-23","191","2012-03-14","200","2011-11-18","317","2011-09-27","369","2011-08-03","424","2011-07-01","457","2010-07-07","816","2010-05-12","928","2010-03-22","923"
"Farm Credit Administration","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-09-20","7"
"Legal Services Corporation","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Nuclear Regulatory Commission","Agency Overall","2012","2011-03-28","381","2011-03-25","382","2011-03-24","383","2011-03-23","384","2011-03-22","385","2011-03-17","388","2011-03-16","389","2011-03-16","389","2011-03-16","389","2011-02-09","413"
"Department of Justice","Agency Overall","2012","2009-03-30","881","2009-03-13","892","2009-03-11","894","2008-09-22","1013","2008-09-18","1015","2008-09-18","1015","2008-09-18","1015","2008-09-18","1015","2008-09-18","1015","2008-08-28","1030"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Government Ethics","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Social Security Administration","Agency Overall","2012","2012-05-29","91","2012-05-15","101","2012-05-07","107","2012-04-16","122","2012-03-06","151","2012-03-01","154","2012-02-01","175","2012-01-19","184","2011-11-16","230","2011-11-04","238"
"Department of Agriculture","Agency Overall","2012","2012-01-17","679","2009-12-02","710","2009-11-16","721","2009-11-16","721","2009-11-12","723","2009-10-29","732","2009-10-23","736","2009-10-20","739","2009-01-28","923","2008-03-05","1188"
