"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","1","3.5","1","18","17.6","16","11","28","12.5","12.5","8","17"
"United States International Boundary and Water Commission","Agency Overall","2012","5","6.2","1","12","30","31.9","14","62","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2012","3","28","1","340","84","110","1","644","N/A","N/A","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2012","26","55.73","<1","235","279","255.58","28","427","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2012","22","51.45","<1","1794","59.5","136.87","1","1414","480","480","193","767"
"United States International Trade Commission","Agency Overall","2012","11","12","1","33","N/A","N/A","N/A","N/A","14","3","1","30"
"Office of Management and Budget","Agency Overall","2012","59","82","1","648","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2012","1","1","1","2","10","22","3","63","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2012","28","33","1","511","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2012","13","18.88","<1","104","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Reserve System","Agency Overall","2012","2","3","1","30","22","46","1","398","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2012","17","25","1","201","185","184","37","354","24","27","10","51"
"Federal Mediation and Conciliation Service","Agency Overall","2012","6","7.5","3","26","6","8.8","3","20","2","2","1","5"
"Millennium Challenge Corporation","Agency Overall","2012","17","15","3","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2012","8","9","<1","28","21","66","21","156","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2012","22","34.73","6","215","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2012","14","12.4","1","20","30","30","30","30","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2012","79.5","164.47","2","759","144","256.44","4","1500","59","154.12","12","487"
"National Aeronautics and Space Administration","Agency Overall","2012","9","13.94","<1","145","24","49.88","<1","896","N/A","N/A","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2012","8","8","3","13","73","85.8","27","156","11","11","11","11"
