"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2012","0","0","10","8","7","6","2","0","1","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2012","2","0","2","5","6","4","0","0","1","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2012","1","4","0","1","10","5","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2012","0","0","0","1","1","3","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2012","0","0","1","1","1","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2012","0","0","1","11","4","6","0","0","0","0","0","0","10","0"
"Peace Corps","Agency Overall","2012","0","0","0","0","3","4","0","0","0","0","0","1","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2012","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2012","0","0","0","1","2","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2012","0","0","0","2","1","4","1","0","3","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2012","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2012","56","0","42","2","13","29","2","0","8","3","5","2","0","0"
"Surface Transportation Board","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2012","0","0","0","4","1","2","0","0","0","0","0","0","3","0"
"Office of National Drug Control Policy","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2012","0","0","63","1","144","27","57","1","94","1","1","0","0","0"
"National Transportation Safety Board","Agency Overall","2012","0","0","0","0","2","0","2","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2012","0","0","0","0","2","1","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2012","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2012","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2012","0","0","2","5","19","31","0","0","10","3","0","0","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2012","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2012","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2012","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2012","60","1","119","8","118","362","128","2","667","190","424","155","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2012","0","1","0","0","1","2","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2012","0","162","1","0","19","336","0","0","0","0","159","0","0","0"
"Department of Agriculture","Agency Overall","2012","0","0","26","11","13","40","4","2","18","2","11","0","0","0"
"Federal Maritime Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2012","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2012","0","0","21","9","32","84","4","0","15","0","1","1","0","0"
"Postal Regulatory Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2012","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2012","1","4","90","11","44","61","13","1","51","4","22","2","9","0"
"Department of Homeland Security","Agency Overall","2012","1","16","58","14","660","909","30","2","1067","1","991","13","0","0"
"Central Intelligence Agency","Agency Overall","2012","106","0","107","1","5","10","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2012","0","0","0","1","2","1","0","0","0","0","0","0","3","0"
"Merit Systems Protection Board","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2012","0","0","0","0","1","2","0","0","3","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2012","2","0","4","0","5","4","0","0","1","2","1","0","0","0"
"Department of Defense","Agency Overall","2012","180","11","142","31","98","202","11","1","82","4","8","3","0","0"
"Office of the Director of National Intelligence","Agency Overall","2012","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2012","0","0","1","1","7","7","0","0","1","0","1","0","1","0"
"Environmental Protection Agency","Agency Overall","2012","0","0","2","12","35","15","12","0","5","0","2","0","0","0"
"Tennessee Valley Authority","Agency Overall","2012","0","0","0","0","4","4","0","0","1","1","1","1","0","0"
"National Railroad Passenger Corporation","Agency Overall","2012","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2012","0","1","10","4","18","16","0","0","9","0","2","0","0","0"
"National Labor Relations Board","Agency Overall","2012","0","0","0","0","10","10","8","0","8","4","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2012","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2012","0","0","0","0","0","2","0","0","2","0","0","0","0","0"
"Department of the Interior","Agency Overall","2012","0","1","5","23","62","12","6","0","5","0","0","2","0","2"
"Armed Forces Retirement Home","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2012","0","1","1","6","10","8","44","0","8","0","3","0","3","0"
"National Indian Gaming Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2012","0","0","0","4","4","2","0","0","1","0","0","0","2","0"
