"Agency","Component","Fiscal Year","Total"
"Export-Import Bank of the U.S.","Agency Overall","2012",""
"Office of Management and Budget","Agency Overall","2012","1"
"Office of National Drug Control Policy","Agency Overall","2012","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012",""
"Nuclear Regulatory Commission","Agency Overall","2012","1"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","0"
"Office of Government Ethics","Agency Overall","2012","1"
"Department of Agriculture","Agency Overall","2012",""
"Department of Homeland Security","Agency Overall","2012",""
"Central Intelligence Agency","Agency Overall","2012",""
"Merit Systems Protection Board","Agency Overall","2012",""
"Department of the Interior","Agency Overall","2012",""
"Securities and Exchange Commission","Agency Overall","2012",""
"Administrative Conference of the United States","Agency Overall","2012",""
"All agencies","Agency Overall","2012","NaN"
