"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"Office of Science and Technology Policy","Agency Overall","2013","0","1"
"Department of Justice","Agency Overall","2013","5196","6990"
"Court Services and Offender Supervision Agency","Agency Overall","2013","7","56"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","17","0"
"National Endowment for the Arts","Agency Overall","2013","10","4"
"Federal Communications Commission","Agency Overall","2013","38","28"
"United States Trade and Development Agency","Agency Overall","2013","1","2"
"National Labor Relations Board","Agency Overall","2013","17","5"
"Federal Open Market Committee","Agency Overall","2013","8","8"
"National Capital Planning Commission","Agency Overall","2013","0","0"
"Postal Regulatory Commission","Agency Overall","2013","0","0"
"American Battle Monuments Commission","Agency Overall","2013","1","1"
"Federal Labor Relations Authority","Agency Overall","2013","0","0"
"Selective Service System","Agency Overall","2013","0","0"
"Peace Corps","Agency Overall","2013","17","41"
"U.S. Commission on Civil Rights","Agency Overall","2013","0","0"
"Department of Agriculture","Agency Overall","2013","741","1137"
"National Credit Union Administration","Agency Overall","2013","5","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","0","8"
"Environmental Protection Agency","Agency Overall","2013","468","1265"
"Consumer Product Safety Commission","Agency Overall","2013","232","230"
"Federal Reserve System","Agency Overall","2013","30","19"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","4","7"
"Overseas Private Investment Corporation","Agency Overall","2013","0","2"
"Department of Commerce","Agency Overall","2013","212","238"
"U.S. Railroad Retirement Board","Agency Overall","2013","0","3"
"United States International Trade Commission","Agency Overall","2013","0","0"
"Securities and Exchange Commission","Agency Overall","2013","172","151"
"Department of Transportation","Agency Overall","2013","737","938"
"Millennium Challenge Corporation","Agency Overall","2013","0","0"
"Social Security Administration","Agency Overall","2013","30","67"
"Department of Health and Human Services","Agency Overall","2013","5740","5099"
"Armed Forces Retirement Home","Agency Overall","2013","0","0"
"Federal Housing Finance Agency","Agency Overall","2013","6","13"
"Occupational Safety and Health Review Commission","Agency Overall","2013","0","0"
"Department of the Interior","Agency Overall","2013","463","423"
"United States Postal Service","Agency Overall","2013","60","97"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","0","3"
"United States International Boundary and Water Commission","Agency Overall","2013","1","0"
"Federal Financial Institutions Examination Council","Agency Overall","2013","0","0"
"Institute of Museum and Library Services","Agency Overall","2013","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2013","131","190"
"General Services Administration","Agency Overall","2013","56","60"
"Recovery Accountability and Transparency Board","Agency Overall","2013","0","0"
"Department of Homeland Security","Agency Overall","2013","29013","51761"
"Office of Government Ethics","Agency Overall","2013","0","1"
"National Archives and Records Administration","Agency Overall","2013","7610","6600"
"Legal Services Corporation","Agency Overall","2013","0","0"
"National Mediation Board","Agency Overall","2013","1","0"
"Office of the Director of National Intelligence","Agency Overall","2013","132","155"
"Merit Systems Protection Board","Agency Overall","2013","0","0"
"Office of National Drug Control Policy","Agency Overall","2013","3","6"
"Department of Housing and Urban Development","Agency Overall","2013","278","266"
"National Aeronautics and Space Administration","Agency Overall","2013","22","11"
"Federal Mediation and Conciliation Service","Agency Overall","2013","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","2","2"
"U.S. Agency for International Development","Agency Overall","2013","197","233"
"Department of the Treasury","Agency Overall","2013","276","417"
"Federal Maritime Commission","Agency Overall","2013","15","18"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","11","4"
"Department of Labor","Agency Overall","2013","740","620"
"Federal Deposit Insurance Corporation","Agency Overall","2013","0","0"
"National Endowment for the Humanities","Agency Overall","2013","0","1"
"Nuclear Regulatory Commission","Agency Overall","2013","87","77"
"National Transportation Safety Board","Agency Overall","2013","62","147"
"Federal Energy Regulatory Commission","Agency Overall","2013","6","3"
"Federal Trade Commission","Agency Overall","2013","1","3"
"Office of Special Counsel","Agency Overall","2013","97","122"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2013","6","2"
"Farm Credit Administration","Agency Overall","2013","0","0"
"Small Business Administration","Agency Overall","2013","14","1"
"Office of Personnel Management","Agency Overall","2013","42","78"
"Farm Credit System Insurance Corporation","Agency Overall","2013","0","0"
"National Science Foundation","Agency Overall","2013","36","125"
"Department of Defense","Agency Overall","2013","6372","6593"
"United States African Development Foundation","Agency Overall","2013","0","0"
"Surface Transportation Board","Agency Overall","2013","0","0"
"Central Intelligence Agency","Agency Overall","2013","887","692"
"U.S. Agency for Global Media","Agency Overall","2013","0","11"
"Inter-American Foundation","Agency Overall","2013","0","0"
"United States Copyright Office","Agency Overall","2013","4","3"
"U.S. Department of State","Agency Overall","2013","10464","8669"
"Department of Veterans Affairs","Agency Overall","2013","1335","957"
"Office of Management and Budget","Agency Overall","2013","6","41"
"National Indian Gaming Commission","Agency Overall","2013","28","28"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013","0","0"
"Council on Environmental Quality","Agency Overall","2013","11","39"
"Office of the United States Trade Representative","Agency Overall","2013","20","35"
"Tennessee Valley Authority","Agency Overall","2013","12","10"
"Commodity Futures Trading Commission","Agency Overall","2013","42","15"
"National Railroad Passenger Corporation","Agency Overall","2013","6","25"
"Export-Import Bank of the U.S.","Agency Overall","2013","38","32"
"Department of Energy","Agency Overall","2013","453","438"
"Administrative Conference of the United States","Agency Overall","2013","0","0"
"Department of Education","Agency Overall","2013","129","224"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013","1","1"
"Federal Election Commission","Agency Overall","2013","5","12"
"All agencies","Agency Overall","2013","72864","95564"
