"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Office of Science and Technology Policy","Agency Overall","2013","110000.00","670.00","110670.00","0.00","0.0000"
"Department of Justice","Agency Overall","2013","55334273.05","9363327.89","64697600.94","93562.21","0.1700"
"Court Services and Offender Supervision Agency","Agency Overall","2013","242644.00","0.00","242644.00","2498.25","1.0300"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","1486.00","0.00","1486.00","1486.00","100.0000"
"National Endowment for the Arts","Agency Overall","2013","58800.00","0.00","58800.00","0.00","0.0000"
"Federal Communications Commission","Agency Overall","2013","2223730.97","14681.35","2238412.32","18577.43","0.8400"
"United States Trade and Development Agency","Agency Overall","2013","12000.00","0.00","12000.00","0.00","0.0000"
"National Labor Relations Board","Agency Overall","2013","966901.00","91742.00","1058643.00","41879.00","4.3300"
"Federal Open Market Committee","Agency Overall","2013","159000.00","0.00","159000.00","0.00","0.0000"
"National Capital Planning Commission","Agency Overall","2013","1500.00","0.00","1500.00","0.00","0.0000"
"Postal Regulatory Commission","Agency Overall","2013","12000.00","0.00","12000.00","0.00","0.0000"
"American Battle Monuments Commission","Agency Overall","2013","1000.00","0.00","1000.00","0.00","0.0000"
"Federal Labor Relations Authority","Agency Overall","2013","69888.00","0.00","69888.00","0.00","0.0000"
"Selective Service System","Agency Overall","2013","2325.00","0.00","2325.00","0.00","0.0000"
"Peace Corps","Agency Overall","2013","88145.00","0.00","88145.00","0.00","0.0000"
"U.S. Commission on Civil Rights","Agency Overall","2013","20000.00","0.00","20000.00","0.00","0.0000"
"Department of Agriculture","Agency Overall","2013","7896389.73","742086.17","8638475.90","72173.23","0.9100"
"National Credit Union Administration","Agency Overall","2013","215534.00","0.00","215534.00","1282.00","0.5900"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","125000.00","0.00","125000.00","503.50","0.4000"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","858612.00","0.00","858612.00","3813.95","0.4400"
"Environmental Protection Agency","Agency Overall","2013","16493258.12","578406.40","17071664.52","241467.04","1.4600"
"Consumer Product Safety Commission","Agency Overall","2013","966212.00","0.00","966212.00","2343.00","0.2400"
"Federal Reserve System","Agency Overall","2013","2000000.00","100000.00","2100000.00","9994.00","0.5000"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","19826.11","1000.41","20826.52","0.00","0.0000"
"Overseas Private Investment Corporation","Agency Overall","2013","98586.00","0.00","98586.00","1314.10","1.3300"
"Department of Commerce","Agency Overall","2013","7084184.25","181804.48","7265988.73","43206.45","0.6100"
"U.S. Railroad Retirement Board","Agency Overall","2013","57461.00","10000.00","67461.00","108.00","0.1900"
"United States International Trade Commission","Agency Overall","2013","3735.06","0.00","3735.06","957.60","25.6400"
"Securities and Exchange Commission","Agency Overall","2013","4013157.09","423054.82","4436211.91","35954.30","0.9000"
"Department of Transportation","Agency Overall","2013","10960443.91","110569.40","11071013.31","249362.93","2.2800"
"Millennium Challenge Corporation","Agency Overall","2013","15000.00","0.00","15000.00","0.00","0.0000"
"Social Security Administration","Agency Overall","2013","3467286.00","76977.00","3544263.00","293892.00","8.4800"
"Department of Health and Human Services","Agency Overall","2013","49501227.39","2077966.00","51579193.39","995255.09","2.0100"
"Armed Forces Retirement Home","Agency Overall","2013","0.00","0.00","0.00","0.00","0.0000"
"Federal Housing Finance Agency","Agency Overall","2013","320972.05","0.00","320972.05","2631.61","0.8200"
"Occupational Safety and Health Review Commission","Agency Overall","2013","221232.00","0.00","221232.00","1233.00","0.5600"
"Department of the Interior","Agency Overall","2013","11602387.71","396322.81","11998710.52","172270.43","1.4800"
"United States Postal Service","Agency Overall","2013","4610073.00","10000.00","4620073.00","24209.20","0.5300"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","3595.50","0.00","3595.50","0.00","0.0000"
"United States International Boundary and Water Commission","Agency Overall","2013","16345.00","0.00","16345.00","145.44","0.8900"
"Federal Financial Institutions Examination Council","Agency Overall","2013","8080.00","0.00","8080.00","0.00","0.0000"
"Institute of Museum and Library Services","Agency Overall","2013","17359.65","0.00","17359.65","0.00","0.0000"
"Equal Employment Opportunity Commission","Agency Overall","2013","2587130.90","2000.00","2589130.90","54625.02","2.1100"
"General Services Administration","Agency Overall","2013","2960000.00","11500.00","2971500.00","49752.95","1.6800"
"Recovery Accountability and Transparency Board","Agency Overall","2013","65000.00","0.00","65000.00","0.00","0.0000"
"Department of Homeland Security","Agency Overall","2013","41359751.48","3665649.84","45025401.32","360475.24","0.8700"
"Office of Government Ethics","Agency Overall","2013","242676.67","0.00","242676.67","0.00","0.0000"
"National Archives and Records Administration","Agency Overall","2013","3229555.00","0.00","3229555.00","365.40","0.0100"
"Legal Services Corporation","Agency Overall","2013","46048.00","0.00","46048.00","536.74","1.1700"
"National Mediation Board","Agency Overall","2013","30000.00","0.00","30000.00","88.80","0.3000"
"Office of the Director of National Intelligence","Agency Overall","2013","550000.00","169636.33","719636.33","0.00","0.0000"
"Merit Systems Protection Board","Agency Overall","2013","238958.00","0.00","238958.00","0.00","0.0000"
"Office of National Drug Control Policy","Agency Overall","2013","48000.00","0.00","48000.00","0.00","0.0000"
"Department of Housing and Urban Development","Agency Overall","2013","2338328.62","59145.86","2397474.48","43652.28","1.8700"
"National Aeronautics and Space Administration","Agency Overall","2013","1476320.35","0.00","1476320.35","12511.53","0.8500"
"Federal Mediation and Conciliation Service","Agency Overall","2013","80000.00","0.00","80000.00","726.60","0.9100"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","66000.00","0.00","66000.00","0.00","0.0000"
"U.S. Agency for International Development","Agency Overall","2013","1814666.96","2100.00","1816766.96","252.30","0.0100"
