"Agency","Component","Fiscal Year","Number of Times Subsection Used"
"Office of Science and Technology Policy","Agency Overall","2013",""
"Department of Justice","Agency Overall","2013",""
"Court Services and Offender Supervision Agency","Agency Overall","2013",""
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013",""
"National Endowment for the Arts","Agency Overall","2013",""
"Federal Communications Commission","Agency Overall","2013",""
"United States Trade and Development Agency","Agency Overall","2013",""
"National Labor Relations Board","Agency Overall","2013","0"
"Federal Open Market Committee","Agency Overall","2013",""
"National Capital Planning Commission","Agency Overall","2013",""
"Postal Regulatory Commission","Agency Overall","2013",""
"American Battle Monuments Commission","Agency Overall","2013",""
"Federal Labor Relations Authority","Agency Overall","2013",""
"Selective Service System","Agency Overall","2013",""
"Peace Corps","Agency Overall","2013",""
"U.S. Commission on Civil Rights","Agency Overall","2013",""
"Department of Agriculture","Agency Overall","2013",""
"National Credit Union Administration","Agency Overall","2013",""
"Federal Mine Safety and Health Review Commission","Agency Overall","2013",""
"Pension Benefit Guaranty Corporation","Agency Overall","2013",""
"Environmental Protection Agency","Agency Overall","2013",""
"Consumer Product Safety Commission","Agency Overall","2013",""
"Federal Reserve System","Agency Overall","2013",""
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013",""
"Overseas Private Investment Corporation","Agency Overall","2013",""
"Department of Commerce","Agency Overall","2013",""
"U.S. Railroad Retirement Board","Agency Overall","2013",""
"United States International Trade Commission","Agency Overall","2013",""
"Securities and Exchange Commission","Agency Overall","2013",""
"Department of Transportation","Agency Overall","2013",""
"Millennium Challenge Corporation","Agency Overall","2013",""
"Social Security Administration","Agency Overall","2013",""
"Department of Health and Human Services","Agency Overall","2013",""
"Armed Forces Retirement Home","Agency Overall","2013",""
"Federal Housing Finance Agency","Agency Overall","2013",""
"Occupational Safety and Health Review Commission","Agency Overall","2013",""
"Department of the Interior","Agency Overall","2013",""
"United States Postal Service","Agency Overall","2013",""
"Defense Nuclear Facilities Safety Board","Agency Overall","2013",""
"United States International Boundary and Water Commission","Agency Overall","2013",""
"Federal Financial Institutions Examination Council","Agency Overall","2013",""
"Institute of Museum and Library Services","Agency Overall","2013",""
"Equal Employment Opportunity Commission","Agency Overall","2013",""
"General Services Administration","Agency Overall","2013",""
"Recovery Accountability and Transparency Board","Agency Overall","2013",""
"Department of Homeland Security","Agency Overall","2013",""
"Office of Government Ethics","Agency Overall","2013",""
"National Archives and Records Administration","Agency Overall","2013",""
"Legal Services Corporation","Agency Overall","2013",""
"National Mediation Board","Agency Overall","2013",""
"Office of the Director of National Intelligence","Agency Overall","2013",""
"Merit Systems Protection Board","Agency Overall","2013",""
"Office of National Drug Control Policy","Agency Overall","2013",""
"Department of Housing and Urban Development","Agency Overall","2013",""
"National Aeronautics and Space Administration","Agency Overall","2013",""
"Federal Mediation and Conciliation Service","Agency Overall","2013",""
"Federal Retirement Thrift Investment Board","Agency Overall","2013",""
"U.S. Agency for International Development","Agency Overall","2013",""
"Department of the Treasury","Agency Overall","2013",""
"Federal Maritime Commission","Agency Overall","2013",""
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013",""
"Department of Labor","Agency Overall","2013",""
"Federal Deposit Insurance Corporation","Agency Overall","2013",""
"National Endowment for the Humanities","Agency Overall","2013",""
"Nuclear Regulatory Commission","Agency Overall","2013",""
"National Transportation Safety Board","Agency Overall","2013",""
"Federal Energy Regulatory Commission","Agency Overall","2013",""
"Federal Trade Commission","Agency Overall","2013",""
"Office of Special Counsel","Agency Overall","2013",""
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2013",""
"Consumer Financial Protection Bureau","Agency Overall","2013",""
"Farm Credit Administration","Agency Overall","2013",""
"Small Business Administration","Agency Overall","2013",""
"Office of Personnel Management","Agency Overall","2013",""
"Farm Credit System Insurance Corporation","Agency Overall","2013",""
"National Science Foundation","Agency Overall","2013",""
"Department of Defense","Agency Overall","2013",""
"United States African Development Foundation","Agency Overall","2013",""
"Surface Transportation Board","Agency Overall","2013",""
"Central Intelligence Agency","Agency Overall","2013",""
"U.S. Agency for Global Media","Agency Overall","2013",""
"Inter-American Foundation","Agency Overall","2013",""
"United States Copyright Office","Agency Overall","2013",""
"U.S. Department of State","Agency Overall","2013",""
"Department of Veterans Affairs","Agency Overall","2013",""
"Office of Management and Budget","Agency Overall","2013",""
"National Indian Gaming Commission","Agency Overall","2013",""
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2013",""
"Council on Environmental Quality","Agency Overall","2013",""
"Office of the United States Trade Representative","Agency Overall","2013",""
"Tennessee Valley Authority","Agency Overall","2013",""
"Commodity Futures Trading Commission","Agency Overall","2013",""
"National Railroad Passenger Corporation","Agency Overall","2013",""
"Export-Import Bank of the U.S.","Agency Overall","2013",""
"Department of Energy","Agency Overall","2013",""
"Administrative Conference of the United States","Agency Overall","2013",""
"Department of Education","Agency Overall","2013",""
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2013",""
"Federal Election Commission","Agency Overall","2013",""
"All agencies","Agency Overall","2013","0"
