"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Office of Science and Technology Policy","Agency Overall","2013","5","2","0","0","0","0","0","0","0","0","1","0","0","8"
"Department of Justice","Agency Overall","2013","1561","1653","988","890","605","467","338","281","246","204","680","340","444","8697"
"Court Services and Offender Supervision Agency","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","0","1","1","0","0","0","0","0","0","0","0","0","18","20"
"National Endowment for the Arts","Agency Overall","2013","1","1","0","0","0","0","0","0","0","1","2","2","2","9"
"Federal Communications Commission","Agency Overall","2013","1","0","0","0","0","0","0","0","0","0","1","3","1","6"
"United States Trade and Development Agency","Agency Overall","2013","10","0","2","0","0","0","0","0","0","0","0","0","0","12"
"National Labor Relations Board","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2013","0","1","1","0","0","0","0","0","0","1","1","1","0","5"
"National Capital Planning Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2013","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"American Battle Monuments Commission","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2013","1","1","1","0","0","0","0","0","0","0","0","0","0","3"
"Selective Service System","Agency Overall","2013","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2013","0","0","0","0","2","1","4","0","0","1","1","0","1","10"
"U.S. Commission on Civil Rights","Agency Overall","2013","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Department of Agriculture","Agency Overall","2013","846","299","139","81","38","28","16","17","14","12","37","12","15","1554"
"National Credit Union Administration","Agency Overall","2013","11","9","3","6","4","2","0","1","0","0","1","1","0","38"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","23","3","0","0","0","0","0","0","0","0","0","0","0","26"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","5311","431","24","7","6","4","0","1","0","1","0","0","0","5785"
"Environmental Protection Agency","Agency Overall","2013","171","2982","813","362","162","113","89","57","49","38","98","51","32","5017"
"Consumer Product Safety Commission","Agency Overall","2013","148","106","77","46","50","25","30","20","18","13","36","15","19","603"
"Federal Reserve System","Agency Overall","2013","151","120","54","32","19","29","13","9","11","7","8","4","7","464"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","0","0","2","2","1","1","0","0","0","0","0","0","0","6"
