"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"Office of Science and Technology Policy","Agency Overall","2013","0","5","5","0"
"Department of Justice","Agency Overall","2013","657","3327","3398","586"
"Court Services and Offender Supervision Agency","Agency Overall","2013","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2013","0","1","1","0"
"Federal Communications Commission","Agency Overall","2013","10","28","16","22"
"United States Trade and Development Agency","Agency Overall","2013","1","0","1","0"
"National Labor Relations Board","Agency Overall","2013","2","27","26","3"
"Federal Open Market Committee","Agency Overall","2013","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2013","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2013","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2013","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2013","0","4","3","1"
"Selective Service System","Agency Overall","2013","0","0","0","0"
"Peace Corps","Agency Overall","2013","0","9","6","3"
"U.S. Commission on Civil Rights","Agency Overall","2013","0","0","0","0"
"Department of Agriculture","Agency Overall","2013","198","229","196","231"
"National Credit Union Administration","Agency Overall","2013","0","5","5","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","0","1","1","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","0","5","3","2"
"Environmental Protection Agency","Agency Overall","2013","83","283","184","182"
"Consumer Product Safety Commission","Agency Overall","2013","0","12","12","0"
"Federal Reserve System","Agency Overall","2013","8","31","37","2"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","2","3","3","2"
"Overseas Private Investment Corporation","Agency Overall","2013","0","1","1","0"
"Department of Commerce","Agency Overall","2013","37","76","76","37"
"U.S. Railroad Retirement Board","Agency Overall","2013","0","2","2","0"
"United States International Trade Commission","Agency Overall","2013","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2013","16","143","149","10"
"Department of Transportation","Agency Overall","2013","48","130","130","48"
"Millennium Challenge Corporation","Agency Overall","2013","0","2","1","1"
"Social Security Administration","Agency Overall","2013","37","452","459","30"
"Department of Health and Human Services","Agency Overall","2013","305","315","281","339"
"Armed Forces Retirement Home","Agency Overall","2013","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2013","1","12","13","0"
"Occupational Safety and Health Review Commission","Agency Overall","2013","0","0","0","0"
"Department of the Interior","Agency Overall","2013","197","175","177","195"
"United States Postal Service","Agency Overall","2013","20","131","131","6"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2013","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2013","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2013","0","1","1","0"
"Equal Employment Opportunity Commission","Agency Overall","2013","18","291","291","18"
"General Services Administration","Agency Overall","2013","8","21","23","6"
"Recovery Accountability and Transparency Board","Agency Overall","2013","0","1","1","0"
"Department of Homeland Security","Agency Overall","2013","368","2905","3046","227"
"Office of Government Ethics","Agency Overall","2013","0","2","2","0"
"National Archives and Records Administration","Agency Overall","2013","7","70","63","14"
