"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Office of Science and Technology Policy","Agency Overall","2013","3","128","130","1"
"Department of Justice","Agency Overall","2013","8458","70081","68241","10298"
"Court Services and Offender Supervision Agency","Agency Overall","2013","31","793","720","104"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","18","40","57","1"
"National Endowment for the Arts","Agency Overall","2013","14","72","82","4"
"Federal Communications Commission","Agency Overall","2013","64","571","574","61"
"United States Trade and Development Agency","Agency Overall","2013","1","13","12","2"
"National Labor Relations Board","Agency Overall","2013","122","5536","5550","108"
"Federal Open Market Committee","Agency Overall","2013","8","21","21","8"
"National Capital Planning Commission","Agency Overall","2013","0","9","9","0"
"Postal Regulatory Commission","Agency Overall","2013","0","24","24","0"
"American Battle Monuments Commission","Agency Overall","2013","1","3","3","1"
"Federal Labor Relations Authority","Agency Overall","2013","1","105","102","4"
"Selective Service System","Agency Overall","2013","0","18","18","0"
"Peace Corps","Agency Overall","2013","17","173","149","41"
"U.S. Commission on Civil Rights","Agency Overall","2013","0","23","23","0"
"Department of Agriculture","Agency Overall","2013","1821","22580","21556","2845"
"National Credit Union Administration","Agency Overall","2013","9","127","134","2"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","3","176","174","5"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","144","5721","5786","79"
"Environmental Protection Agency","Agency Overall","2013","1348","9951","9131","2168"
"Consumer Product Safety Commission","Agency Overall","2013","258","1935","1946","247"
"Federal Reserve System","Agency Overall","2013","53","838","854","37"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","4","37","31","10"
"Overseas Private Investment Corporation","Agency Overall","2013","3","29","30","2"
"Department of Commerce","Agency Overall","2013","328","1823","1793","358"
"U.S. Railroad Retirement Board","Agency Overall","2013","0","122","119","3"
"United States International Trade Commission","Agency Overall","2013","1","35","35","1"
