"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Office of Science and Technology Policy","Agency Overall","2013","5","0","5","52.8"
"Department of Justice","Agency Overall","2013","67","447","1","19"
"Court Services and Offender Supervision Agency","Agency Overall","2013","0","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","4","0","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2013","1","1","1","3"
"Federal Communications Commission","Agency Overall","2013","1","43","5","6.9"
"United States Trade and Development Agency","Agency Overall","2013","0","0","N/A","N/A"
"National Labor Relations Board","Agency Overall","2013","0","6","17","25"
"Federal Open Market Committee","Agency Overall","2013","3","0","16","12.3"
"National Capital Planning Commission","Agency Overall","2013","0","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2013","1","0","29","29"
"American Battle Monuments Commission","Agency Overall","2013","3","0","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2013","1","3","11","11"
"Selective Service System","Agency Overall","2013","0","0","N/A","N/A"
"Peace Corps","Agency Overall","2013","0","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2013","4","0","1","1"
"Department of Agriculture","Agency Overall","2013","1214","55","1","6.75"
"National Credit Union Administration","Agency Overall","2013","2","0","7","7"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","6","0","7.5","7.8"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","0","0","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2013","232","541","8","14.7"
"Consumer Product Safety Commission","Agency Overall","2013","2","0","1","1"
"Federal Reserve System","Agency Overall","2013","0","0","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","0","0","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2013","1","1","2.5","2.5"
"Department of Commerce","Agency Overall","2013","85","75","5","12"
"U.S. Railroad Retirement Board","Agency Overall","2013","0","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2013","0","1","8","8"
"Securities and Exchange Commission","Agency Overall","2013","11","18","1","12.97"
"Department of Transportation","Agency Overall","2013","112","73","1","7.597"
