"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Office of Science and Technology Policy","Agency Overall","2013","10","11.2","5","20"
"Department of Justice","Agency Overall","2013","68","80.83","<1","349"
"Court Services and Offender Supervision Agency","Agency Overall","2013","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","N/A","N/A","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2013","1","1","1","1"
"Federal Communications Commission","Agency Overall","2013","122","122","18","239"
"United States Trade and Development Agency","Agency Overall","2013","20","20","20","20"
"National Labor Relations Board","Agency Overall","2013","18","24","2","57"
"Federal Open Market Committee","Agency Overall","2013","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2013","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2013","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2013","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2013","19","16.33","8","22"
"Selective Service System","Agency Overall","2013","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2013","22","23","3","48"
"U.S. Commission on Civil Rights","Agency Overall","2013","N/A","N/A","N/A","N/A"
"Department of Agriculture","Agency Overall","2013","108","144.81","1","1897"
"National Credit Union Administration","Agency Overall","2013","20","20.2","19","23"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","27","27","27","27"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","23","30","19","49"
"Environmental Protection Agency","Agency Overall","2013","36","68.66","<1","1762"
"Consumer Product Safety Commission","Agency Overall","2013","20","20","20","20"
"Federal Reserve System","Agency Overall","2013","41","70","8","536"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","169","163","43","277"
"Overseas Private Investment Corporation","Agency Overall","2013","20","20","20","20"
"Department of Commerce","Agency Overall","2013","61","145","1","898"
"U.S. Railroad Retirement Board","Agency Overall","2013","9","12.5","9","16"
"United States International Trade Commission","Agency Overall","2013","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2013","48","73.99","<1","737"
"Department of Transportation","Agency Overall","2013","25","107.4628","1","839"
"Millennium Challenge Corporation","Agency Overall","2013","19","19","19","19"
"Social Security Administration","Agency Overall","2013","22","29","1","221"
"Department of Health and Human Services","Agency Overall","2013","141","349","<1","1670"
"Armed Forces Retirement Home","Agency Overall","2013","N/A","N/A","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2013","21.25","20.04","8","23"
"Occupational Safety and Health Review Commission","Agency Overall","2013","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2013","190","416","1","1420"
"United States Postal Service","Agency Overall","2013","15","12","0","70"
"Defense Nuclear Facilities Safety Board","Agency Overall","2013","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2013","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2013","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2013","18","18","18","18"
"Equal Employment Opportunity Commission","Agency Overall","2013","17","16.98","1","134"
"General Services Administration","Agency Overall","2013","69","88.65","10","238"
"Recovery Accountability and Transparency Board","Agency Overall","2013","19","19","19","19"
"Department of Homeland Security","Agency Overall","2013","30","132.539","1","1611"
"Office of Government Ethics","Agency Overall","2013","11","11","9","13"
"National Archives and Records Administration","Agency Overall","2013","18","39","4","592"
"Legal Services Corporation","Agency Overall","2013","19","19","19","19"
"National Mediation Board","Agency Overall","2013","N/A","N/A","N/A","N/A"
"Office of the Director of National Intelligence","Agency Overall","2013","70","70.91","N/A","386"
"Merit Systems Protection Board","Agency Overall","2013","17","16.5","1","34"
"Office of National Drug Control Policy","Agency Overall","2013","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2013","19.5","20.71","4","158"
"National Aeronautics and Space Administration","Agency Overall","2013","28","30.07","19","43"
"Federal Mediation and Conciliation Service","Agency Overall","2013","19","19","19","19"
"Federal Retirement Thrift Investment Board","Agency Overall","2013","35","35","35","35"
"U.S. Agency for International Development","Agency Overall","2013","354","532.72","13","1363"
"Department of the Treasury","Agency Overall","2013","15","19.84","<1","369"
"Federal Maritime Commission","Agency Overall","2013","N/A","N/A","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2013","214","214","214","214"
"Department of Labor","Agency Overall","2013","34","86.75","1","1105"
"Federal Deposit Insurance Corporation","Agency Overall","2013","20","21.06","8","77"
"National Endowment for the Humanities","Agency Overall","2013","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2013","24","37","<1","127"
"National Transportation Safety Board","Agency Overall","2013","38","37.34","7","51"
"Federal Energy Regulatory Commission","Agency Overall","2013","22","23","7","30"
