"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Office of Science and Technology Policy","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Justice","Agency Overall","2013","2013-02-01","167","2013-01-29","170","2013-01-25","172","2013-01-16","178","2013-01-15","179","2013-01-04","186","2013-01-02","188","2012-11-16","217","2012-10-17","238","2012-10-11","242"
"Court Services and Offender Supervision Agency","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Endowment for the Arts","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Communications Commission","Agency Overall","2013","2013-05-12","97","2013-04-18","114","2013-02-22","153","2013-02-19","156","2013-02-06","164","2013-01-14","180","2013-01-11","181","2012-11-18","217","2012-08-09","286","2012-07-18","302"
"United States Trade and Development Agency","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Labor Relations Board","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-09-20","6","2013-09-20","6","2013-09-17","9"
"Federal Open Market Committee","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Capital Planning Commission","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Postal Regulatory Commission","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"American Battle Monuments Commission","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Labor Relations Authority","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-09-26","2"
"Selective Service System","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Peace Corps","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-09-09","16","2013-09-03","20","2013-09-03","20"
"U.S. Commission on Civil Rights","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Agriculture","Agency Overall","2013","2007-02-23","1656","2007-02-05","1669","2007-01-16","1683","2006-12-11","1706","2006-11-20","1720","2006-11-17","1721","2006-02-28","1904","2005-11-14","1975","2005-05-24","2094","2004-08-12","2289"
"National Credit Union Administration","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-09-23","5","2013-07-26","45"
"Environmental Protection Agency","Agency Overall","2013","2007-05-18","1599","2006-08-03","1798","2006-06-28","1822","2006-05-24","1847","2006-05-23","1847","2006-03-24","1967","2006-03-24","1967","2006-03-09","1973","2006-02-22","1983","2005-05-12","2106"
"Consumer Product Safety Commission","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Reserve System","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-09-11","13","2013-07-25","46"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-07-31","43","2013-07-15","55"
"Overseas Private Investment Corporation","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Commerce","Agency Overall","2013","2012-09-13","273","2012-09-12","274","2012-09-06","278","2012-08-29","284","2012-07-02","326","2012-05-22","355","2012-03-12","406","2012-02-13","426","2012-02-02","433","2010-03-22","921"
"U.S. Railroad Retirement Board","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Trade Commission","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Securities and Exchange Commission","Agency Overall","2013","2013-09-30","1","2013-09-25","3","2013-09-09","15","2013-08-08","36","2013-07-29","44","2013-07-19","50","2013-07-01","63","2013-04-15","117","2013-01-22","175","2012-10-23","235"
"Department of Transportation","Agency Overall","2013","2012-05-01","357","2012-01-17","430","2011-11-22","466","2011-11-15","472","2011-11-09","473","2011-11-07","475","2011-09-08","518","2011-07-14","557","2011-07-12","558","2011-07-07","561"
"Millennium Challenge Corporation","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2013-09-27","1"
"Social Security Administration","Agency Overall","2013","2013-07-31","65","2013-07-30","66","2013-07-30","66","2013-07-19","73","2013-07-11","79","2013-07-11","79","2013-05-17","118","2013-03-23","157","2013-03-07","169","2012-10-24","265"
"Department of Health and Human Services","Agency Overall","2013","2008-10-09","1297","2008-09-15","1315","2008-09-10","1318","2008-09-09","1319","2008-09-09","1319","2008-06-24","1374","2008-06-11","1383","2008-06-11","1383","2008-02-20","1463","2008-02-08","1471"
"Armed Forces Retirement Home","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Housing Finance Agency","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Occupational Safety and Health Review Commission","Agency Overall","2013","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
