"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"Surface Transportation Board","Agency Overall","2014","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2014","0","4","4","0"
"National Endowment for the Humanities","Agency Overall","2014","0","0","0","0"
"Federal Reserve System","Agency Overall","2014","2","6","5","3"
"Armed Forces Retirement Home","Agency Overall","2014","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2014","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2014","0","0","0","0"
"National Labor Relations Board","Agency Overall","2014","0","2","2","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","0","0","0","0"
"Department of the Treasury","Agency Overall","2014","36","200","146","90"
"Peace Corps","Agency Overall","2014","1","0","0","1"
"Department of Energy","Agency Overall","2014","114","212","200","126"
"United States International Boundary and Water Commission","Agency Overall","2014","0","1","1","0"
"Department of Commerce","Agency Overall","2014","6","63","42","27"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","0","0","0","0"
"United States African Development Foundation","Agency Overall","2014","0","0","0","0"
"Office of Personnel Management","Agency Overall","2014","4","9","13","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2014","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","0","0","0","0"
"Department of Education","Agency Overall","2014","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2014","0","0","0","0"
"National Credit Union Administration","Agency Overall","2014","0","0","0","0"
"Small Business Administration","Agency Overall","2014","0","3","3","0"
"U.S. Railroad Retirement Board","Agency Overall","2014","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2014","0","0","0","0"
"Department of Labor","Agency Overall","2014","5","83","85","3"
"Farm Credit System Insurance Corporation","Agency Overall","2014","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2014","0","0","0","0"
"Office of Management and Budget","Agency Overall","2014","2","29","29","2"
"United States Postal Service","Agency Overall","2014","2","10","11","1"
"Federal Maritime Commission","Agency Overall","2014","0","0","0","0"
"Farm Credit Administration","Agency Overall","2014","0","1","1","0"
"Federal Energy Regulatory Commission","Agency Overall","2014","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2014","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2014","0","8","7","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2014","0","0","0","0"
"Inter-American Foundation","Agency Overall","2014","0","0","0","0"
"Department of Homeland Security","Agency Overall","2014","140","318","278","180"
"Federal Mediation and Conciliation Service","Agency Overall","2014","0","0","0","0"
"United States Copyright Office","Agency Overall","2014","0","0","0","0"
"Office of Special Counsel","Agency Overall","2014","0","4","4","0"
"United States International Trade Commission","Agency Overall","2014","1","1","2","0"
"Environmental Protection Agency","Agency Overall","2014","4","11","15","0"
"Federal Open Market Committee","Agency Overall","2014","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2014","0","12","10","2"
"Millennium Challenge Corporation","Agency Overall","2014","0","0","0","0"
"Legal Services Corporation","Agency Overall","2014","0","0","0","0"
"Federal Communications Commission","Agency Overall","2014","0","1","1","0"
"Federal Trade Commission","Agency Overall","2014","0","12","12","0"
"Department of the Interior","Agency Overall","2014","1","38","38","1"
"National Science Foundation","Agency Overall","2014","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2014","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2014","0","2","2","0"
"Equal Employment Opportunity Commission","Agency Overall","2014","0","0","0","0"
"Department of Agriculture","Agency Overall","2014","6","39","42","3"
"National Railroad Passenger Corporation","Agency Overall","2014","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2014","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2014","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2014","0","4","4","0"
"Department of Justice","Agency Overall","2014","176","716","695","197"
"Office of the United States Trade Representative","Agency Overall","2014","5","2","2","5"
"U.S. Agency for International Development","Agency Overall","2014","8","13","12","9"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2014","0","0","0","0"
"U.S. Department of State","Agency Overall","2014","1669","11554","11752","1471"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2014","0","0","0","0"
"National Mediation Board","Agency Overall","2014","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2014","2","2","4","0"
"United States Trade and Development Agency","Agency Overall","2014","0","10","9","1"
"Department of Veterans Affairs","Agency Overall","2014","0","6","5","1"
"National Aeronautics and Space Administration","Agency Overall","2014","1","7","6","2"
"Federal Election Commission","Agency Overall","2014","0","4","2","2"
"Federal Housing Finance Agency","Agency Overall","2014","0","2","2","0"
"Office of Science and Technology Policy","Agency Overall","2014","0","9","9","0"
"Merit Systems Protection Board","Agency Overall","2014","0","1","1","0"
"Federal Deposit Insurance Corporation","Agency Overall","2014","1","1","2","0"
"Selective Service System","Agency Overall","2014","0","0","0","0"
"Social Security Administration","Agency Overall","2014","0","22","22","0"
"U.S. Commission on Civil Rights","Agency Overall","2014","0","0","0","0"
"General Services Administration","Agency Overall","2014","0","0","0","0"
"Office of Government Ethics","Agency Overall","2014","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2014","1","4","5","0"
"Department of Defense","Agency Overall","2014","1038","1991","1934","1095"
"Office of the Director of National Intelligence","Agency Overall","2014","0","33","23","10"
"National Indian Gaming Commission","Agency Overall","2014","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2014","0","1","1","0"
"Administrative Conference of the United States","Agency Overall","2014","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2014","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2014","0","0","0","0"
"Department of Transportation","Agency Overall","2014","3","30","28","5"
"Central Intelligence Agency","Agency Overall","2014","215","956","966","205"
"Council on Environmental Quality","Agency Overall","2014","17","9","21","5"
"National Archives and Records Administration","Agency Overall","2014","0","8","8","0"
"National Transportation Safety Board","Agency Overall","2014","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2014","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2014","0","20","20","0"
"All agencies","Agency Overall","2014","3460","16474","16486","3448"
