"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Surface Transportation Board","Agency Overall","2014","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2014","7","79","90","0","N/A","N/A","0","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2014","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Reserve System","Agency Overall","2014","0","N/A","N/A","34","26","35","0","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2014","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Recovery Accountability and Transparency Board","Agency Overall","2014","1","11","11","0","N/A","N/A","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2014","0","N/A","N/A","11","34","44","0","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2014","1","44","44","0","N/A","N/A","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2014","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Labor Relations Board","Agency Overall","2014","145","3","19","0","N/A","N/A","0","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2014","19","4","6.89","65","8","7.57","0","N/A","N/A"
"Department of the Treasury","Agency Overall","2014","136","36","202.25","1361","20","118.1","22","340.5","316.91"
"Peace Corps","Agency Overall","2014","110","193","160","22","267","270","0","N/A","N/A"
"Department of Energy","Agency Overall","2014","153","499","504.64","363","175.5","337.92","2","115","115"
"United States International Boundary and Water Commission","Agency Overall","2014","0","N/A","N/A","3","101","100.7","0","N/A","N/A"
"Department of Commerce","Agency Overall","2014","95","6","9","380","129","216","10","52","132"
"Federal Mine Safety and Health Review Commission","Agency Overall","2014","0","N/A","N/A","1","22","22","0","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2014","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States African Development Foundation","Agency Overall","2014","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of Personnel Management","Agency Overall","2014","89","62","87","588","28","30","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2014","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2014","2","1","1","0","N/A","N/A","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2014","2","22.5","22.5","0","N/A","N/A","0","N/A","N/A"
"Department of Education","Agency Overall","2014","91","7","73","296","53","125","4","30.5","188"
"Export-Import Bank of the U.S.","Agency Overall","2014","16","74.5","206","22","197","287","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2014","0","N/A","N/A","1","7","7","0","N/A","N/A"
"Small Business Administration","Agency Overall","2014","24","3","6","0","N/A","N/A","0","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2014","9","243","217","0","N/A","N/A","0","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2014","2","10.5","10.5","0","N/A","N/A","0","N/A","N/A"
"Department of Labor","Agency Overall","2014","104","124","162.8","1055","23","68","4","50","111"
"Farm Credit System Insurance Corporation","Agency Overall","2014","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2014","0","N/A","N/A","10","65","130","0","N/A","N/A"
"Office of Management and Budget","Agency Overall","2014","33","212","181","0","N/A","N/A","0","N/A","N/A"
"United States Postal Service","Agency Overall","2014","183","42","70.75","69","102","218.09","0","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2014","0","N/A","N/A","16","594","492.1","0","N/A","N/A"
"Farm Credit Administration","Agency Overall","2014","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2014","16","19","36","7","231","173","0","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2014","0","N/A","N/A","4","355","350","0","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2014","216","23.5","54","190","81","98","2","59.5","59"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2014","0","N/A","N/A","8","89","121.3","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2014","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Inter-American Foundation","Agency Overall","2014","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2014","64090","11","28.82","51451","100","155.44","23","43","56.81"
"Federal Mediation and Conciliation Service","Agency Overall","2014","4","77.5","70.3","2","220.5","220.5","0","N/A","N/A"
"United States Copyright Office","Agency Overall","2014","3","91","70","0","N/A","N/A","0","N/A","N/A"
"Office of Special Counsel","Agency Overall","2014","23","134","143","171","314","352","15","198","244"
"United States International Trade Commission","Agency Overall","2014","1","2","2","0","N/A","N/A","0","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2014","219","10","10.08","2148","82.5","155.36","17","173","373.12"
"Federal Open Market Committee","Agency Overall","2014","0","N/A","N/A","8","350","331","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2014","592","11","62","3","907","893","0","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2014","23","117","131","0","N/A","N/A","0","N/A","N/A"
